doc_id,documento,tema_id,tema,palabras_clave
0,aviso meteorologico tampico y zona sur manana domingo de abril se informa que se preve el ingreso del frente frio no el cual podria generar las siguientes condiciones en la region evento de norte moderado se preven rachas de viento de a km h asi como velocidades de a km h en el golfo de mexico ademas de un ligero pero notorio descenso de temperatura lluvias se preven chubascos dispersos durante el dia domingo sin descartar actividad electrica aislada periodo de afectacion condiciones que podrian presentarse durante la madrugada manana y parte del dia domingo tampico te cuida y proteccion civil somos todos proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico,1,Seguridad,proteccion
1,tenemos una sorpresa para ti te regalamos pases dobles para el concierto de el bogueto para participar dejanos en comentarios tu lugar favorito y cancion favorita del artista el ganador sera seleccionado al azar y se dejara en comentarios a las tienes hasta las p m para participar no te pierdas la oportunidad de vivir esta gran experiencia,-1,No clasificado,
2,en tampico siempre se vive un dia lleno de experiencias inolvidables paseo en lancha por la laguna recorrido por la ruta turistica llena de historia vuelta panoramica en turibus visita al vivero didactico municipal un dia no alcanza para todo lo que puedes descubrir aqui por que tampico por que no porquetampico turismo tampico mexico semanasanta,-1,No clasificado,
3,comprometidos con tu seguridad en estas fiestas de abril tampico en compania del coordinador estatal de proteccion civil de tamaulipas lic luis gerardo gonzalez de la fuente proteccion civil regional lic rafael chirinos aguilar el director de proteccion civil y bomberos de tampico ing jose antonio marin flores direccion de transito la guardia estatal y autoridades de la feria ademas de equipo de voluntarios se llevo a cabo un recorrido por las distintas zonas del recinto ferial supervisando cada espacio para asegurar que todo continue desarrollandose de manera adecuada este trabajo garantiza que las fiestas de abril tampico en conjunto con espectaculares garcia se sigan viviendo con alegria orden y total seguridad para todos tampico te cuida y proteccion civil somos todos proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico fiestasdeabril seguridadantetodo laferiadetodos semanasanta,1,Seguridad,"guardia, proteccion, seguridad"
4,atento aviso este domingo de abril con motivo del aniversario de la fundacion de tampico se realizara una carrera atletica desde las a m habra cierres parciales desde la calle burton grossman divisoria hasta el palacio municipal tome sus precauciones,2,Vialidades,calle
5,crum en la estacion de bomberos de tampico siguiendo a las indicaciones de la lic monica villarreal anaya presidenta municipal de tampico en brindar una buena atencion a los turistas y tampiquenos en esta semana santa y fiestas de abril tampico se instalo un pequeno modulo de atencion medica de crum centro regulador de urgencias medicas en la estacion de bomberos de tampico trabajando en equipo con la direccion de proteccion civil de tampico a cargo del ing jose antonio marin flores la cual es una unidad tecnica medica y administrativa dependiente de la secretaria de salud encargada de coordinar regular y gestionar la atencion de emergencias prehospitalarias y el traslado de pacientes criticos brindando una atencion oportuna tampico te cuida y proteccion civil somos todos proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico crum semanasanta fiestasdeabril,1,Seguridad,proteccion
6,tampico arranca semana santa con fuerza solo en los primeros dias de vacaciones del de marzo al de abril el puerto ya registra visitantes en sitios turisticos pesos en derrama economica cifras que reflejan el dinamismo y la confianza en el destino y esto aun no termina el conteo oficial de semana santa continua y cierra este domingo de abril tampicotecuida tampicovacontodos,-1,No clasificado,
7,tenemos una sorpresa para ti te regalamos pases dobles para el concierto de gabito ballesteros para participar dejanos en comentarios tu lugar turistico favorito de tampico el ganador sera seleccionado al azar y se dejara en comentarios a las tienes hasta las p m para participar no te pierdas la oportunidad de vivir esta gran experiencia,-1,No clasificado,
8,el encabezado por nuestra presidenta y a traves de la presenta la del mes de con una programacion que fortalece la convivencia y el disfrute del arte en distintos espacios de la ciudad abril se llena de color con las tradicionales y las presentaciones artisticas en el recinto ferial asi como con la conmemoracion del aniversario de la fundacion de tampico celebrando la historia e identidad de la ciudad la musica y la tradicion toman protagonismo con el que se llevara a cabo en puntos emblematicos de la ciudad asi como los que cada domingo llenan de ritmo la plaza hijas de tampico la albergara la exposicion individual una propuesta que abre una ventana a las emociones a traves de las figuras de las magic girls en el marco del distintos espacios de la ciudad se llenan de movimiento y expresion celebrando el arte del cuerpo en escena las celebran el con una lectura en voz alta a cargo de y la inauguracion de un espacio para el intercambio de libros que fomenta el habito de la lectura a traves de la musica y la danza llegan a distintos rincones de la ciudad destaca iniciando con una clase de danzon y seguida de la presentacion de colectivos de danza que invitan a la convivencia y el disfrute en comunidad llega para acercar el septimo arte a las familias generando espacios de encuentro para todos el continua presentando y sera sede del concierto a beneficio del dif sumando el arte a una causa social asi como tambien tendra la inauguracion de la exposicion signos que cargo conmigo de ruben dario sanchez y muchas sorpresas mas consulta la agenda cultural completa revisa fechas sedes y horarios y descubre todas las actividades disponibles durante el mes de abril secretariadecultura tampicovacontodos arteycultura,4,Morena (+ / neutro),movimiento
9,el arbol de la vida monica villarreal,-1,No clasificado,
10,el encabezado por nuestra alcaldesa la y a traves de la hace una cordial invitacion a los de los domingos en el marco de y se llevara a cabo una tarde llena de ritmo y convivencia en esta ocasion con la participacion de quienes pondran el ambiente para disfrutar de la musica y el baile en un espacio de sana convivencia domingo de abril h plaza hijas de tampico entrada libre secretariadecultura tampicovacontodos arteycultura,-1,No clasificado,
11,mi turista favorito,-1,No clasificado,
12,tenemos una sorpresa para ti te regalamos pases dobles para el concierto de bronco para participar dejanos en comentarios tu cancion favorita de la banda el ganador sera seleccionado al azar tienes hasta las p m para participar no te pierdas la oportunidad de vivir esta gran experiencia,-1,No clasificado,
13,el autismo es una forma en la que algunas personas sienten piensan y ven el mundo de manera diferente no es una enfermedad solo es una forma distinta de ser ser diferentes tambien esta bien las ninas y ninos con tea trastorno del espectro autista tienen conductas muy caracteristicas como caminar de puntitas taparse los oidos ante los ruidos muy fuertes son muy perfeccionistas aletean sus manos aplauden y se balancean para lograr regularse emocionalmente de abril dia mundial de concienciacion sobre el autismo seamos amables seamos inclusivos,-1,No clasificado,
14,el encabezado por nuestra alcaldesa la y a traves de la hace una cordial invitacion al tampico capital de las huastecas dentro del marco del dia nacional del huapango para dar inicio maestros especialistas en la tradicion del huapango abordaran temas en torno a la historia y la relevancia de la identidad huasteca resaltando y fortaleciendo el valor de nuestras tradiciones desde distintas miradas no te pierdas ninguna charla el viernes en el teatro el farol a traves de esta celebracion buscamos honrar la riqueza de la cultura huasteca a traves de la musica la danza y el conocimiento en este contexto se llevaran a cabo presentaciones artisticas de agrupaciones dancisticas y musicales con la presencia de artistas invitados de la region y de abril consulta la programacion completa en la cartelera secretariadecultura tampicovacontodos arteycultura,-1,No clasificado,
15,seguimos trabajando para ti continuamos con las labores de limpieza del canal pluvial en la colonia borreguera reforzando acciones para cuidar a las familias tampiquenas tampicovacontodos tampicotecuida,0,Servicios,limpieza
16,damos un paso importante para mejorar nuestros servicios incorporamos una nueva canastilla de metros que fortalecera el trabajo en alumbrado publico con ella iniciamos la modernizacion en avenidas principales con luminarias de watts mejorando la visibilidad y seguridad las actuales se reubicaran en calles secundarias para optimizar recursos tambien podremos dar mantenimiento a los postes incluyendo su pintura algo que no se realizaba desde hace anos tampicovacontodos tampicotecuida,0,Servicios,"alumbrado, luminarias, postes"
17,operativo fiestas de abril tampico continuamos laborando con los operativos de las fiestas de abril tampico siguiendo las indicaciones de la lic monica villarreal anaya presidenta municipal de tampico estas verificaciones se llevan a cabo por parte de la direccion de proteccion civil y bomberos de tampico a cargo del ing jose antonio marin flores asegurando de que todos los asistentes disfruten de un ambiente seguro y protegido durante esta semana santa y fiestas de abril tampico tan esperadas tu seguridad y la de los tuyos es primero tampico te cuida y proteccion civil somos todos proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico semanasanta fiestasdeabril,1,Seguridad,"proteccion, seguridad"
18,visitamos un espacio que nos conecta con la riqueza ambiental de tampico y nos invita a cuidarla la casa de la naturaleza conocimos a traves de la explicacion del biologo jorge f sosa alejandre los puntos clave para el avistamiento e identificacion de aves una experiencia que nos permite valorar aun mas la biodiversidad de nuestra ciudad los invitamos a conocer la ruta de observacion de aves y casa de la naturaleza y a disfrutar de estos espacios de manera responsable pueden consultar la informacion a traves de la pagina turismo tampico tampicovacontodos tampicotecuida,-1,No clasificado,
19,supervision preventiva en las fiestas de abril tampico como parte de las acciones de prevencion en las fiestas de abril tampico y brindando un buen servicio a los asistentes siendo este un tema de gran importancia para la lic monica villarreal anaya presidenta municipal de tampico el personal de proteccion civil y bomberos de tampico a cargo del ing jose antonio marin con la colaboracion de voluntarios zona sur de tamaulipas llevaron a cabo una inspeccion recorriendo el recinto ferial durante el recorrido los inspectores verificaron las condiciones de seguridad del inmueble rutas de evacuacion senalizacion asi como el cumplimiento de las medidas necesarias estas acciones reflejan el compromiso y la responsabilidad de quienes trabajan de manera permanente para salvaguardar la integridad de las y los asistentes tampico te cuida y proteccion civil somos todos proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico fiestasdeabril semanasanta,1,Seguridad,"proteccion, seguridad"
20,acompananos a este recorrido,-1,No clasificado,
21,te saludo este miercoles de podcast estamos en la casa de la naturaleza donde veremos las acciones que estamos emprendiendo en favor de la fauna y el medio ambiente desde este bello escenario,-1,No clasificado,
22,los bailes populares han sido todo un exito reuniendo a familias y amigos en un ambiente lleno de alegria musica y tradicion gracias a la gran respuesta de la ciudadania seguiremos llevando mas bailes a distintos puntos creando espacios de convivencia que fortalecen nuestras raices y nuestra comunidad,-1,No clasificado,
23,sostuvimos una reunion mas para dar seguimiento y brindar atencion puntual a los programas y proyectos prioritarios que beneficiaran a las y los tampiquenos tampicovacontodos tampicotecuida,3,Obras y proyectos,proyectos
24,espacios dignos para nuestros mejores amigos porque nuestras mascotas tambien son parte de la familia bajo el liderazgo de nuestra presidenta la lic monica villarreal anaya nos encontramos realizando trabajos intensivos de mantenimiento en el area de caninos de la laguna del carpintero estamos rehabilitando este espacio para que los peluditos de tampico tengan un lugar seguro limpio y digno donde correr y jugar en esta administracion el bienestar animal es una prioridad juntos transformamos los espacios publicos para todos,3,Obras y proyectos,mantenimiento
25,para la lic monica villarreal anaya mantener nuestras areas verdes impecables es fundamental para la calidad de vida de las y los tampiquenos nos encontramos realizando limpieza barrido y chapoleo asegurando que la vegetacion crezca de manera controlada y que estos espacios esten libres de residuos y maleza unidos por un tampico mas verde monica villarreal tampico gob,0,Servicios,"limpieza, residuos"
26,mantenemos el paso firme en el aseo de la via publica por instruccion de la presidenta lic monica villarreal anayael el aseo de la via publica es una prioridad para transformar la calidad de vida en tampico una ciudad limpia refleja el compromiso de su gente y su gobierno sigamos trabajando unidos por tampico monica villarreal tampico gob,0,Servicios,limpia
27,tu seguridad es nuestra prioridad atendiendo las instrucciones de nuestra presidenta la lic monica villarreal anaya acudimos de manera oportuna para atender el reporte de un arbol caido que representaba un riesgo para la ciudadania gracias al trabajo coordinado entre los bomberos de tampico y el personal operativo de esta secretaria se realizaron las labores de retiro y limpieza de forma exitosa eliminando cualquier peligro en la zona seguimos trabajando para mantener un tampico seguro y ordenado para todos monica villarreal tampico gob,1,Seguridad,"peligro, seguridad"
28,con el objetivo de mejorar la fluidez del trafico vehicular y garantizar traslados mas seguros para los ciudadanos a traves de la direccion de obras publicas continuamos con el programa de mantenimiento vial ejecutando trabajos de bacheo y rehabilitacion de pavimento en diversas vialidades se aplico mortero asfaltico en av hidalgo de norte a sur carril de baja entre calle moral y calle pino col martock av hidalgo de norte a sur entre calle fresno y calle nogal col rosario av hidalgo de sur a norte entre av ayuntamiento y calle balderas col rosario a traves de la secretaria de obras publicas desarrollo urbano y ecologia el gobierno municipal reafirma la mision de nuestra alcaldesa lic monica villarreal de renovar el entorno urbano de tampico esta labor no solo busca modernizar la estetica de la ciudad sino garantizar servicios publicos eficientes que impacten directamente en la calidad de vida y el bienestar de cada familia tampiquena,2,Vialidades,"calle, pavimento, vial, vialidades"
