palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
miembro,22,2,broker,0.85,-0.884,20
implementar,22,2,broker,0.74,-0.5756,10
lozano,22,6,broker,0.6667,-0.7882,3
ramirez,22,3,conector_provincial,0.735,2.6474,20
carteles,22,10,broker,0.7778,-0.1147,6
alberto,22,7,broker,0.84,-0.4201,10
naval,22,1,broker,0.6944,0.584,12
basico,22,8,broker,0.8776,-0.2294,14
grado,22,8,broker,0.8642,-0.2294,9
honestidad,22,10,broker,0.75,-0.1147,4
ruiz,22,11,broker,0.82,0.0,10
atraer,22,8,broker,0.7222,-0.2294,6
ordenar,22,8,broker,0.8642,-0.2294,9
ampliar,22,2,broker,0.6116,0.0411,11
tecnico,22,3,broker,0.8166,0.3816,13
disminuir,22,2,broker,0.7188,0.3495,16
integrar,22,3,broker,0.8056,-0.5247,12
entidad,22,3,broker,0.7692,0.8348,13
cantante,22,4,broker,0.6939,-0.7269,7
harto,22,10,broker,0.72,-0.9177,5
septiembre,22,9,broker,0.8642,-0.4082,9
golfo,22,1,broker,0.8476,0.1622,19
alcaldes,22,7,broker,0.75,-0.9802,4
inclusion,22,12,broker,0.625,-0.75,4
ambito,22,3,broker,0.7778,-0.5247,6
medina,22,2,broker,0.72,-1.5008,5
acoso,22,0,broker,0.5,-0.2815,6
plastico,22,8,broker,0.625,-0.2294,4
campeonato,22,4,broker,0.6939,-0.7269,7
coordinadora,22,3,broker,0.625,-0.5247,4
pintura,22,4,broker,0.716,0.1982,9
secretariadecultura,22,4,broker,0.6667,-1.1895,3
david,22,3,broker,0.8611,-0.5247,12
morales,22,2,broker,0.7812,-0.884,8
discriminacion,22,0,broker,0.56,-0.583,5
busqueda,22,12,broker,0.7778,-0.75,6
territorial,22,3,broker,0.8163,-0.5247,7
acusado,22,9,broker,0.5,-0.4082,2
tambo,22,8,broker,0.6667,-1.1471,3
enfoque,22,10,broker,0.5,-0.1147,2
diego,22,9,broker,0.8,-0.4082,5
espectaculo,22,4,broker,0.72,-0.7269,5
similar,22,1,broker,0.72,-1.1031,5
auditorio,22,5,periferico,0.4444,-0.5222,3
derivado,22,2,broker,0.72,-1.1924,5
reduccion,22,3,broker,0.5,-0.9779,2
asuntos,22,3,broker,0.6667,-0.9779,3
barrera,22,10,broker,0.8,-0.1147,5
repartir,22,13,broker,0.843,-0.3922,11
patrimonio,22,13,broker,0.7812,0.5883,8
reino,22,1,broker,0.7755,-1.1031,7
mary,22,7,periferico,0.0,-0.9802,1
competir,22,4,periferico,0.4444,-0.7269,3
emitir,22,1,broker,0.6667,-1.9467,3
escamilla,22,1,broker,0.5,-1.1031,4
rehabilitado,22,13,periferico,0.0,-1.3728,1
suministro,22,2,broker,0.6667,-0.884,6
marcado,22,6,broker,0.5,-1.3339,2
activista,22,0,periferico,0.0,-0.8846,2
juzgado,22,10,broker,0.6667,-0.9177,3
despensa,22,8,broker,0.625,-0.2294,4
