tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
0,121,7391.0,2745.0,10136.0,0.7292,0.66,0.0,0.0,0.956,huerfano
1,79,19941.0,31255.0,51196.0,0.3895,0.645,0.0,0.0,0.4996,conector_legitimo
2,113,1686.0,1953.0,3639.0,0.4633,0.2759,0.0,0.0,0.9687,huerfano
3,73,6891.0,3020.0,9911.0,0.6953,0.6408,-0.0,0.0,0.9516,huerfano
4,142,5915.0,550.0,6465.0,0.9149,0.5688,0.0,0.0,0.9912,burbuja_vacia
5,114,7389.0,2818.0,10207.0,0.7239,0.6499,0.0,0.0,0.9549,huerfano
6,110,12996.0,4710.0,17706.0,0.734,0.7219,0.0,0.0,0.9246,conector_legitimo
7,115,2762.0,1225.0,3987.0,0.6928,0.4028,0.0,0.0,0.9804,huerfano
8,151,13976.0,2012.0,15988.0,0.8742,0.7529,0.0,0.0,0.9678,huerfano
9,122,14103.0,6394.0,20497.0,0.6881,0.6853,-0.0,0.0,0.8976,conector_legitimo
10,136,5183.0,1412.0,6595.0,0.7859,0.5551,0.0,0.0,0.9774,huerfano
11,70,14475.0,16755.0,31230.0,0.4635,0.6543,-0.0,0.0,0.7317,conector_legitimo
12,117,7125.0,476.0,7601.0,0.9374,0.5944,-0.0,0.0,0.9924,burbuja_vacia
13,56,20280.0,62454.0,82734.0,0.2451,0.6226,0.0,0.0,0.0,conector_legitimo
14,115,12292.0,5729.0,18021.0,0.6821,0.687,-0.0,0.0,0.9083,conector_legitimo
15,109,15910.0,5349.0,21259.0,0.7484,0.7829,0.0,0.0,0.9144,conector_legitimo
16,131,23133.0,5868.0,29001.0,0.7977,0.8603,-0.0,0.0,0.906,conector_legitimo
17,123,5121.0,81.0,5202.0,0.9844,0.5568,0.0,0.0,0.9987,burbuja_vacia
18,107,12672.0,9502.0,22174.0,0.5715,0.6753,-0.0,0.0,0.8479,conector_legitimo
19,99,2504.0,434.0,2938.0,0.8523,0.4325,0.0,0.0,0.9931,huerfano
20,91,2761.0,602.0,3363.0,0.821,0.4799,0.0,0.0,0.9904,huerfano
21,99,2081.0,0.0,2081.0,1.0,0.4781,-0.0,0.0,1.0,burbuja_vacia
22,116,27500.0,15874.0,43374.0,0.634,0.8119,0.0,0.0,0.7458,conector_legitimo
23,120,5837.0,1725.0,7562.0,0.7719,0.6173,0.0,0.0,0.9724,huerfano
24,125,6457.0,547.0,7004.0,0.9219,0.5891,0.0,0.0,0.9912,burbuja_vacia
25,88,2030.0,735.0,2765.0,0.7342,0.341,-0.0,0.0,0.9882,huerfano
26,57,1591.0,2400.0,3991.0,0.3986,0.3387,-0.0,0.0,0.9616,huerfano
27,108,11661.0,1448.0,13109.0,0.8895,0.7265,0.0,0.0,0.9768,huerfano
28,127,7096.0,2017.0,9113.0,0.7787,0.5992,0.0,0.0,0.9677,huerfano
29,109,11491.0,11815.0,23306.0,0.493,0.6472,-0.0,0.0,0.8108,conector_legitimo
30,117,10203.0,4524.0,14727.0,0.6928,0.7105,0.0,0.0,0.9276,conector_legitimo
31,113,43657.0,29312.0,72969.0,0.5983,0.9068,0.0,0.0,0.5307,conector_legitimo
32,141,9172.0,341.0,9513.0,0.9642,0.6933,0.0,0.0,0.9945,burbuja_vacia
34,89,5879.0,1465.0,7344.0,0.8005,0.5983,-0.0,0.0,0.9765,huerfano
