node_id,tipo_nodo,etiqueta,categoria_principal,confianza_categoria,categorias,polaridad,polaridad_score,postura,postura_etiqueta,postura_score,coincidencias_positivas,coincidencias_negativas,peso_coincidente
A1179,cuenta,YouTube::@joeyspider,Obras,0.7302,Obras,negativa,-0.36,critica_oposicion,Crítica/oposición,-0.36,8.0,17.0,25.0
A1180,cuenta,Twitter::derechoavivir,Alumbrado,0.9984,Alumbrado,positiva,0.3913,apoyo_defensa,Apoyo/defensa,0.3913,16.0,7.0,24.0
A1181,cuenta,YouTube::@LaPatronaDeJalisco81,Obras,0.7098,Obras,negativa,-0.5385,critica_oposicion,Crítica/oposición,-0.5385,3.0,10.0,13.0
A1182,cuenta,YouTube::@AlondraRodriguez-w2q,,0.0,,negativa,-0.4,critica_oposicion,Crítica/oposición,-0.4,3.0,7.0,10.0
A1183,cuenta,YouTube::@MAR-gd3rc,Morena,0.9112,Morena | Corrupcion | Obras | Prevencion,negativa,-0.6364,critica_oposicion,Crítica/oposición,-0.6364,2.0,9.0,13.0
A1184,cuenta,Twitter::AzulBeau,Basura,0.6413,Basura,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,1.0,1.0,3.0
A1185,cuenta,YouTube::@edermartinez4640,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,6.0,0.0,6.0
A1186,cuenta,Twitter::MCasacandell,Obras,0.9393,Obras | Morena | Alumbrado,positiva,0.6471,apoyo_defensa,Apoyo/defensa,0.6471,14.0,3.0,19.0
A1187,cuenta,Twitter::@Ok09865,Morena,0.9112,Morena,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,12.0,0.0,14.0
A1188,cuenta,YouTube::@Ritano-h3y,,0.0,,negativa,-0.6,critica_oposicion,Crítica/oposición,-0.6,1.0,4.0,5.0
A1189,cuenta,YouTube::@celiacamacho8246,,0.0,,positiva,0.8039,apoyo_defensa,Apoyo/defensa,0.8039,46.0,5.0,51.0
A1190,cuenta,YouTube::@lupita8466,,0.0,,positiva,0.7049,apoyo_defensa,Apoyo/defensa,0.7049,52.0,9.0,61.0
A1191,cuenta,YouTube::@maryibarra4904,Alumbrado,0.9984,Alumbrado,positiva,0.8,apoyo_defensa,Apoyo/defensa,0.8,36.0,4.0,41.0
A1192,cuenta,YouTube::@Jalisco1423,Obras,0.7098,Obras,positiva,0.2,apoyo_defensa,Apoyo/defensa,0.2,9.0,6.0,15.0
A1193,cuenta,YouTube::@WilliamLira-q7h,Prevencion,0.9215,Prevencion | Delitos,negativa,-0.3636,critica_oposicion,Crítica/oposición,-0.3636,7.0,15.0,27.0
A1194,cuenta,YouTube::@elrayo29,Prevencion,0.9215,Prevencion | Delitos,negativa,-0.3636,critica_oposicion,Crítica/oposición,-0.3636,7.0,15.0,27.0
A1195,cuenta,YouTube::@felipeeguia4710,Prevencion,0.9215,Prevencion | Delitos,negativa,-0.3636,critica_oposicion,Crítica/oposición,-0.3636,7.0,15.0,27.0
A1196,cuenta,YouTube::@sandraacosta9319,,0.0,,positiva,0.5385,apoyo_defensa,Apoyo/defensa,0.5385,10.0,3.0,13.0
A1197,cuenta,YouTube::@DanielSanchez-sk6vd,Prevencion,0.9215,Prevencion | Delitos,negativa,-0.3333,critica_oposicion,Crítica/oposición,-0.3333,7.0,14.0,26.0
A1198,cuenta,YouTube::@nelidaolave5164,,0.0,,positiva,0.6667,apoyo_defensa,Apoyo/defensa,0.6667,10.0,2.0,12.0
A1199,cuenta,YouTube::@LuigiCastaneda-ub3sy,Vialidad,1.0,Vialidad | Obras | Corrupcion,mixta,0.1765,mixta_disputa,Mixta/disputa,0.1765,10.0,7.0,19.0
A1200,cuenta,YouTube::@yolandamorales4304,Prevencion,0.8107,Prevencion,positiva,0.6923,apoyo_defensa,Apoyo/defensa,0.6923,11.0,2.0,13.0
A1201,cuenta,YouTube::@RosannaHermozaSeminario-f7h8z,Obras,0.7966,Obras | Corrupcion,positiva,0.4545,apoyo_defensa,Apoyo/defensa,0.4545,8.0,3.0,12.0
A1202,cuenta,Twitter::caminoflorido,Morena,0.9712,Morena | Corrupcion | Delitos,mixta,0.0909,mixta_disputa,Mixta/disputa,0.0909,24.0,20.0,48.0
A1203,cuenta,Twitter::@AntonioFraustoG,Prevencion,0.8136,Prevencion | Americo | Obras | Morena,negativa,-0.6,critica_oposicion,Crítica/oposición,-0.6,1.0,4.0,9.0
A1204,cuenta,YouTube::@arteseego1,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,5.0,0.0,5.0
A1205,cuenta,YouTube::@PrimitivodelMonte,Americo,0.9252,Americo | Corrupcion | Delitos | Morena,negativa,-0.7143,critica_oposicion,Crítica/oposición,-0.7143,1.0,6.0,10.0
A1206,cuenta,Twitter::Mima571130,Obras,0.8486,Obras,positiva,0.5,apoyo_defensa,Apoyo/defensa,0.5,12.0,4.0,16.0
A1207,cuenta,Facebook::Rafa Puga,,0.0,,neutral,0.0,sin_postura,Sin postura,0.0,0.0,0.0,0.0
A1208,cuenta,Twitter::ruleslogi,Delitos,0.9905,Delitos | Corrupcion | Morena | Prevencion,mixta,-0.12,mixta_disputa,Mixta/disputa,-0.12,11.0,14.0,26.0
A1209,cuenta,Twitter::Gabyosoriohdz,Morena,0.9112,Morena | Prevencion,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,9.0,0.0,12.0
A1210,cuenta,YouTube::@auroraalmudenasaavedrasola528,Prevencion,0.8894,Prevencion | Morena | Obras,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,4.0,4.0,10.0
A1211,cuenta,YouTube::@rosalindaosburn4351,Obras,0.9367,Obras | Morena | Americo | Basura,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,6.0,6.0,15.0
A1212,cuenta,YouTube::@NoéGuilléndeaquino,Corrupcion,1.0,Corrupcion | Delitos | Basura,positiva,0.4118,apoyo_defensa,Apoyo/defensa,0.4118,12.0,5.0,17.0
A1213,cuenta,Twitter::_1978_cristobal,,0.0,,positiva,1.0,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0
A1214,cuenta,Twitter::@bellik14451,Americo,0.9807,Americo | Morena | Corrupcion,mixta,0.0,mixta_disputa,Mixta/disputa,0.0,2.0,2.0,8.0
A1215,cuenta,YouTube::@sholonator92,Vialidad,0.7491,Vialidad,positiva,0.7143,apoyo_defensa,Apoyo/defensa,0.7143,6.0,1.0,8.0
A1216,cuenta,Twitter::Lilhernandez04,Morena,0.9435,Morena,positiva,0.25,apoyo_defensa,Apoyo/defensa,0.25,5.0,3.0,8.0
A1217,cuenta,YouTube::@cayodown5742,Vialidad,0.9944,Vialidad | Prevencion,positiva,0.7778,apoyo_defensa,Apoyo/defensa,0.7778,8.0,1.0,10.0
