palabra,tema_id,sub_id,color_tema,peso_lda,grado_total,grado_intra_sub,grado_intra_cluster,grado_extra,peso_intra_sub,peso_intra_cluster,peso_extra,pagerank,betweenness,clustering_coef,eigenvector,participation,z_within_degree,rol
mundial,3,0,#d62728,0.0593697801232337,48,6,38,4,481.0,565.0,415.0,0.001154,0.0,0.2934,0.0,0.8793,0.9671,broker
partido,3,0,#d62728,0.0435496903955936,50,6,40,4,367.0,624.0,331.0,0.001061,0.0,0.2963,0.0,0.8704,0.509,broker
futbol,3,0,#d62728,0.0409588441252708,34,6,27,1,331.0,438.0,112.0,0.000661,0.0,0.4955,0.0,0.8478,0.509,broker
deporte,3,5,#d62728,0.0204866491258144,27,4,22,1,159.0,330.0,106.0,0.000466,0.0,0.5556,0.0,0.8285,0.866,broker
deportivo,3,5,#d62728,0.0374436601996421,29,3,25,1,157.0,441.0,122.0,0.000535,0.0,0.5517,0.0,0.8014,0.866,broker
final,3,1,#d62728,0.0352924279868602,39,8,30,1,246.0,547.0,112.0,0.000715,0.0,0.4197,0.0,0.856,1.3416,broker
liga,3,1,#d62728,0.0219942089170217,25,8,16,1,234.0,289.0,68.0,0.000455,0.0,0.62,0.0,0.7936,1.3416,broker
seleccion,3,0,#d62728,0.0232325680553913,21,5,16,0,296.0,198.0,0.0,0.000386,0.0,0.7238,0.0,0.8027,0.509,broker
electrico,3,2,#d62728,0.0200530104339122,13,5,8,0,148.0,48.0,0.0,0.000285,0.0,0.5256,0.0,0.5799,1.1896,broker
energia,3,2,#d62728,0.0178499929606914,20,6,14,0,155.0,101.0,0.0,0.000324,0.0,0.4789,0.0,0.73,1.6654,broker
equipo,3,3,#d62728,0.0276483409106731,63,5,50,8,126.0,947.0,786.0,0.001362,0.0,0.2212,0.0,0.8798,1.5689,broker
copa,3,0,#d62728,0.0133476825430989,25,5,20,0,158.0,198.0,0.0,0.000291,0.0,0.6733,0.0,0.7936,0.0509,broker
mexicana,3,0,#d62728,0.0113085517659783,30,7,22,1,209.0,211.0,66.0,0.000426,0.0,0.4966,0.0,0.8467,0.9671,broker
tampiqueno,3,3,#d62728,0.0057085291482508,28,3,20,5,131.0,215.0,452.0,0.00049,0.0,0.5185,0.0,0.8673,0.9806,broker
estadio,3,1,#d62728,0.0162625294178724,27,6,20,1,129.0,270.0,74.0,0.000368,0.0,0.5442,0.0,0.823,0.6708,broker
talento,3,3,#d62728,0.0051832925528287,26,4,21,1,114.0,212.0,88.0,0.000339,0.0,0.5692,0.0,0.8402,0.9806,broker
participar,3,4,#d62728,0.0088332379236817,35,4,30,1,50.0,381.0,131.0,0.000475,0.0,0.4319,0.0,0.8424,1.666,broker
torneo,3,5,#d62728,0.0171824563294649,29,3,25,1,63.0,387.0,90.0,0.000426,0.0,0.5542,0.0,0.8181,0.866,broker
jugar,3,1,#d62728,0.012017018161714,21,3,18,0,69.0,191.0,0.0,0.000226,0.0,0.6714,0.0,0.8027,-0.6708,broker
electricidad,3,2,#d62728,0.0094411028549075,7,3,4,0,90.0,21.0,0.0,0.000165,0.0,0.7143,0.0,0.449,-0.2379,periferico
traer,3,6,#d62728,0.0054416581988334,30,4,26,0,43.0,271.0,0.0,0.000318,0.0,0.4322,0.0,0.8133,1.5076,broker
cuarto,3,6,#d62728,0.0059080435894429,19,2,17,0,22.0,155.0,0.0,0.000183,0.0,0.5848,0.0,0.7867,0.1508,broker
division,3,1,#d62728,0.0108109572902321,16,4,12,0,76.0,105.0,0.0,0.000166,0.0,0.8667,0.0,0.75,0.0,broker
cancha,3,5,#d62728,0.0087652839720249,17,3,14,0,59.0,138.0,0.0,0.000178,0.0,0.75,0.0,0.8028,0.0,broker
cruz,3,4,#d62728,0.0065952953882515,21,4,17,0,58.0,133.0,0.0,0.00024,0.0,0.4048,0.0,0.8299,1.666,broker
fernando,3,4,#d62728,0.0046962583437561,19,4,15,0,47.0,86.0,0.0,0.000217,0.0,0.4737,0.0,0.7812,2.1256,broker
villavicencio,3,4,#d62728,0.0010040875058621,2,1,1,0,21.0,4.0,0.0,7.1e-05,0.0,1.0,0.0,0.5,-0.6319,broker
colocar,3,2,#d62728,0.0047622350975871,17,3,14,0,22.0,93.0,0.0,0.000149,0.0,0.5662,0.0,0.7958,-0.2379,broker
falla,3,2,#d62728,0.0035253374371677,7,3,4,0,48.0,25.0,0.0,0.000113,0.0,0.6667,0.0,0.6939,-1.1896,broker
azul,3,4,#d62728,0.0086821299046278,12,2,10,0,24.0,81.0,0.0,0.000122,0.0,0.7727,0.0,0.7778,0.2872,broker
juventud,3,3,#d62728,0.0018601941410452,10,3,7,0,42.0,59.0,0.0,0.000115,0.0,0.8,0.0,0.76,-0.1961,broker
nunez,3,4,#d62728,0.0107027301564812,6,0,6,0,0.0,45.0,0.0,6.9e-05,0.0,1.0,0.0,0.6111,-1.0915,broker
arrancar,3,2,#d62728,0.0078731980174779,8,2,6,0,29.0,44.0,0.0,0.000104,0.0,0.8571,0.0,0.75,-1.6654,broker
petrolero,3,2,#d62728,0.0107493735849857,13,5,8,0,60.0,49.0,0.0,0.000148,0.0,0.5769,0.0,0.6982,0.2379,broker
femenil,3,1,#d62728,0.0046065226197242,12,3,9,0,35.0,62.0,0.0,0.000108,0.0,0.9091,0.0,0.7361,-1.3416,broker
campeonato,3,1,#d62728,0.0067851245403289,18,4,14,0,47.0,95.0,0.0,0.000156,0.0,0.732,0.0,0.7531,0.6708,broker
indicador,3,2,#d62728,0.001742334687151,5,1,4,0,15.0,19.0,0.0,8.2e-05,0.0,0.8,0.0,0.56,-1.1896,broker
promedio,3,2,#d62728,0.0104383137077093,9,4,5,0,36.0,24.0,0.0,0.000115,0.0,0.6667,0.0,0.3704,0.7137,periferico
dolares,3,2,#d62728,0.0044174217619001,15,4,10,1,32.0,70.0,67.0,0.000175,0.0,0.5714,0.0,0.7911,-0.2379,broker
planeta,3,6,#d62728,0.0032345675863325,12,2,10,0,12.0,60.0,0.0,0.000122,0.0,0.6515,0.0,0.7778,1.5076,broker
superar,3,2,#d62728,0.0073411869816482,17,5,12,0,46.0,73.0,0.0,0.000166,0.0,0.4926,0.0,0.7128,1.1896,broker
gigante,3,0,#d62728,0.002838077256456,5,4,1,0,38.0,5.0,0.0,6.8e-05,0.0,1.0,0.0,0.0,0.0509,periferico
carrera,3,4,#d62728,0.0127390883862972,18,2,16,0,19.0,103.0,0.0,0.000135,0.0,0.732,0.0,0.821,0.2872,broker
taco,3,3,#d62728,0.0025411786045879,7,1,6,0,13.0,28.0,0.0,0.000111,0.0,0.5238,0.0,0.5714,0.3922,broker
canada,3,6,#d62728,0.0041696922853589,10,2,8,0,22.0,48.0,0.0,0.000133,0.0,0.6444,0.0,0.72,0.8292,broker
franquicia,3,1,#d62728,0.0094746258109807,14,4,10,0,35.0,60.0,0.0,0.000122,0.0,0.5934,0.0,0.8367,-1.3416,broker
tamayo,3,4,#d62728,0.0013641834957525,5,1,4,0,12.0,22.0,0.0,7.1e-05,0.0,0.8,0.0,0.64,-0.1723,broker
pachuca,3,1,#d62728,0.0034981796052306,9,2,7,0,19.0,37.0,0.0,8.1e-05,0.0,0.8889,0.0,0.5679,-0.6708,broker
exitoso,3,4,#d62728,0.0029773202259093,7,1,6,0,6.0,32.0,0.0,7.2e-05,0.0,0.7143,0.0,0.6122,0.7468,broker
campeona,3,5,#d62728,0.0012744560372084,3,1,2,0,12.0,8.0,0.0,5.3e-05,0.0,1.0,0.0,0.6667,-1.7321,broker
organizador,3,5,#d62728,0.0043923105113208,5,0,5,0,0.0,29.0,0.0,6.1e-05,0.0,0.8,0.0,0.64,-0.866,broker
sustentable,3,3,#d62728,0.0028585726395249,4,1,3,0,11.0,14.0,0.0,5.9e-05,0.0,0.8333,0.0,0.625,-1.3728,broker
produccion,3,2,#d62728,0.0111606800928711,13,3,10,0,27.0,51.0,0.0,0.000112,0.0,0.6795,0.0,0.7574,-0.2379,broker
seguidor,3,6,#d62728,0.0045346533879637,9,1,8,0,8.0,51.0,0.0,8.9e-05,0.0,0.6667,0.0,0.7901,-0.5276,broker
clara,3,4,#d62728,0.0016507353866472,3,1,2,0,10.0,9.0,0.0,5.6e-05,0.0,1.0,0.0,0.6667,-0.6319,broker
