tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
0,119,5327.0,594.0,5921.0,0.8997,0.5463,-0.0,0.0,0.9844,huerfano
1,151,8033.0,114.0,8147.0,0.986,0.7107,-0.0,0.0,0.997,burbuja_vacia
2,132,5726.0,4024.0,9750.0,0.5873,0.6187,-0.0,0.0,0.8942,conector_legitimo
3,47,7383.0,36241.0,43624.0,0.1692,0.4685,0.0,0.0,0.0475,balanceado
4,115,3221.0,150.0,3371.0,0.9555,0.5914,-0.0,0.0,0.9961,burbuja_vacia
5,109,5832.0,2712.0,8544.0,0.6826,0.6307,-0.0,0.0,0.9287,conector_legitimo
6,116,8189.0,4059.0,12248.0,0.6686,0.7121,0.0,0.0,0.8933,conector_legitimo
7,106,9043.0,6087.0,15130.0,0.5977,0.7553,-0.0,0.0,0.84,conector_legitimo
8,144,3665.0,362.0,4027.0,0.9101,0.5557,0.0,0.0,0.9905,burbuja_vacia
9,103,1507.0,64.0,1571.0,0.9593,0.4683,-0.0,0.0,0.9983,burbuja_vacia
10,148,10175.0,1383.0,11558.0,0.8803,0.7675,-0.0,0.0,0.9637,huerfano
11,108,16218.0,7691.0,23909.0,0.6783,0.8742,-0.0,0.0,0.7979,conector_legitimo
12,149,9287.0,2310.0,11597.0,0.8008,0.5115,-0.0,0.0,0.9393,balanceado
13,143,12412.0,3765.0,16177.0,0.7673,0.8233,0.0,0.0,0.901,conector_legitimo
14,117,10650.0,4947.0,15597.0,0.6828,0.7504,-0.0,0.0,0.87,conector_legitimo
15,122,7571.0,5273.0,12844.0,0.5895,0.6261,-0.0,0.0,0.8614,conector_legitimo
16,102,2613.0,635.0,3248.0,0.8045,0.5019,0.0,0.0,0.9833,huerfano
17,165,8298.0,485.0,8783.0,0.9448,0.7961,0.0,0.0,0.9873,burbuja_vacia
18,86,14503.0,10082.0,24585.0,0.5899,0.8137,0.0,0.0,0.735,conector_legitimo
19,100,1143.0,452.0,1595.0,0.7166,0.3841,0.0,0.0,0.9881,huerfano
20,111,1034.0,0.0,1034.0,1.0,0.3124,-0.0,0.0,1.0,burbuja_vacia
21,76,12578.0,15797.0,28375.0,0.4433,0.7863,0.0,0.0,0.5848,conector_legitimo
22,135,6595.0,3201.0,9796.0,0.6732,0.6885,0.0,0.0,0.9159,conector_legitimo
23,116,10584.0,5153.0,15737.0,0.6726,0.7619,-0.0,0.0,0.8646,conector_legitimo
24,138,16079.0,1591.0,17670.0,0.91,0.8413,0.0,0.0,0.9582,burbuja_vacia
25,126,3110.0,51.0,3161.0,0.9839,0.5672,0.0,0.0,0.9987,burbuja_vacia
26,97,7631.0,4643.0,12274.0,0.6217,0.6921,0.0,0.0,0.878,conector_legitimo
27,70,28555.0,38049.0,66604.0,0.4287,0.8259,0.0,0.0,0.0,conector_legitimo
28,107,2266.0,880.0,3146.0,0.7203,0.3734,-0.0,0.0,0.9769,huerfano
29,89,1219.0,477.0,1696.0,0.7188,0.4735,0.0,0.0,0.9875,huerfano
30,157,4549.0,1236.0,5785.0,0.7863,0.5408,0.0,0.0,0.9675,huerfano
31,145,5162.0,1183.0,6345.0,0.8136,0.5981,-0.0,0.0,0.9689,huerfano
32,118,11389.0,8940.0,20329.0,0.5602,0.7923,0.0,0.0,0.765,conector_legitimo
33,89,18576.0,16750.0,35326.0,0.5258,0.8008,0.0,0.0,0.5598,conector_legitimo
34,83,1476.0,75.0,1551.0,0.9516,0.4062,-0.0,0.0,0.998,burbuja_vacia
