tema_id,sub_id,comunidad_cod,n_palabras,n_aristas,densidad,grado_medio,grado_max,asortatividad_peso,color
0,0,0,10,28,0.6222,5.6,8,-0.28,#1f77b4
0,1,1,17,25,0.1838,2.94,9,-0.223,#1f77b4
0,2,2,18,23,0.1503,2.56,5,0.173,#1f77b4
0,3,3,8,17,0.6071,4.25,7,-0.29,#1f77b4
0,4,4,7,7,0.3333,2.0,6,-0.828,#1f77b4
0,5,5,9,12,0.3333,2.67,6,-0.111,#1f77b4
0,6,6,10,11,0.2444,2.2,6,-0.429,#1f77b4
0,7,7,5,5,0.5,2.0,3,-0.202,#1f77b4
0,8,8,6,8,0.5333,2.67,4,-0.36,#1f77b4
0,9,9,12,8,0.1212,1.33,4,-0.344,#1f77b4
0,10,10,7,7,0.3333,2.0,3,0.059,#1f77b4
0,11,11,4,4,0.6667,2.0,3,-0.466,#1f77b4
0,12,12,4,6,1.0,3.0,3,-0.333,#1f77b4
0,13,13,4,1,0.1667,0.5,1,,#1f77b4
1,0,10000,4,5,0.8333,2.5,3,-0.589,#ff7f0e
1,1,10001,31,83,0.1785,5.35,24,-0.404,#ff7f0e
1,2,10002,11,24,0.4364,4.36,10,-0.609,#ff7f0e
1,3,10003,4,4,0.6667,2.0,3,-0.34,#ff7f0e
1,4,10004,9,8,0.2222,1.78,5,-0.283,#ff7f0e
1,5,10005,8,7,0.25,1.75,3,0.275,#ff7f0e
1,6,10006,6,7,0.4667,2.33,4,-0.352,#ff7f0e
1,7,10007,6,4,0.2667,1.33,3,-0.477,#ff7f0e
2,0,20000,35,84,0.1412,4.8,15,-0.133,#2ca02c
2,1,20001,5,5,0.5,2.0,4,-0.482,#2ca02c
2,2,20002,13,17,0.2179,2.62,7,-0.186,#2ca02c
2,3,20003,14,12,0.1319,1.71,4,0.108,#2ca02c
2,4,20004,12,9,0.1364,1.5,3,0.366,#2ca02c
2,5,20005,6,6,0.4,2.0,4,-0.343,#2ca02c
2,6,20006,10,9,0.2,1.8,5,-0.481,#2ca02c
