source,target,weight
abril,fiestas,52
autoridad,nivel,31
animal,maltrato,30
accidente,transito,29
autoridad,robo,24
adan,augusto,22
hermana,xochitl,22
autoridad,transito,20
autoridad,presentar,19
denuncia,presentar,19
autoridad,cumplir,18
autoridad,responsable,18
banda,presentar,17
par,robo,17
autoridad,presencia,16
moya,rocha,15
nivel,robo,13
autoridad,secuestro,13
lagunario,simulacro,13
hermana,menor,12
nivel,responsable,12
denuncia,utilizar,12
accidente,autoridad,12
denuncia,robo,12
nivel,presentar,12
banda,xochitl,11
cumplir,nivel,11
asunto,autoridad,11
autoridad,marcha,11
presencia,presentar,11
accidente,animal,11
nivel,puebla,11
autoridad,provocar,11
fiestas,reina,10
abril,reina,10
marcha,transito,10
banda,hermana,10
hermana,secuestro,10
marcha,violento,10
nivel,positivo,9
autoridad,vuelta,9
aurrera,bodega,9
madres,polo,9
descacharrizacion,retirar,9
lagunario,nivel,9
robo,secuestro,9
personaje,robo,9
accidente,senalamiento,9
abierto,desazolve,9
autoridad,cantidad,9
contigo,favorecer,9
rescatar,transito,9
banda,nivel,8
retirar,robo,8
autoridad,conocido,8
banda,conocido,8
autoridad,denuncia,8
centeno,munoz,8
denuncia,nivel,8
accidente,menor,8
adan,robo,8
accidente,responsable,8
responsable,transito,8
presentar,transito,8
efectivo,nivel,8
autoridad,solicitar,8
animal,autoridad,8
rapido,robo,8
descacharrizacion,ordenado,8
detras,presentar,8
abril,presentar,8
autoridad,auxilio,8
conocido,transito,8
ordenado,presentar,8
galardon,nivel,8
banda,responsable,7
autoridad,detras,7
abierto,presentar,7
john,miembro,7
john,presencia,7
autoridad,menor,7
presentar,utilizar,7
marcha,nivel,7
presentar,responsable,7
nivel,transito,7
augusto,robo,7
accidente,integrante,7
patrimonio,responsable,7
responsable,robo,7
bache,provocar,7
autoridad,munoz,7
nivel,rapido,7
allende,animal,7
nivel,patrimonio,7
cumplir,fuga,7
bache,fuga,7
marcha,provocar,7
bache,transito,7
garza,rapido,7
caballero,reina,6
caballero,ruben,6
autoridad,cadena,6
cumplir,solicitar,6
abierto,solicitar,6
abril,cumplir,6
autoridad,dificil,6
integrante,presentar,6
cumplir,reina,6
denuncia,madres,6
animal,rescatar,6
mando,transito,6
banda,presencia,6
accidente,cantidad,6
autoridad,miembro,6
autoridad,utilizar,6
abierto,menor,6
accidente,nivel,6
