source,target,weight
mujer,violencia,129
hombre,mujer,106
madre,mujer,98
juan,pablo,90
hijo,madre,89
justicia,mujer,89
guadalupe,virgen,68
hija,madre,63
mujer,salir,62
mujer,paz,61
mujer,pedir,54
caso,mujer,54
madre,salir,54
buscar,salir,52
buscar,mujer,51
hijo,mujer,50
madre,pedir,48
madre,virgen,47
pedir,salir,46
madre,senora,46
mujer,victima,44
hijo,salir,42
llamar,nombre,42
hija,mujer,42
hija,hijo,41
mama,mujer,40
buscar,madre,40
paz,violencia,39
justicia,paz,39
llamar,mujer,39
salir,senora,39
hijo,pedir,39
madre,paz,39
encontrar,mujer,38
madre,mama,38
mujer,voz,37
cancer,mama,36
mujer,nombre,36
madre,volver,36
lider,mujer,36
guadalupe,madre,35
nombre,salir,35
mujer,senora,35
llamar,salir,34
justicia,victima,34
mujer,volver,34
jesus,paz,33
hijo,senor,33
encontrar,madre,33
justicia,salir,33
buscar,justicia,32
buscar,encontrar,31
pedir,senor,31
madre,senor,31
justicia,madre,31
llamar,senora,31
paz,sentido,31
existir,mujer,30
paz,santo,30
madre,nombre,30
paz,salir,29
mama,salir,29
nombre,pedir,29
pedir,senora,29
hombre,salir,29
caso,pedir,29
alcalde,paz,29
cancer,mujer,29
justicia,pedir,29
alcalde,carlos,29
madre,santa,29
paz,senor,29
cielo,madre,28
encontrar,salir,28
mujer,senor,28
hijo,mama,28
mujer,red,28
cartel,terrorista,28
mama,papa,27
salir,volver,27
morir,mujer,26
dolor,madre,26
diego,juan,26
hijo,senora,26
hijo,tierra,25
nombre,senora,25
llamar,madre,25
existir,salir,25
salir,senor,25
justicia,violencia,25
caso,salir,25
caso,madre,25
caso,justicia,25
buscar,paz,24
amen,paz,24
senor,senora,24
encontrar,pedir,24
hija,mama,24
policia,salir,24
hijo,justicia,24
buscar,hijo,24
caso,policia,23
hermano,madre,23
hijo,nombre,23
existir,hijo,23
hombre,senora,23
llamar,papa,23
juan,virgen,23
mujer,sentido,23
encontrar,mama,22
madre,tierra,22
jamas,mujer,22
mujer,tierra,22
acto,mujer,22
hermano,salir,22
hija,pedir,22
mujer,santa,22
carlos,mujer,22
miguel,rocio,22
madre,matar,22
imagen,mujer,22
llamar,pedir,22
hombre,madre,22
jamas,salir,22
buscar,nombre,22
arma,cartel,22
paz,pedir,21
encontrar,paz,21
pedir,volver,21
matar,policia,21
buscar,pedir,21
hombre,justicia,21
muerte,mujer,21
hijo,papa,21
criminal,salir,21
madre,policia,21
cartel,salir,21
madre,violencia,21
lider,salir,21
guadalupe,juan,21
impunidad,justicia,21
edad,hija,21
carlos,juan,20
jalisco,madre,20
organizacion,terrorista,20
madre,morir,20
santo,virgen,20
llamar,mama,20
guadalupe,senora,20
buscar,senora,20
morir,pedir,19
jesus,senor,19
mujer,policia,19
blanco,mujer,19
encontrar,hermano,19
mama,pedir,19
justicia,senora,19
encontrar,nombre,19
aceptar,salir,19
encontrar,hijo,19
caso,encontrar,19
criminal,organizacion,19
carlos,jesus,19
azul,salir,19
hermano,hijo,19
buscar,volver,19
hijo,morir,19
hijo,paz,19
orden,paz,19
existir,madre,18
cargo,mujer,18
muerto,salir,18
alcalde,mujer,18
