source,target,weight
cdvictoria,tamaulipas,81
matamoros,reynosa,70
altamira,matamoros,58
nuevolaredo,reynosa,51
altamira,reynosa,48
matamoros,nuevolaredo,48
cdvictoria,matamoros,48
reynosa,tamaulipas,46
altamira,tamaulipas,44
altamira,madero,44
altamira,cdmadero,40
altamira,cdvictoria,40
cdmadero,cdvictoria,37
altamira,nuevolaredo,36
cdmadero,matamoros,35
cdmadero,reynosa,34
cdvictoria,reynosa,32
matamoros,tamaulipas,32
cdmadero,tamaulipas,31
aplicar,reglamento,27
nuevolaredo,tamaulipas,27
madero,tamaulipas,26
lópez,obrador,26
aplicar,regla,26
reglamento,ridículo,23
regla,ridículo,23
ciudadvictoria,reynosa,20
fiscal,huachicol,19
cdvictoria,monterrey,19
coahuila,tamaulipas,19
altamira,ciudadmadero,19
madero,matamoros,18
cdvictoria,nuevolaredo,17
buscar,tamaulipas,17
cdmx,guadalajara,17
andy,lópez,16
coahuila,monterrey,16
cdmx,tamaulipas,16
ciudadvictoria,nuevolaredo,16
regla,roberto,15
aplicar,ridículo,15
ciudadvictoria,tamaulipas,15
comentario,participar,14
madero,reynosa,14
coahuila,guadalajara,14
paz,tamaulipas,13
beltrán,lópez,13
gordo,pez,13
ciudadmadero,matamoros,13
comentario,ganador,12
justicia,tamaulipas,12
matamoros,riobravo,12
reynosa,riobravo,12
nuevolaredo,riobravo,12
dejar,tamaulipas,12
jugador,árbitro,12
madero,pánuco,12
altamira,pánuco,12
monterrey,puebla,12
reynosa,vallehermoso,11
nuevolaredo,vallehermoso,11
lopez,obrador,11
participar,tamaulipas,11
jugador,reglamento,11
defender,ridículo,11
monterrey,slp,11
cdmx,coahuila,11
cdvictoria,madero,11
ciudadvictoria,matamoros,11
información,tamaulipas,10
millón,tamaulipas,10
inversión,tamaulipas,10
monterrey,tamaulipas,10
pumas,ridículo,10
jugador,regla,10
madero,nuevolaredo,10
ciudadmadero,tamaulipas,10
cdvictoria,coahuila,10
altamira,cdmx,10
cdmx,madero,10
hijo,tamaulipas,10
justicia,morena,9
cdvictoria,info,9
info,matamoros,9
huachicol,lópez,9
jugador,ridículo,9
america,regla,9
defender,regla,9
monterrey,toluca,9
slp,toluca,9
coahuila,slp,9
slp,tamaulipas,9
guadalajara,tamaulipas,9
guadalajara,monterrey,9
reynosa,ríobravo,9
matamoros,ríobravo,9
estrategia,tamaulipas,9
altamira,ciudadvictoria,9
ganador,participar,8
cdmadero,info,8
altamira,info,8
riobravo,vallehermoso,8
hijo,huachicol,8
manuel,obrador,8
juego,regla,8
regla,reglas,8
regla,reglamento,8
tamaulipas,toluca,8
cdvictoria,ligamx,8
ligamx,monterrey,8
pedir,tamaulipas,8
love,one,8
morena,tamaulipas,8
coahuila,morena,8
coahuila,pri,8
josué,tamaulipas,7
mundo,tamaulipas,7
convencido,tamaulipas,7
entrar,jugador,7
regla,árbitro,7
puebla,slp,7
cdvictoria,slp,7
cdvictoria,toluca,7
coahuila,toluca,7
guadalajara,toluca,7
león,monterrey,7
guadalajara,león,7
guadalajara,puebla,7
nuevolaredo,ríobravo,7
federal,tamaulipas,7
cdvictoria,nld,7
nld,reynosa,7
matamoros,nld,7
madero,nld,7
monterrey,reynosa,7
matamoros,monterrey,7
ciudadmadero,ciudadvictoria,7
matamoros,slp,7
morena,pri,7
cuál,sanción,6
renovación,tamaulipas,6
morena,robar,6
criminal,morena,6
andy,beltrán,6
hijo,obrador,6
fiscal,obrador,6
lópez,manuel,6
jugador,pumas,6
dejar,regla,6
final,regla,6
gomez,roberto,6
america,aplicar,6
dejar,proteger,6
cdvictoria,información,6
coahuila,ligamx,6
cdvictoria,guadalajara,6
cdvictoria,león,6
león,puebla,6
elmante,matamoros,6
altamira,elmante,6
ciudadmadero,elmante,6
cdmx,ciudadmadero,6
cdvictoria,federal,6
cdmx,monterrey,6
monterrey,ríobravo,6
amor,tamaulipas,6
reynosa,slp,6
pri,tamaulipas,6
justicia,paz,6
fan,mundo,6
dejar,favor,5
doble,pase,5
participar,pase,5
doble,participar,5
federal,justicia,5
federal,funcionario,5
atrás,dejar,5
comentario,dejar,5
riobravo,tamaulipas,5
dejar,terminar,5
llegar,traer,5
dejar,empezar,5
gordo,puro,5
hijo,lópez,5
andy,huachicol,5
andy,lopez,5
fiscal,lópez,5
reportar,tamaulipas,5
ladrón,robar,5
morena,morén,5
liga,regla,5
aplicar,liga,5
pumas,reglamento,5
aplicar,roberto,5
reglamento,árbitro,5
ridículo,árbitro,5
comentario,ridículo,5
comentario,regla,5
aplicar,jugador,5
america,reglamento,5
buscar,dejar,5
cdvictoria,puebla,5
elpuntoes,tamaulipas,5
información,reynosa,5
ríobravo,tamaulipas,5
cdmx,elmante,5
cdmx,león,5
dejar,paz,5
cdmx,reynosa,5
cdvictoria,ciudadvictoria,5
altamira,monterrey,5
favor,tamaulipas,5
ciudadmadero,nuevolaredo,5
ciudadmadero,reynosa,5
cdmx,puebla,5
madero,monterrey,5
altamira,slp,5
altamira,morena,5
ciudadvictoria,madero,5
cocodrilo,tamaulipas,5
convencido,paz,5
encontrar,mundo,4
amor,dejar,4
concierto,pase,4
concierto,doble,4
comentario,doble,4
concierto,participar,4
comentario,concierto,4
canción,participar,4
canción,comentario,4
justicia,mexicana,4
federal,robar,4
dejar,participar,4
dejar,ganador,4
llegar,madero,4
altamira,llegar,4
tamaulipas,vallehermoso,4
buscar,llegar,4
sol,tamaulipas,4
acudir,sol,4
llegar,mundo,4
par,traer,4
huachicol,robo,4
andy,hijo,4
aplicar,defender,4
funcionario,morena,4
lópez,morena,4
encontrar,prueba,4
ignorante,morena,4
huachicol,obrador,4
pedir,trump,4
huachicol,lopez,4
huachicol,manuel,4
fiscal,manuel,4
criminal,justicia,4
excelente,morena,4
final,tamaulipas,4
criminal,llegar,4
mundo,trump,4
llegar,tamaulipas,4
crear,dejar,4
atacar,morén,4
comentario,like,4
menor,tamaulipas,4
padre,tamaulipas,4
america,ridículo,4
comentario,roberto,4
pumas,roberto,4
pumas,regla,4
liga,pumas,4
liga,ridículo,4
aplicar,final,4
favor,regla,4
dejar,ridículo,4
negocio,tamaulipas,4
excelente,saludos,4
marcar,reglamento,4
marcar,ridículo,4
america,gomez,4
jugador,sanción,4
entrar,final,4
america,reglas,4
problema,regla,4
jugador,lesionado,4
juego,árbitro,4
defender,jugador,4
fmf,guadalajara,4
guadalajara,negocio,4
final,terminar,4
empezar,proteger,4
bola,proteger,4
información,josué,4
josué,reynosa,4
diputado,tamaulipas,4
gracia,paz,4
lópez,paz,4
estadio,tamaulipas,4
abrazo,amor,4
monterrey,nuevolaredo,4
elmante,monterrey,4
encontrar,tamaulipas,4
dejar,madero,4
prueba,puro,4
federal,matamoros,4
reportar,robo,4
ciudadmadero,madero,4
esperanza,paz,4
buscar,estrategia,4
final,traer,4
proteger,tamaulipas,4
cdvictoria,dejar,4
ciudadvictoria,ríobravo,4
ríobravo,slp,4
cdvictoria,morena,4
coahuila,madero,4
madero,morén,4
