source,target,weight
hijo,madre,152
hija,madre,75
hija,hijo,58
hijo,senor,49
amar,madre,47
madre,pensar,46
dolor,madre,45
madre,senor,45
madre,valer,44
pena,valer,43
alguien,pensar,42
madre,perder,41
hermano,madre,39
pensar,senor,36
hijo,pena,36
hijo,pensar,36
hermano,hijo,35
alguien,pena,34
alguien,madre,34
alguien,amigo,34
madre,pena,34
pensar,perder,33
alguien,miedo,32
madre,quitar,32
hijo,papa,31
alguien,quitar,31
madre,miedo,31
madre,morir,31
amar,senor,30
alguien,amar,30
amigo,hijo,30
alguien,senor,29
madre,tocar,29
libro,porunavidasexy,29
amigo,perder,28
pensar,valer,28
hijo,morir,28
alguien,hijo,27
amigo,senor,27
hijo,perder,26
perder,valer,26
hijo,valer,26
perder,quitar,25
pena,senor,25
pensar,quitar,25
hijo,miedo,25
madre,regresar,25
miedo,senor,25
miedo,pensar,25
hijo,quitar,25
perder,sufrir,25
alguien,morir,24
amar,hijo,24
llorar,perder,24
amigo,pensar,24
alguien,perder,23
alguien,hija,23
miedo,quitar,23
amigo,hermano,23
amar,papa,23
libro,stand,23
madre,papa,22
perder,senor,22
amigo,tocar,22
dolor,hijo,22
cabeza,madre,22
morir,pensar,21
amar,pensar,21
amar,pena,21
hijo,tocar,21
miedo,perder,21
hermano,senor,21
amigo,madre,21
pena,perder,21
senor,valer,20
alguien,valer,20
amigo,pena,20
pensar,tocar,20
hijo,llorar,20
cabeza,hijo,20
morir,pena,20
cabeza,pensar,20
pena,pensar,20
papa,pensar,19
perdida,resignacion,19
senor,tocar,19
hija,pensar,19
morir,perder,18
alguien,tocar,18
quitar,senor,18
miedo,morir,18
miedo,valer,18
hermano,pensar,18
llorar,madre,18
hijo,regresar,18
amar,regresar,17
senor,tranquilo,17
amar,quitar,17
hermano,quitar,17
perder,regresar,17
amigo,regresar,17
morir,regresar,17
amar,miedo,17
hija,papa,17
alguien,cabeza,17
alguien,hermano,17
miedo,pena,17
amar,morir,17
perder,tocar,17
pensar,regresar,16
dolor,sufrir,16
hija,regresar,16
pena,tocar,16
madre,tirar,16
bajar,quitar,16
dolor,perder,15
llorar,pensar,15
amar,perder,15
bastar,perder,15
amigo,miedo,15
amar,hija,15
hija,perder,15
chica,pensar,15
quitar,tocar,15
porunavidasexy,stand,15
madre,sufrir,15
morir,senor,15
cabeza,senor,15
alguien,dolor,14
perder,rato,14
hermano,morir,14
miedo,papa,14
madre,perdida,14
asco,pena,14
amigo,hija,14
alguien,asco,14
alguien,regresar,14
pena,quitar,14
estudiar,hijo,14
nocturno,perder,14
morir,quitar,14
resignacion,senor,14
dolor,perdida,14
dolor,pensar,13
dolor,morir,13
alguien,papa,13
amar,tocar,13
regresar,senor,13
alguien,llorar,13
quitar,tranquilo,13
amar,hermano,13
quitar,regresar,13
dedicar,perder,13
amigo,papa,13
dedicar,madre,13
madre,mala,13
bajar,pensar,13
papa,senor,13
amigo,valer,13
morir,valer,13
delante,hijo,13
