source,target,weight
politico,pueblo,130
dinero,pueblo,112
morena,politico,108
morena,pueblo,101
corrupto,pueblo,87
corrupto,morena,83
dinero,morena,77
pueblo,servir,72
dinero,politico,69
claro,pueblo,68
corrupto,politico,67
morena,pri,66
crimen,organizado,65
corrupcion,morena,62
prian,pueblo,61
corrupcion,pueblo,60
corrupcion,corrupto,59
pan,pri,57
corrupto,dinero,57
corrupcion,politico,56
acabar,pueblo,55
pueblo,votar,55
corrupcion,dinero,55
morena,pan,52
pan,politico,51
pueblo,verguenza,51
morena,prian,48
corrupto,verguenza,43
bola,pueblo,41
dinero,servir,41
gobernar,pueblo,40
morena,votar,39
corrupto,prian,39
claro,politico,37
crimen,morena,36
politico,servir,36
dinero,verguenza,35
politico,pri,35
acabar,morena,35
organizado,pueblo,34
criminal,pueblo,33
morena,verguenza,33
jamas,pueblo,32
dinero,pan,32
cargo,politico,32
bola,corrupto,32
politico,verguenza,32
criminal,morena,32
acabar,dinero,32
cuba,pueblo,32
morena,servir,32
claro,morena,32
pan,pueblo,31
corrupto,ratero,31
crimen,criminal,31
crimen,politico,31
pri,pueblo,30
acabar,politico,30
acabar,corrupcion,29
gobernar,morena,29
dinero,hermano,28
bola,politico,28
dinero,prian,28
dinero,pri,27
claro,dinero,27
idea,pueblo,27
corrupto,gobernar,27
criminal,politico,27
hermano,pueblo,26
cargo,pueblo,26
dinero,votar,26
acabar,corrupto,26
cabeza,pan,26
morena,organizado,26
pueblo,ratero,25
crimen,pueblo,25
corrupto,pri,25
pan,panista,25
organizado,politico,25
cabeza,dinero,25
claro,corrupcion,24
claro,pan,24
cabeza,corrupto,24
dano,pueblo,24
claro,servir,24
artificial,inteligencia,24
aumentar,servir,24
ministro,pueblo,23
politico,votar,23
caber,duda,23
claro,corrupto,23
aumentar,dinero,23
acabar,prian,23
corrupto,servir,23
corrupto,votar,22
cabeza,politico,22
corrupto,criminal,22
morena,panista,22
cabeza,morena,22
politico,ratero,22
pan,servir,21
corrupcion,servir,21
maldito,politico,21
bola,morena,21
criminal,dinero,21
acabar,hermano,21
pueblo,razon,21
acabar,claro,21
pan,votar,21
