source,target,weight
fiscalia,investigacion,92
fiscal,huachicol,58
asegurar,fiscalia,38
asegurar,funcionario,36
iniciar,junio,36
fiscal,investigacion,33
aduana,huachicol,32
asegurar,investigacion,32
asegurar,negocio,31
confirmar,junio,30
jueves,junio,28
investigacion,juez,26
asegurar,junio,26
negocio,operar,25
huachicol,investigacion,24
fiscal,funcionario,23
asegurar,hidrocarburo,23
pachuca,toluca,23
hidrocarburo,investigacion,22
investigacion,negocio,22
funcionario,huachicol,22
negocio,permiso,22
investigacion,junio,20
confirmar,investigacion,19
droga,negocio,19
asegurar,mostrar,19
fiscalia,hidrocarburo,19
junio,justo,19
asegurar,febrero,18
fiscal,sat,18
afirmar,asegurar,18
asegurar,confirmar,18
asegurar,diario,18
junio,mostrar,18
confirmar,fiscalia,18
aduana,funcionario,18
asegurar,serie,17
funcionario,iniciar,16
confirmar,iniciar,16
fiscalia,juez,16
junio,negocio,16
iniciar,negocio,15
iniciar,investigacion,15
fiscal,negocio,14
fiscalia,funcionario,14
asegurar,operar,14
fiscal,operar,14
funcionario,negocio,13
negocio,significar,13
huachicol,negocio,13
asegurar,fiscal,13
negocio,tijuana,13
huachicol,operar,13
diario,justo,12
afirmar,mostrar,12
decena,negocio,12
investigacion,justo,12
fiscal,ingreso,12
huachicol,juez,12
fiscal,fiscalia,12
afirmar,investigacion,12
asegurar,iniciar,12
consumo,negocio,12
asegurar,recientemente,11
aduana,negocio,11
diario,mostrar,11
aceptar,negocio,11
hidrocarburo,huachicol,11
fiscalia,ministerial,11
huachicol,huachicolero,11
jalisco,negocio,11
aficion,junio,11
afirmar,junio,11
confirmar,negocio,10
fiscal,paraiso,10
fiscalia,iniciar,10
aceptar,juego,10
ingreso,negocio,10
aduana,operar,10
fiscalia,huachicol,10
diario,huachicol,10
permiso,soberano,10
ingreso,junio,10
gastronomia,negocio,10
investigacion,operar,10
confirmar,funcionario,10
negocio,resistencia,9
fijar,investigacion,9
justo,negocio,9
jueves,mostrar,9
jueves,serie,9
diario,negocio,9
fiscalia,junio,9
investigacion,revelar,9
fiscal,juez,9
iniciar,serie,9
aceptar,asegurar,9
asegurar,significar,9
dirigido,junio,9
aduana,investigacion,9
droga,justo,9
aceptar,escandalo,9
dirigido,juego,9
asegurar,permiso,9
asegurar,juez,9
droga,huachicol,9
iniciar,jueves,9
asegurar,justo,9
mostrar,permiso,9
droga,permiso,9
festejar,record,9
hidrocarburo,operar,9
juego,serie,9
negocio,sat,8
confirmar,juez,8
funcionario,mostrar,8
fiscalia,revelar,8
asegurar,revelar,8
mostrar,rosa,8
cabello,mostrar,8
dirigido,iniciar,8
iniciar,justo,8
justo,permiso,8
febrero,investigacion,8
escena,figura,8
huachicol,mostrar,8
huachicol,justo,8
asegurar,huachicol,8
droga,funcionario,8
jalisco,justo,8
afirmar,funcionario,8
asegurar,jalisco,8
confirmar,operar,8
diario,iniciar,8
asegurar,gastronomia,8
atropellamiento,involucrar,8
gastronomia,junio,8
jalisco,serie,8
confirmar,ingreso,8
juez,negocio,7
fiscal,resistencia,7
investigacion,mostrar,7
casas,tijuana,7
iniciar,rosa,7
justo,significar,7
justo,mostrar,7
jalisco,tijuana,7
afirmar,huachicol,7
ingreso,investigacion,7
dirigido,negocio,7
justo,masivo,7
afirmar,figura,7
confirmar,mostrar,7
jalisco,mostrar,7
diario,fiscal,7
fiscal,hidrocarburo,7
consumo,junio,7
azul,juego,7
asegurar,presumir,7
funcionario,huachicolero,7
funcionario,juez,7
confirmar,fiscal,7
aduana,asegurar,7
azul,junio,7
escandalo,huachicol,7
atraco,junio,7
revelar,serie,7
funcionario,serie,7
jalisco,presumir,7
diario,investigacion,7
jalisco,juego,7
investigacion,presumir,7
efectivo,investigacion,7
negocio,serie,7
gastronomia,mostrar,7
asegurar,consumo,7
hidrocarburo,juez,7
ingreso,jueves,7
diario,junio,7
anticipar,junio,7
febrero,negocio,6
juez,mostrar,6
afirmar,negocio,6
asegurar,resistencia,6
aceptar,confirmar,6
confirmar,legislador,6
funcionario,revelar,6
mostrar,negocio,6
iniciar,mostrar,6
azul,negocio,6
iniciar,operar,6
fiscalia,huachicolero,6
iniciar,monumental,6
funcionario,legislador,6
asegurar,juego,6
efectivo,ingreso,6
luisa,presidencial,6
febrero,serie,6
febrero,juarez,6
asegurar,legislador,6
geografia,ingreso,6
ingreso,justo,6
asegurar,figura,6
confirmar,jalisco,6
aduana,justo,6
iniciar,licenciado,6
asegurar,juarez,6
cuello,investigacion,6
huachicol,revelar,6
escandalo,funcionario,6
funcionario,operar,6
gobernante,investigacion,6
asegurar,ingreso,6
diario,significar,6
fiscal,huachicolero,6
dimension,investigacion,6
funcionario,sat,6
aduana,fiscal,6
huachicol,involucrar,6
aceptar,jalisco,6
eua,justo,6
escandalo,justo,6
efectivo,negocio,6
asegurar,droga,6
asegurar,jueves,6
funcionario,investigacion,6
jueves,monumental,6
fiscal,narcos,6
confirmar,leal,6
investigacion,juarez,6
droga,gobernante,6
gobernante,justo,6
diario,permiso,6
justo,record,6
juego,negocio,6
ingreso,juez,6
azul,mostrar,6
jalisco,permiso,6
fiscal,junio,6
asegurar,azul,6
consumo,revelar,6
iniciar,revelar,6
aceptar,azul,6
afirmar,diario,6
festejar,juego,6
isla,revelar,6
isla,serie,6
justo,rosa,5
jueves,negocio,5
diario,rosa,5
juez,rosa,5
cuello,negocio,5
aceptar,juez,5
mostrar,operar,5
fiscalia,mostrar,5
huachicolero,investigacion,5
apoderar,negocio,5
aduana,droga,5
juarez,negocio,5
droga,investigacion,5
ingreso,iniciar,5
finanza,fiscal,5
dirigido,jueves,5
azul,justo,5
negocio,rosa,5
rosa,tijuana,5
ingreso,mostrar,5
huachicol,masivo,5
mostrar,serie,5
decena,huachicol,5
huachicol,presidencial,5
eua,fiscal,5
huachicol,ingreso,5
febrero,fiscalia,5
fiscal,revelar,5
diario,funcionario,5
droga,mostrar,5
afirmar,febrero,5
juez,justo,5
negocio,proveedor,5
huachicolero,negocio,5
aficion,azul,5
aduana,huachicolero,5
investigacion,ministerial,5
fiscal,justo,5
fiscalia,procesado,5
figura,junio,5
fiscal,juego,5
permiso,tijuana,5
diario,ingreso,5
investigacion,jalisco,5
eua,jalisco,5
droga,jalisco,5
droga,isla,5
diario,droga,5
fiscal,gobernante,5
huachicol,permiso,5
eua,huachicol,5
aduana,afirmar,5
figura,investigacion,5
cuello,huachicol,5
investigacion,narcos,5
funcionario,justo,5
iniciar,modificar,5
figura,legislador,5
droga,fiscalia,5
gobernante,permiso,5
justo,sat,5
gobernante,negocio,5
aduana,permiso,5
aficion,juego,5
aceptar,justo,5
justo,rango,5
aceptar,rosa,5
negocio,soberano,5
juego,significar,5
conexion,jalisco,5
afirmar,consumo,5
jueves,tijuana,5
atropellamiento,fiscalia,5
operar,permiso,5
fiscal,permiso,5
juego,jueves,5
confirmar,figura,5
tijuana,toluca,5
asegurar,proveedor,5
consumo,significar,5
iniciar,juego,5
ascenso,asegurar,5
junio,serie,5
junio,masivo,5
cabello,fiscalia,4
juez,sat,4
juez,microfono,4
juego,juez,4
critica,juego,4
juez,soberano,4
juez,venganza,4
gobernante,venganza,4
junio,significar,4
aceptar,mostrar,4
dimension,mostrar,4
juarez,mostrar,4
asegurar,cuello,4
confirmar,resistencia,4
fijar,juez,4
figura,negocio,4
figura,significar,4
funcionario,ingreso,4
asegurar,presidencial,4
jueves,operar,4
anticipar,jueves,4
junio,proveedor,4
enjambre,investigacion,4
diario,presumir,4
cabello,diario,4
cabello,rosa,4
confirmar,dirigido,4
fortuna,negocio,4
febrero,junio,4
atraco,iniciar,4
fiscal,masivo,4
aceptar,leal,4
fiscal,serie,4
fiscal,iniciar,4
casas,negocio,4
efectivo,mostrar,4
febrero,significar,4
droga,eua,4
isla,negocio,4
fiscalia,negocio,4
decena,jueves,4
apoderar,droga,4
negocio,record,4
fiscal,mostrar,4
droga,junio,4
confirmar,luisa,4
juego,permiso,4
efectivo,escandalo,4
efectivo,funcionario,4
juarez,juez,4
iniciar,juez,4
droga,operar,4
funcionario,rango,4
droga,iniciar,4
asegurar,decena,4
microfono,venganza,4
huachicol,paisaje,4
juego,mostrar,4
droga,paraiso,4
funcionario,junio,4
conviccion,resistencia,4
justo,tijuana,4
figura,juego,4
jueves,luisa,4
huachicol,presumir,4
juarez,operar,4
negocio,presumir,4
jalisco,operar,4
diario,juarez,4
aceptar,ingreso,4
funcionario,gobernante,4
asegurar,rango,4
efectivo,jalisco,4
cuello,funcionario,4
cabello,negocio,4
huachicol,soberano,4
gobernante,masivo,4
aceptar,iniciar,4
afirmar,iniciar,4
funcionario,modificar,4
diario,fiscalia,4
junio,permiso,4
justo,presidencial,4
apoderar,eua,4
apoderar,permiso,4
decente,droga,4
droga,soberano,4
droga,narcos,4
narcos,soberano,4
diario,sat,4
casas,justo,4
investigacion,rosa,4
aficion,ascenso,4
jueves,mantente,4
aficion,jalisco,4
diario,legislador,4
funcionario,permiso,4
influyente,investigacion,4
impecable,juego,4
juarez,justo,4
huachicol,sat,4
droga,serie,4
droga,tijuana,4
efectivo,soberano,4
eua,gobernante,4
fortuna,junio,4
consumo,funcionario,4
dirigido,influyente,4
jalisco,toluca,4
huachicol,iniciar,4
droga,licenciado,4
dimension,funcionario,4
funcionario,publicamente,4
atropellamiento,investigacion,4
catedral,jueves,4
azul,paisaje,4
azul,escena,4
geografia,mostrar,4
confirmar,justo,4
pachuca,tijuana,4
aficion,justo,4
consumo,ingreso,4
dirigido,funcionario,4
aduana,jueves,4
afirmar,operar,4
dirigido,fiscalia,4
finanza,funcionario,4
fiscalia,presumir,4
atropellamiento,recientemente,4
afirmar,permiso,4
revelar,rosa,4
jueves,juez,3
resistencia,sat,3
critica,juez,3
juego,microfono,3
modificar,venganza,3
leal,licenciado,3
rosa,venganza,3
asegurar,casas,3
casas,investigacion,3
confirmar,cuello,3
diario,resistencia,3
justo,operar,3
enterate,funcionario,3
fiscalia,presidencial,3
gobernante,leal,3
mostrar,pausa,3
confirmar,revelar,3
operar,revelar,3
mostrar,revelar,3
dirigido,mostrar,3
afirmar,revelar,3
huachicolero,junio,3
apoderar,juarez,3
aduana,juarez,3
dimension,fiscalia,3
escandalo,huachicolero,3
figura,influyente,3
aficion,toluca,3
escena,puesta,3
funcionario,monumental,3
iniciar,legislador,3
disenado,negocio,3
basica,dirigido,3
negocio,paraiso,3
festejar,fiscal,3
figura,resistencia,3
diario,juez,3
afirmar,fiscal,3
casas,diario,3
