source,target,weight
huachicol,lopez,64
fiscal,huachicol,59
fiscal,lopez,47
norma,pina,33
aduana,huachicol,31
espanol,ingles,30
exposicion,metropolitano,29
exposicion,junio,27
galvez,xochitl,25
clase,junio,23
clase,huachicol,21
exposicion,generacion,21
exposicion,metro,19
entrada,exposicion,19
moya,rocha,18
metropolitano,teatro,18
clase,lopez,18
metro,viaje,17
eliminar,lopez,16
hidrocarburo,huachicol,16
clase,ingles,16
jorge,lopez,16
campana,junio,15
lopez,tonto,15
banda,lopez,14
metro,metropolitano,14
aduana,lopez,14
generacion,lopez,13
entrada,metro,13
banda,galvez,13
entrada,junio,13
lopez,ramon,13
exposicion,museo,13
generacion,rock,13
banda,xochitl,12
campana,esterilizacion,12
huachicolero,lopez,12
clase,espanol,12
lopez,museo,12
afirmar,lopez,12
junio,viaje,12
banda,blues,12
campana,xochitl,11
fiscal,hidrocarburo,11
galeria,metro,11
escandalo,lopez,11
lopez,viaje,11
afirmar,junio,11
payaso,tonto,10
exposicion,galeria,10
fiscal,paraiso,10
clase,generacion,10
espanol,payaso,10
huachicol,texas,10
junio,lopez,10
huachicol,periodistico,10
leal,lopez,10
junio,museo,10
generacion,junio,10
combinar,junio,10
entrada,texas,9
seno,teatro,9
lopez,teatro,9
lopez,profesional,9
barco,huachicol,9
boleto,entrada,9
exposicion,lopez,9
generacion,profesional,9
comunicado,junio,9
lopez,xochitl,8
lopez,surgir,8
moya,sinaloa,8
cinismo,lopez,8
museo,viaje,8
metro,teatro,8
banda,rock,8
junio,texas,8
ausencia,doler,8
lopez,rocha,8
clase,viaje,8
espanol,viaje,8
ingles,viaje,8
bye,ingles,8
objeto,profesional,8
lopez,martha,8
huachicol,huachicolero,8
boleto,viaje,8
atraco,junio,8
banda,generacion,8
afirmar,generacion,8
bolsillo,lopez,8
boleto,leal,8
rocha,sinaloa,7
entrada,teatro,7
farol,teatro,7
afirmar,huachicol,7
afirmar,fiscal,7
lopez,personaje,7
lopez,metro,7
figura,lopez,7
ausencia,lopez,7
campana,eliminar,7
festejar,generacion,7
lopez,paraiso,7
fiscal,tonto,7
huachicol,sinaloa,7
escandalo,huachicol,7
huachicol,personaje,7
metro,rocha,7
lopez,sucio,7
lopez,pina,7
personaje,tonto,7
huachicol,ojeda,7
entrada,metropolitano,7
compania,metro,7
fiscal,junio,7
clase,comunicado,7
junio,profesional,7
jefa,lopez,6
entrada,generacion,6
clase,metro,6
festejar,tele,6
exacto,lopez,6
barco,museo,6
espanol,lopez,6
generacion,museo,6
generacion,metro,6
metro,museo,6
espanol,profesional,6
personaje,texas,6
lopez,moya,6
afirmar,eliminar,6
afirmar,campana,6
clase,fiscal,6
boleto,teatro,6
espanol,metro,6
clase,compania,6
campana,teatro,6
comunicado,lopez,6
afirmar,figura,6
campana,fiscal,6
aduana,tonto,6
sucio,tonto,6
texas,viaje,6
boleto,jorge,6
junio,metro,6
huachicol,sucio,6
exposicion,impresionante,6
aduana,huachicolero,6
cinismo,huachicol,6
fiscal,huachicolero,6
documentado,junio,6
admirable,lopez,6
aduana,fiscal,6
