posicion_id,tema_id,posicion_num,nombre,resumen,n_cuentas,n_msgs,n_palabras_tema,top_words,top_subclusters,plataformas,mono_tema_share,top5_cuentas_share,hhi_cuentas,max_hour_share,duplicate_share,top_url_share,ibea_score,ibea_nivel,postura_actor,postura_actor_etiqueta,postura_actor_score,postura_actor_apoyo,postura_actor_critica,postura_actor_evidencia,postura_actor_referencias,postura_actor_mensajes
T00_P1,0,1,"Familia, cuidados y vida comunitaria","Familia, cuidados y vida comunitaria. Grupo de 17 cuentas dentro de T00: pais, nina, nino; usa principalmente hijo, nino, investigar, cosa, cualquiera, pais. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",17,22,72,"hijo, nino, investigar, cosa, cualquiera, pais, empezar, nina, control, muerto, mujer","S1:50, S-1:13, S4:5, S3:3, S2:1","{""YouTube"": 17}",0.0,0.4306,0.0733,0.0909,0.0,0.0,27.5,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T00_P2,0,2,"Familia, cuidados y vida comunitaria","Familia, cuidados y vida comunitaria. Grupo de 18 cuentas dentro de T00: pais, nina, nino; usa principalmente nino, nina, hijo, mujer, investigar, muerto. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",18,27,71,"nino, nina, hijo, mujer, investigar, muerto, cosa, derecho, cualquiera, empezar, pais","S-1:44, S1:14, S2:7, S3:4, S4:2","{""YouTube"": 18}",0.0,0.3803,0.0601,0.1481,0.0,0.0,34.9,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T01_P1,1,1,"Perspectiva sobre t01: unico, social, arte, con énfasis en tampicotecuida","Perspectiva sobre t01: unico, social, arte, con énfasis en tampicotecuida. Grupo de 5 cuentas dentro de T01: unico, social, arte; usa principalmente tampicotecuida, experiencia, vivir, historia, contar, tampicovacontodo. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",5,20,48,"tampicotecuida, experiencia, vivir, historia, contar, tampicovacontodo, jaiba, social, cultura, unico, domingo, agosto","S0:21, S1:17, S2:5, S3:5","{""Facebook"": 2, ""Instagram"": 2, ""TikTok"": 1}",0.2,1.0,0.303,0.15,0.4,0.0,65.9,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T02_P1,2,1,"Perspectiva sobre t02: tampico, julio, localjueves, con énfasis en tampico","Perspectiva sobre t02: tampico, julio, localjueves, con énfasis en tampico. Grupo de 10 cuentas dentro de T02: tampico, julio, localjueves; usa principalmente tampico, julio, sol, buscar, editorial, altamira. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",10,68,191,"tampico, julio, sol, buscar, editorial, altamira, integrante, localjueves, espacio, martes, jueves, encuentro","S0:100, S-1:57, S2:22, S1:12","{""Instagram"": 3, ""TikTok"": 2, ""Twitter"": 2, ""Facebook"": 1, ""Medios"": 1, ""YouTube"": 1}",0.0,0.9005,0.5912,0.0588,0.0294,0.6667,44.0,medio,apoyo_defensa,Apoyo/defensa,0.3333,4.0,2.0,6.0,35,6
T03_P1,3,1,"Perspectiva sobre t03: mexico, pesos, ciento, con énfasis en amigo","Perspectiva sobre t03: mexico, pesos, ciento, con énfasis en amigo. Grupo de 2 cuentas dentro de T03: mexico, pesos, ciento; usa principalmente amigo, pesos, delincuencia, detener, organizado, paz. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",2,2,10,"amigo, pesos, delincuencia, detener, organizado, paz","S0:3, S3:3, S4:3, S1:1","{""YouTube"": 2}",0.0,1.0,0.58,0.5,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T04_P1,4,1,"Perspectiva sobre t04: tamaulipas, sur, nacional, con énfasis en tamaulipas","Perspectiva sobre t04: tamaulipas, sur, nacional, con énfasis en tamaulipas. Grupo de 3 cuentas dentro de T04: tamaulipas, sur, nacional; usa principalmente tamaulipas, sur, nacional, cerrar, norte. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",3,4,12,"tamaulipas, sur, nacional, cerrar, norte","S0:8, S2:3, S4:1","{""YouTube"": 2, ""TikTok"": 1}",0.0,1.0,0.3472,0.5,0.0,0.0,42.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T05_P1,5,1,"Perspectiva sobre t05: desarrollar, viernes, desarrollo, con énfasis en concluir","Perspectiva sobre t05: desarrollar, viernes, desarrollo, con énfasis en concluir. Grupo de 3 cuentas dentro de T05: desarrollar, viernes, desarrollo; usa principalmente concluir, formar, desarrollo, municipal, crecimiento, deporte. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",3,4,15,"concluir, formar, desarrollo, municipal, crecimiento, deporte, gracias, habitante, manana, puerta, visitante","S0:9, S2:3, S1:2, S3:1","{""TikTok"": 2, ""Instagram"": 1}",0.0,1.0,0.3956,0.25,0.0,0.0,42.0,medio,apoyo_defensa,Apoyo/defensa,1.0,1.0,0.0,1.0,3,1
T07_P1,7,1,Reclamos de seguridad y justicia,"Reclamos de seguridad y justicia. Grupo de 56 cuentas dentro de T07: justicia, hija, campamento; usa principalmente justicia, pasar, mama, caer, hija, culpa. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",56,72,220,"justicia, pasar, mama, caer, hija, culpa, responsable, mal, querer, morir, mano, pagar","S1:49, S3:35, S7:35, S2:33, S6:33, S4:16","{""YouTube"": 55, ""Instagram"": 1}",0.0357,0.1909,0.021,0.0556,0.0,0.5,33.4,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T07_P2,7,2,"Familia, cuidados y vida comunitaria","Familia, cuidados y vida comunitaria. Grupo de 29 cuentas dentro de T07: justicia, hija, campamento; usa principalmente campamento, curso, meter, mama, pasar, hija. Senal indiciaria bajo; requiere lectura cualitativa antes de concluir coordinacion.",29,37,125,"campamento, curso, meter, mama, pasar, hija, querer, caer, alguien, culpa, pagar, adolescente","S5:51, S3:17, S6:14, S1:14, S7:10, S4:7","{""YouTube"": 29}",0.0,0.288,0.0391,0.1081,0.0,0.0,25.8,bajo,sin_postura,Sin postura,0.0,0.0,0.0,0.0,0,0
T09_P1,9,1,"Perspectiva sobre t09: mundo, cuerpo, sentir, con énfasis en hora","Perspectiva sobre t09: mundo, cuerpo, sentir, con énfasis en hora. Grupo de 3 cuentas dentro de T09: mundo, cuerpo, sentir; usa principalmente hora, dejar, cuerpo, humano, mundo. Senal indiciaria medio; requiere lectura cualitativa antes de concluir coordinacion.",3,3,10,"hora, dejar, cuerpo, humano, mundo","S2:4, S1:3, S4:2, S0:1","{""YouTube"": 2, ""Twitter"": 1}",0.0,1.0,0.34,0.3333,0.0,1.0,60.0,medio,sin_postura,Sin postura,0.0,0.0,0.0,0.0,2,0
