posicion_id,tema_id,rank,palabra,conteo
T00_P1,0,1,hijo,34
T00_P1,0,2,nino,11
T00_P1,0,3,investigar,9
T00_P1,0,4,cosa,7
T00_P1,0,5,cualquiera,2
T00_P1,0,6,pais,2
T00_P1,0,7,empezar,2
T00_P1,0,8,nina,2
T00_P1,0,9,control,1
T00_P1,0,10,muerto,1
T00_P1,0,11,mujer,1
T00_P2,0,1,nino,27
T00_P2,0,2,nina,17
T00_P2,0,3,hijo,9
T00_P2,0,4,mujer,6
T00_P2,0,5,investigar,4
T00_P2,0,6,muerto,3
T00_P2,0,7,cosa,1
T00_P2,0,8,derecho,1
T00_P2,0,9,cualquiera,1
T00_P2,0,10,empezar,1
T00_P2,0,11,pais,1
T01_P1,1,1,tampicotecuida,14
T01_P1,1,2,experiencia,8
T01_P1,1,3,vivir,5
T01_P1,1,4,historia,4
T01_P1,1,5,contar,3
T01_P1,1,6,tampicovacontodo,3
T01_P1,1,7,jaiba,2
T01_P1,1,8,social,2
T01_P1,1,9,cultura,2
T01_P1,1,10,unico,2
T01_P1,1,11,domingo,1
T01_P1,1,12,agosto,1
T02_P1,2,1,tampico,77
T02_P1,2,2,julio,41
T02_P1,2,3,sol,12
T02_P1,2,4,buscar,11
T02_P1,2,5,editorial,7
T02_P1,2,6,altamira,7
T02_P1,2,7,integrante,6
T02_P1,2,8,localjueves,6
T02_P1,2,9,espacio,5
T02_P1,2,10,martes,4
T02_P1,2,11,jueves,3
T02_P1,2,12,encuentro,3
T03_P1,3,1,amigo,3
T03_P1,3,2,pesos,3
T03_P1,3,3,delincuencia,1
T03_P1,3,4,detener,1
T03_P1,3,5,organizado,1
T03_P1,3,6,paz,1
T04_P1,4,1,tamaulipas,4
T04_P1,4,2,sur,3
T04_P1,4,3,nacional,3
T04_P1,4,4,cerrar,1
T04_P1,4,5,norte,1
T05_P1,5,1,concluir,2
T05_P1,5,2,formar,2
T05_P1,5,3,desarrollo,2
T05_P1,5,4,municipal,2
T05_P1,5,5,crecimiento,1
T05_P1,5,6,deporte,1
T05_P1,5,7,gracias,1
T05_P1,5,8,habitante,1
T05_P1,5,9,manana,1
T05_P1,5,10,puerta,1
T05_P1,5,11,visitante,1
T07_P1,7,1,justicia,32
T07_P1,7,2,pasar,27
T07_P1,7,3,mama,17
T07_P1,7,4,caer,16
T07_P1,7,5,hija,14
T07_P1,7,6,culpa,12
T07_P1,7,7,responsable,11
T07_P1,7,8,mal,11
T07_P1,7,9,querer,11
T07_P1,7,10,morir,8
T07_P1,7,11,mano,6
T07_P1,7,12,pagar,6
T07_P2,7,1,campamento,21
T07_P2,7,2,curso,15
T07_P2,7,3,meter,15
T07_P2,7,4,mama,9
T07_P2,7,5,pasar,7
T07_P2,7,6,hija,7
T07_P2,7,7,querer,7
T07_P2,7,8,caer,5
T07_P2,7,9,alguien,5
T07_P2,7,10,culpa,4
T07_P2,7,11,pagar,4
T07_P2,7,12,adolescente,3
T09_P1,9,1,hora,4
T09_P1,9,2,dejar,3
T09_P1,9,3,cuerpo,1
T09_P1,9,4,humano,1
T09_P1,9,5,mundo,1
T10_P1,10,1,militar,23
T10_P1,10,2,madre,9
T10_P1,10,3,menor,2
T10_P1,10,4,sufrir,2
T10_P1,10,5,violencia,2
T10_P1,10,6,actividad,1
T10_P1,10,7,victima,1
T10_P1,10,8,video,1
T11_P1,11,1,ano,12
T11_P1,11,2,escenario,3
T11_P1,11,3,impulsar,3
T11_P1,11,4,oportunidad,2
T11_P1,11,5,ofrecer,2
T11_P1,11,6,importante,2
T11_P1,11,7,pequeno,2
T11_P1,11,8,consecuencia,1
T11_P1,11,9,economico,1
T11_P1,11,10,entender,1
T12_P1,12,1,militarizado,7
T12_P1,12,2,ciudad,2
T12_P1,12,3,dafne,1
T12_P1,12,4,fallecimiento,1
T12_P1,12,5,luis,1
T13_P1,13,1,deber,8
T13_P1,13,2,hombre,5
T13_P1,13,3,problema,3
T13_P1,13,4,cercano,2
T13_P1,13,5,ejercito,2
T13_P1,13,6,agua,2
T13_P1,13,7,escuchar,1
T13_P1,13,8,apoyar,1
T13_P1,13,9,jorge,1
T13_P1,13,10,gobierno,1
T13_P1,13,11,ley,1
T13_P1,13,12,obra,1
T14_P1,14,1,comunidad,1
T14_P1,14,2,construir,1
T14_P1,14,3,proyecto,1
T15_P1,15,1,caso,14
T15_P1,15,2,joven,8
T15_P1,15,3,abuso,4
T15_P1,15,4,familia,3
T15_P1,15,5,existir,1
T15_P1,15,6,declarar,1
T15_P1,15,7,mes,1
T15_P1,15,8,ocurrir,1
T16_P1,16,1,villarreal,14
T16_P1,16,2,monica,14
T16_P1,16,3,prevencion,6
T16_P1,16,4,jornada,6
T16_P1,16,5,oferta,4
T16_P1,16,6,saludable,3
T16_P1,16,7,fortalecer,2
T16_P1,16,8,bienestar,1
T16_P1,16,9,extraordinario,1
T16_P1,16,10,programa,1
T17_P1,17,1,padre,16
T17_P1,17,2,persona,5
T17_P1,17,3,excelente,3
T17_P1,17,4,alcaldesa,2
T17_P1,17,5,atender,1
T17_P1,17,6,autoridad,1
T17_P1,17,7,colonia,1
T17_P1,17,8,diverso,1
T17_P1,17,9,criminal,1
T17_P1,17,10,investigacion,1
T17_P1,17,11,perder,1
T18_P1,18,1,seguir,2
T18_P1,18,2,afiliado,1
T18_P1,18,3,calidad,1
T18_P1,18,4,inversion,1
T18_P1,18,5,publica,1
T20_P1,20,1,escuela,46
T20_P1,20,2,alumno,8
T20_P1,20,3,maestro,8
T20_P1,20,4,verano,6
T20_P1,20,5,metro,6
T20_P1,20,6,presidenta,4
T20_P1,20,7,ninos,3
T20_P1,20,8,disciplina,2
T20_P1,20,9,iniciar,1
T20_P1,20,10,estatal,1
T20_P1,20,11,fuerza,1
T21_P1,21,1,escolar,7
T21_P1,21,2,vacacion,6
T21_P1,21,3,secretaria,4
T21_P1,21,4,compromiso,2
T21_P1,21,5,direccion,2
T21_P1,21,6,plantel,2
T21_P1,21,7,exito,2
T21_P1,21,8,sector,2
T21_P1,21,9,proteger,1
T22_P1,22,1,vida,3
T22_P1,22,2,encontrar,1
T22_P1,22,3,nivel,1
T22_P1,22,4,similar,1
T23_P1,23,1,exposicion,22
T23_P1,23,2,bodies,11
T23_P1,23,3,dia,9
T23_P1,23,4,cultural,9
T23_P1,23,5,gratuito,9
T23_P1,23,6,metropolitano,8
T23_P1,23,7,entrada,7
T23_P1,23,8,turistico,7
T23_P1,23,9,descubrir,5
T23_P1,23,10,disfrutar,5
T23_P1,23,11,compartir,4
T23_P1,23,12,jardin,4
T24_P1,24,1,academia,30
T24_P1,24,2,muerte,26
T24_P1,24,3,madero,22
T24_P1,24,4,director,21
T24_P1,24,5,doenitz,20
T24_P1,24,6,militarizada,19
T24_P1,24,7,seguridad,18
T24_P1,24,8,amenazar,16
T24_P1,24,9,temer,16
T24_P1,24,10,septiembre,15
T24_P1,24,11,dano,4
T24_P1,24,12,nombre,4
T25_P1,25,1,casa,15
T25_P1,25,2,mandar,7
T25_P1,25,3,salir,4
T25_P1,25,4,quedar,2
T25_P1,25,5,fuerte,1
T25_P1,25,6,responsabilidad,1
