k,coherencia_c_v,perplexity
25,0.38439494722088285,-7.241724119194939
26,0.400303930592799,-7.254007000467659
27,0.3878371366761112,-7.264830948497229
28,0.36421510408422286,-7.283797335404299
29,0.3741084263430986,-7.302079643202774
30,0.38967093766430133,-7.326522763175368
31,0.3820633384933557,-7.3125888520136195
32,0.3794227936314693,-7.323677060049044
33,0.37783611965509667,-7.311765721195661
34,0.36796588977229194,-7.333881850739408
35,0.3987715062593826,-7.376579179265383
