de_tema,a_tema,termino_interno,termino_externo,weight
3,12,impulsado,nacional,9
3,12,mujer,hombre,7
3,13,federal,programa,6
3,13,apoyar,programa,6
3,13,mujer,programa,5
3,14,pardo,claudia,28
3,14,federal,gobierno,13
3,14,impulsado,claudia,8
3,16,federal,secretaria,11
3,16,responsable,autoridad,9
3,16,federal,autoridad,7
3,17,federal,estatal,12
3,17,garcia,luna,5
3,18,economico,ciudad,8
3,18,economico,municipio,8
3,18,apoyar,ciudad,6
3,19,lleno,dia,5
3,19,originario,veracruz,5
3,19,tomar,dia,5
3,20,mujer,colonia,7
3,20,responsable,accidente,6
3,20,plaza,zona,5
3,21,pardo,sheinbaum,27
3,21,pardo,reforestacion,9
3,21,impulsado,reforestacion,8
3,22,pardo,presidenta,23
3,22,impulsado,presidenta,13
3,22,mujer,presidenta,11
3,23,economico,desarrollo,16
3,23,economico,fortalecer,14
3,23,iniciativa,fortalecer,11
3,24,responsable,academia,9
3,24,participacion,joven,7
3,24,responsable,mora,6
3,25,responsable,caso,12
3,25,responsable,presunto,8
3,25,participacion,proceso,7
4,0,buscar,tampico,20
4,0,empresa,tampico,16
4,0,casa,tampico,13
4,1,buscar,ley,10
4,1,buscar,pedir,8
4,1,guardia,gobernador,7
4,2,organizado,mexico,9
4,2,comenzar,mexico,6
4,2,abusar,oficina,6
4,5,buscar,deber,8
4,5,buscar,pais,8
4,5,quedar,deber,6
4,6,basico,acuerdo,5
4,7,buscar,atencion,5
4,7,guardia,atencion,4
4,8,buscar,sur,9
4,8,basico,educacion,8
4,8,buscar,mantener,5
4,9,buscar,ano,10
4,9,clandestino,refineria,9
4,9,comenzar,ano,8
4,10,buscar,tamaulipas,18
4,10,guardia,tamaulipas,17
4,10,casa,julio,11
4,11,buscar,turistico,6
4,11,casa,turistico,4
4,11,conversacion,red,4
4,12,guardia,nacional,20
4,12,tercer,nacional,9
4,12,casa,nacional,7
4,13,empresa,local,10
4,13,comenzar,manana,7
4,13,empresa,distintivo,6
4,14,responsabilidad,social,5
4,14,buscar,gobierno,5
4,15,comenzar,agosto,8
4,15,quedar,nivel,5
