,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25
T0,0,10,34,10,31,5,22,108,12,36,36,20,22,30,19,32,3,41,5,0,32,13,3,11,18,6
T1,10,0,105,8,21,20,27,19,0,25,11,24,14,13,17,20,6,18,3,0,28,3,0,131,6,3
T2,23,76,0,12,54,54,5,0,18,46,30,52,79,39,45,38,88,64,29,0,38,24,23,192,105,8
T3,8,8,18,0,45,11,129,24,9,11,25,22,15,23,46,26,12,29,20,0,4,5,13,11,4,3
T4,13,4,75,30,0,15,18,18,66,31,34,65,23,30,49,22,8,51,12,0,11,15,43,10,134,19
T5,3,18,81,11,40,0,20,3,3,22,20,22,18,34,28,16,52,27,11,0,18,3,3,16,39,3
T6,19,22,36,129,39,8,0,16,3,9,33,16,6,22,42,50,0,42,3,0,0,0,15,0,0,6
T7,78,13,16,21,18,3,16,0,0,20,100,33,109,10,15,63,4,34,19,0,38,6,0,10,86,21
T8,12,0,34,11,85,5,11,0,0,19,5,32,10,22,87,9,5,34,5,0,5,5,12,8,7,3
T9,36,29,76,11,33,24,15,25,19,0,21,16,44,16,4,37,7,13,13,0,11,12,6,63,28,3
T10,18,11,33,23,49,20,33,67,5,9,0,23,99,11,7,71,29,26,0,0,35,9,30,22,88,11
T11,13,14,77,18,68,20,19,27,20,11,17,0,30,18,32,30,24,34,24,0,26,18,10,28,18,5
T12,8,9,89,12,35,16,6,97,10,21,99,33,0,14,26,39,19,48,3,0,42,3,21,15,207,4
T13,28,9,57,23,33,34,25,16,22,14,11,20,17,0,47,25,20,43,24,0,31,3,3,14,51,6
T14,16,12,58,44,73,28,54,15,72,0,7,32,26,44,0,26,8,36,27,0,7,4,3,7,4,7
T15,20,14,61,23,28,16,53,48,4,25,71,24,36,19,26,0,25,34,3,0,36,3,16,34,32,4
T16,3,6,103,12,17,64,3,4,5,7,29,30,19,28,19,28,0,56,14,0,43,24,11,72,20,0
T17,30,12,81,26,66,27,36,19,26,7,17,28,45,25,24,31,49,0,24,0,24,3,34,11,52,7
T18,7,5,45,24,21,15,3,21,7,15,4,35,10,30,38,8,18,39,0,0,8,19,27,20,10,9
T19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T20,32,26,48,0,20,16,6,47,3,11,41,29,51,31,7,39,39,24,8,0,0,26,8,18,46,3
T21,13,9,38,13,22,17,2,9,7,18,12,41,12,19,18,9,28,17,19,0,34,0,10,4,5,17
T22,5,4,42,19,73,13,21,3,12,8,49,18,24,3,11,24,13,44,25,0,14,10,0,16,15,5
T23,11,117,222,4,13,16,0,10,6,61,25,28,15,14,7,40,66,17,12,0,18,0,10,0,15,6
T24,0,0,125,4,131,18,0,65,4,22,73,12,186,18,4,20,8,43,0,0,37,0,8,9,0,11
T25,8,7,102,9,28,7,10,36,5,5,11,5,8,10,13,17,0,13,9,0,5,23,7,6,29,0
