documento_id,plataforma,usuario,tipo_registro,lemas
5cc6205249df57c9a33d,Medios,Milenio,articulo,laguna carpintero atractivo turistico excelencia tampico cabo batalla silencioso atencion dominio ecosistema cocodrilos guerra cocodrilo joven alcanzar metro protagonista historia final feliz referir terminar exilio tragico significar terminar vida fauz cocodrilo alpha mayo julio ano documentar muerte cocodrilo macho menor tamano aparecer muerto dano herida raspon diverso cuerpo partido mitad encontrar recientemente autoridad ambiental oceanologo marcelo rene garcia explicar joven perder batalla rey laguna macho dominante especie dominante territorial existir posibilidad acercar demasiado nido tratar comportamiento normal cocodrilo grande dominant buscar considerar competencia especie territorial nacimiento explicar experto medio ambiente detallar ecosistema medio efervescencia importante epoca anidacion generar especimen pequeno buscar nido
fc804119fd7616865377,Facebook,Mónica Villarreal,publicacion_institucional,inauguracion exposicion bodies espacio cultural metropolitano
a1028dbc811874b2ffaa,Instagram,prevencion.delito_tampico,mencion,ciclo escolar instruccion presidenta municipal tampico monica zacil villarreal anaya programa prevencion violencias entorno escolar direccion prevencion delito escuela beneficiar estudiante gracias plantel abrirnos puerta cuerpo directivo docente escuela mil estudiante impartir conferencia desear divertido vacacion ciclo escolar seguir construir tampico paz tampico tampico tampicovacontodos escuela vacacion
b795c56f62f81fd05b8e,TikTok,prevenciondelitotampico,mencion,gobierno municipal tampico encabezar presidenta monica zacil villarreal anaya invitar vivir experiencia extraordinario aprendizaje diversion unificar hacerte escuadron elite mini guardianes accion direccion prevencion delito puedes con reto cita jueves julio manana centro bienestar paz colonia solidaridad voluntad entrada gratuito limite edad tampico tampicotecuida ninas ninos viral
685d9da577fc7b5976bb,Medios,El Sol de México,articulo,localmiercoles julio dia perro tampico concurso premio diversion mascota actividad gratuito incluir loteria dinamico concurso foto fortalecer cuidado responsable yadira hernandez
b607db6e75bf33284519,Medios,Milenio,articulo,presuntamente familiar requeer atencion clinica medico sistema dif altamira querer atender forma inmediato noche martes registrar discusion empleado dependencia municipal particular demandar presencia guardia estatal pretender entrar fuerza centro atencion medico detener civil rina altamira secretario ayuntamiento jose francisco perez ramirez senalar pedir apoyo corporacion seguridad publico arribar unidad elemento discusion civil agente seguridad detencion persona caso similar semana comentario torno situacion ocurrir noche funcionario municipal senalar problema registrar semana poblacion desesperar demandar atencion medico rapido instalacion capacidad prestacion servicio rebasado demanda ocasion
fc16081a44a938fc9d34,Twitter,@MonicaVTampico,publicacion_institucional,reuni afiliado cmic tamaulipas compartir avance programa obra publica sumar millon pesos inversion desarrollo tampico agradecer respaldo seguir impulsar proyecto estrategico ciudad
bcf63c0b0ff8a5eb9d68,Instagram,monicavtampico,publicacion_institucional,manana reuni afiliado cmic tamaulipas compartir avance lograr tampico contar inversion millon pesos obra publico resultado suma recurso municipal gobierno agradecer cmic entrega cheque dif tampico fortalecer labor social municipio elaboracion proyecto ejecutivo impulsar desarrollo tampico tampicovacontodo tampicotecuida
1b788d8e80a79d4dad04,TikTok,monicavtampico,publicacion_institucional,manana reuni afiliado cmic tamaulipas compartir avance lograr tampico contar inversion millon pesos obra publico resultado suma recurso municipal gobierno agradecer cmic entrega cheque dif tampico fortalecer labor social municipio elaboracion proyecto ejecutivo impulsar desarrollo tampico tampicovacontodo tampicotecuida
de8f298df124db1eeb25,Facebook,Mónica Villarreal,publicacion_institucional,inaugurar exposicion bodies muestra anatomia humano impactant mundo recorrer pais recibir millon visitante consolidir destino apostar cultura conocimiento turismo experiencia alla exposicion pabellon tampico cuidar direccion salud distrito salud bienestar acercar familia servicio gratuito prevencion promocion salud deteccion vih hepatitis vacunacion prevencion cancer mama orientacion nutricional programa cecodiat lonchera plato saludable invitar extraordinario exposicion seguir disfrutar tampico ofrecer espacio cultural metropolitano metro julio costo boleto individual paquete familiar persona paquete amigos persona puntos venta comentario
83dd337b4bd2ce3e7ced,Medios,Milenio,articulo,autobus pasajero linea hola impactar automovil particular carretera federal costera golfo reportar persona muerto herido accidente ocurrir miercoles carretera tramo alamo temapache cerro azul persona fallecido victima identificar nombre diana juan viajar automovil originario cerro azul persona fallecido regresar cerro azul auto tsuru asistir baile feria comunidad potrero llano municipio alamo temapache pasajero lesionado auxiliar paramedico corporacion emergencia cerro azul potrero llano municipio alamo proteccion civil municipal trasladar hospital cerro azul tramo carretero felipe cerrar parcialmente circulacion atender siniestro zona permanecer acordonado elemento ejercito mexicano guardia nacional veracruzanos lesionado accidente tamaulipas tamaulipas autobus recorer ruta monterrey leon tantoyuca veracruz accidentar dejar resultado persona lesionado siniestro registrar carretera altura estacion san francisco tamaulipas conductor trailer involucrado fuga hcm
f2de8e142051b7c67b04,Medios,El Sol de México,articulo,deportesmiercol julio maquinita vazquez tampiqueno sonar debutar nivel profesional boxeo mexicano campeon olimpico nacional racha invicto tamaulipeco proyectar joven promesa pugilismo gustavo corona
2cc1056a2b6d8baf4af8,Medios,Milenio,articulo,conducir exceso velocidad querer esquivar bache evitar impactar unidad empresa refresquero operador pipa cargado litro gasolina volcar costado puente esperanza municipio altamira registrar manana miercoles lateral puente sentido sur norte arribar autoridad proteccion civil regional proteccion civil municipal guardia nacional agentes seguridad asipona altamira dependencia lograr contener derrame combustible voladura tanque pesado unidad registrar fisura zona litro combustible lograr contener derrame cabe mencion labor transvase tardar hora pasar ciento litro quedar tanque exhortar tomar medida precaucion funcionario municipal llamado operador vehiculo dimension conducir descansado empresa midar presionen llegar destino manejar presionado razon accidente jetl
1caf54e2d111d82dc980,Medios,El Sol de México,articulo,amenazar muerte director academia militarizada doenitz temer seguridad mexicoplan reforma electoral senado eleccion judicial mantener sheinbaum
5e7473d00bb6c46f8e98,Medios,Milenio,articulo,elementos seguridad publica paramedico lograr intervenir salvar vida hombre pretender vacio distinto estructura vial tampico incidente reportado consecutivo linea emergencia martes tarde movilizar rapidamente elemento policiaco aplicar protocolo contencion evitar caso terminar tragedia suceso puente tampico suceso registrar hora autoridad alertar presencia persona sentado peligroso bordo contencion puente tampico llegar sitio oficial entablar dialogo descubrir hombre presentar fuerte crisis nervioso sostener severo discusion pareja sentimental sujeto amigo asegurar area zona riesgo retirar pie suceso puente peatonal minutos tarde llamada auxilio ingresar reportar escenario similar puente peatonal ubicado avenida ejercito mexicano justo frente hospital general carlos canseco joven encontrar sentado barda proteccion intencion rapido llegada paramedico
eb16be858bbad3cc7503,Medios,Milenio,articulo,buzo morir playa miramar tarde miercoles labor pesca frente faro escollera ciudad madero hombre conocido companero apa rescatar agua localizar flotar presentar signo vital incidente ocurrir hora nicolas ano edad ingresar agua rio panuco practicar pesca buceo actividad habitual ocurrir fallecimiento buzo playa miramar acuerdo relato companero pescador llegar sitio iniciar inmersion costumbre minutos tarde observar cuerpo flotar arrastrar corriente distancia aproximado metro mar adentro gracias boya senalizacion utilizar inmersion lograr agua orilla confirmar presentar signo vital informar autoridad acudir elemento policia estatal secretaria marina tomar conocimiento diligencia correspondiente familiares amigo pescador arribar sitio lamentar ocurrido preliminar presumir hombre sufrir infarto fulminante encontrar agua obstante autoridad
29fcce935f4ce88c9ed6,Instagram,turismotampico,mencion,final siglo xix catedral tampico acompanar crecimiento ciudad continuar icono fotografiado centro historico majestuoso torre arquitectura tranquilidad respirar interior convertir sitio valer pena descubrir recorrser corazon ciudad olvidar vivir historia admirar belleza dejar historia formar experiencia visitatampico vivelahistoriatampico catedraldelainmaculadaconcepcion
e73457efff9a1e2886dd,Medios,El Sol de México,articulo,ciencia saludmiercoles julio parecer lindo nutria observador ave encuentro inesperado altamira integrante club observacion aves altamira pasean semana buscar ave fomentar amor naturaleza ciudadania antonio campos
