tema_id,n_terminos,top_20_terminos,coherencia_tema_cv,calidad_tema,visible_por_defecto,titulo_curado,resumen_curado,motivo_calidad,curacion_manual
0,17,"pais(0.016), nina(0.015), nino(0.015), hijo(0.014), investigar(0.012), cosa(0.011), muerto(0.010), camara(0.009), cualquiera(0.009), empezar(0.008), cabo(0.008), condicion(0.007), derecho(0.007), cumplir(0.007), mujer(0.007), delegacion(0.005), control(0.005)",0.3953,media,True,,,coherencia c_v,False
1,15,"unico(0.021), social(0.018), arte(0.018), jaiba(0.018), experiencia(0.018), historia(0.016), agosto(0.015), tampicovacontodo(0.014), domingo(0.014), vivir(0.014), tampicotecuida(0.014), contar(0.013), privado(0.009), cultura(0.009), afirmar(0.005)",0.3496,media,True,,,coherencia c_v,False
2,16,"tampico(0.112), julio(0.079), localjueves(0.067), sol(0.062), editorial(0.049), regresar(0.049), buscar(0.042), espacio(0.033), martes(0.033), jueves(0.033), altamira(0.033), encuentro(0.029), recordar(0.017), integrante(0.017), parecer(0.017), semana(0.017)",0.303,media,True,,,coherencia c_v,False
3,21,"mexico(0.030), pesos(0.027), ciento(0.017), acuerdo(0.017), paz(0.013), obtener(0.013), delincuencia(0.013), organizado(0.013), senalar(0.013), costo(0.013), promedio(0.010), pan(0.010), perdida(0.010), detener(0.010), noticia(0.008), amigo(0.007), cuyo(0.007), directamente(0.003), oficial(0.003), cierre(0.003)",0.3537,media,True,,,coherencia c_v,False
4,19,"tamaulipas(0.045), sur(0.030), nacional(0.025), junio(0.020), mayo(0.017), partido(0.015), anunciar(0.014), litro(0.013), civil(0.013), final(0.012), morena(0.012), mensaje(0.012), norte(0.012), cerrar(0.011), medida(0.009), destacar(0.009), empresario(0.009), electoral(0.008), superar(0.004)",0.3567,media,True,,,coherencia c_v,False
5,25,"desarrollar(0.029), viernes(0.028), desarrollo(0.026), limpieza(0.023), gracias(0.022), carmen(0.022), formar(0.021), municipal(0.015), alcalde(0.015), rio(0.015), panuco(0.015), concluir(0.014), crecimiento(0.013), visitante(0.008), permanecer(0.008), posteriormente(0.008), carpeta(0.008), deporte(0.008), puerta(0.008), previo(0.008)",0.434,alta,True,,,coherencia c_v,False
6,26,"empresa(0.079), ruffo(0.043), ernesto(0.041), baja(0.038), california(0.038), fiscal(0.030), huachicol(0.030), relacionado(0.029), operacion(0.028), appel(0.027), grande(0.026), combustible(0.024), exgobernador(0.021), red(0.018), firma(0.017), ensenada(0.017), aprehension(0.016), orden(0.016), republica(0.013), industria(0.013)",0.8753,alta,True,,,coherencia c_v,False
7,27,"justicia(0.019), hija(0.019), campamento(0.016), institucion(0.015), curso(0.014), pasar(0.014), fiscalia(0.013), querer(0.012), morir(0.011), edad(0.010), responsable(0.010), mal(0.010), mama(0.009), meter(0.008), culpa(0.008), ojala(0.008), resultar(0.007), caer(0.007), suceder(0.007), pagar(0.007)",0.4297,alta,True,,,coherencia c_v,False
8,13,"maximo(0.024), temperatura(0.024), zona(0.018), municipio(0.014), ambiente(0.013), grado(0.012), ayuntamiento(0.010), politico(0.008), falta(0.008), atencion(0.008), proceso(0.006), apoyo(0.006), peligroso(0.004)",0.3449,media,True,,,coherencia c_v,False
9,23,"mundo(0.044), cuerpo(0.036), sentir(0.024), calle(0.024), recurso(0.024), puerto(0.019), humano(0.015), viajar(0.012), invitar(0.012), recorrer(0.012), clase(0.012), operar(0.012), necesitar(0.012), reflejar(0.012), sitio(0.012), hora(0.012), sistema(0.012), conocimiento(0.012), participacion(0.012), marina(0.012)",0.4341,alta,True,,,coherencia c_v,False
