de_tema,a_tema,termino_interno,termino_externo,weight
3,15,acuerdo,ocurrir,5
3,15,delincuencia,delito,4
3,15,organizado,delito,4
3,16,pesos,servicio,6
3,16,pesos,programa,4
3,16,pesos,fortalecer,2
3,17,costo,persona,5
3,17,acuerdo,entidad,3
3,17,ciento,lograr,3
3,18,pesos,inversion,7
3,18,pesos,seguir,4
3,18,pesos,publica,4
3,20,cierre,metro,2
3,20,cuyo,estatal,2
3,21,obtener,respuesta,3
3,21,paz,vacacion,2
3,22,promedio,nivel,4
3,22,acuerdo,vida,3
3,22,perdida,accidente,3
3,23,acuerdo,dia,4
3,23,obtener,gratuito,3
3,23,mexico,forma,2
3,24,acuerdo,seguridad,4
3,25,acuerdo,proteccion,3
4,0,nacional,pais,5
4,0,tamaulipas,pais,4
4,0,nacional,camara,4
4,1,tamaulipas,contar,4
4,2,tamaulipas,tampico,18
4,2,tamaulipas,julio,12
4,2,nacional,tampico,5
4,3,tamaulipas,mexico,6
4,3,tamaulipas,acuerdo,5
4,3,partido,mexico,5
4,5,sur,formar,5
4,5,tamaulipas,manana,4
4,5,tamaulipas,concluir,3
4,6,tamaulipas,solicitar,6
4,6,tamaulipas,baja,4
4,6,nacional,california,4
4,7,tamaulipas,justicia,5
4,7,tamaulipas,fiscalia,5
4,7,tamaulipas,hija,4
4,8,tamaulipas,zona,16
4,8,tamaulipas,temperatura,11
4,8,sur,zona,8
4,9,tamaulipas,hora,10
4,9,tamaulipas,dejar,6
4,9,tamaulipas,continuar,6
4,10,tamaulipas,actividad,7
4,10,tamaulipas,menor,5
4,10,sur,presunto,4
4,11,tamaulipas,ano,9
4,11,tamaulipas,economico,8
4,11,nacional,ano,5
4,12,tamaulipas,ciudad,11
4,12,tamaulipas,dafne,8
4,12,nacional,evento,4
4,13,tamaulipas,gobierno,7
4,13,sur,obra,6
4,13,tamaulipas,obra,5
4,14,tamaulipas,region,6
4,14,tamaulipas,sumar,5
4,14,tamaulipas,laredo,5
4,15,tamaulipas,familia,11
4,15,tamaulipas,ocurrir,4
4,15,tamaulipas,caso,4
4,16,tamaulipas,jornada,5
4,16,tamaulipas,villarreal,3
4,17,tamaulipas,lograr,8
4,17,tamaulipas,resultado,7
4,17,tamaulipas,entidad,7
4,18,tamaulipas,seguir,5
4,18,tamaulipas,inversion,4
4,18,tamaulipas,afiliado,3
4,20,tamaulipas,escuela,8
4,20,tamaulipas,presidenta,3
4,21,tamaulipas,principal,5
4,21,tamaulipas,riesgo,4
4,21,tamaulipas,presidente,3
4,22,nacional,nivel,10
4,22,tamaulipas,nivel,9
4,22,sur,nivel,6
4,23,tamaulipas,compartir,5
4,23,tamaulipas,dia,5
4,24,tamaulipas,doenitz,10
4,24,tamaulipas,academia,9
4,24,tamaulipas,madero,9
4,25,civil,proteccion,11
4,25,tamaulipas,proteccion,4
4,25,tamaulipas,fuerte,4
5,0,visitante,pais,3
5,1,visitante,experiencia,3
5,1,desarrollar,privado,3
5,1,deporte,tampicotecuida,3
5,2,desarrollo,tampico,9
5,2,limpieza,tampico,9
5,2,municipal,tampico,8
5,3,municipal,pesos,4
5,3,desarrollo,pesos,4
5,3,deporte,mexico,3
5,4,formar,sur,5
5,4,manana,tamaulipas,4
5,4,concluir,tamaulipas,3
5,6,desarrollar,empresa,4
5,6,limpieza,grande,4
5,6,municipal,grande,3
5,7,viernes,hija,3
5,8,municipal,atencion,3
5,9,limpieza,calle,4
5,9,desarrollo,reflejar,3
5,9,visitante,mundo,3
5,10,cuidar,salud,7
5,10,viernes,militar,4
5,10,manana,militar,3
5,11,desarrollo,economico,5
5,11,limpieza,entorno,5
5,11,desarrollo,impulsar,4
5,12,desarrollo,ciudad,5
5,12,carmen,ciudad,4
5,12,viernes,ciudad,4
5,13,municipal,gobierno,8
5,13,rio,pescador,4
5,13,formar,obra,4
5,14,carmen,laredo,7
5,14,municipal,millon,4
5,14,desarrollo,millon,4
5,15,manana,familia,4
5,15,gracias,familia,3
5,15,rio,ocurrir,3
5,16,municipal,monica,7
5,16,municipal,villarreal,7
5,16,limpieza,jornada,7
5,17,limpieza,colonia,7
5,17,carmen,alcaldesa,5
5,17,gracias,colonia,4
5,18,desarrollo,inversion,4
5,18,desarrollo,seguir,4
5,18,municipal,inversion,3
5,20,municipal,presidenta,7
5,20,municipal,verano,4
5,20,gracias,escuela,3
5,21,desarrollo,sector,3
5,22,manana,ingresar,3
5,23,visitante,exposicion,4
5,23,formar,descubrir,3
5,23,cuidar,exposicion,3
5,24,carmen,madero,6
5,24,gracias,madero,4
5,24,desarrollo,madero,4
5,25,municipal,proteccion,3
6,0,ruffo,investigar,5
6,0,industria,camara,4
6,0,empresa,investigar,4
6,1,red,social,10
6,1,ruffo,contar,5
6,1,ernesto,contar,4
6,2,baja,julio,5
6,2,empresa,julio,4
6,2,california,julio,4
6,3,ruffo,delincuencia,7
6,3,ruffo,organizado,7
6,3,baja,delincuencia,6
6,4,solicitar,tamaulipas,6
6,4,baja,tamaulipas,4
6,4,california,nacional,4
6,5,empresa,desarrollar,4
6,5,grande,limpieza,4
6,7,republica,fiscalia,4
6,7,ernesto,fiscalia,3
6,7,ruffo,fiscalia,3
6,8,empresa,municipio,3
6,9,empresa,participacion,5
6,9,huachicol,marina,4
6,10,ruffo,presunto,5
6,10,relacionado,presunto,4
6,10,exgobernador,presunto,4
6,11,empresa,pequeno,4
6,11,empresa,impulsar,3
6,11,industria,directivo,3
6,12,red,pedir,3
6,12,empresa,pedir,3
6,13,solicitar,gobierno,4
6,13,empresa,obra,3
6,13,ernesto,tarde,3
6,14,republica,general,4
6,14,empresa,millon,4
6,14,huachicol,millon,4
6,15,ernesto,delito,7
6,15,ruffo,delito,7
6,15,baja,delito,6
6,17,combustible,lograr,5
6,17,empresa,unidad,4
6,17,alto,investigacion,4
6,18,solicitar,seguir,3
6,22,california,nivel,5
6,22,baja,nivel,4
6,22,combustible,registrar,3
6,25,california,responsabilidad,3
6,25,alto,responsabilidad,3
7,0,pasar,hijo,8
7,0,justicia,pais,6
7,0,justicia,investigar,6
7,1,fiscalia,afirmar,4
7,1,edad,agosto,3
7,1,justicia,afirmar,3
7,2,fiscalia,tampico,4
7,2,adolescente,tampico,3
7,2,edad,tampico,3
7,3,institucion,organizado,3
7,3,institucion,acuerdo,3
7,3,caer,detener,3
7,4,justicia,tamaulipas,5
7,4,fiscalia,tamaulipas,5
7,4,hija,tamaulipas,4
7,5,hija,viernes,3
7,6,fiscalia,republica,4
7,6,fiscalia,ernesto,3
7,6,fiscalia,ruffo,3
7,9,justicia,marina,4
7,9,pasar,marina,4
7,9,mama,marina,3
7,10,hija,madre,6
7,10,campamento,militar,6
7,10,edad,madre,6
7,11,campamento,ano,6
7,11,justicia,ano,6
7,11,mal,entender,5
7,12,justicia,dafne,13
7,12,morir,dafne,9
7,12,justicia,ciudad,7
7,13,querer,deber,6
7,13,justicia,deber,4
7,14,fiscalia,general,10
7,14,justicia,general,5
7,15,justicia,caso,8
7,15,justicia,familia,8
7,15,pasar,familia,6
7,16,mama,prevencion,4
7,17,curso,padre,6
7,17,fiscalia,investigacion,5
7,17,fiscalia,resultado,4
7,18,mama,seguir,5
7,18,pasar,seguir,4
7,18,ojala,seguir,4
7,20,hija,escuela,10
7,20,campamento,verano,6
7,20,curso,verano,6
7,21,fiscalia,respuesta,3
7,21,curso,plantel,3
7,23,hija,llegar,4
7,23,hija,noche,3
7,23,caer,llegar,3
7,24,justicia,madero,6
7,24,hija,madero,6
7,24,justicia,muerte,6
7,25,curso,casa,7
7,25,fiscalia,responsabilidad,4
7,25,ojala,casa,4
8,0,zona,camara,3
8,0,politico,pais,3
8,0,zona,delegacion,3
8,2,ayuntamiento,tampico,8
8,2,municipio,tampico,5
8,2,temperatura,julio,5
8,3,maximo,senalar,4
8,3,proceso,senalar,3
8,3,zona,cierre,2
8,4,zona,tamaulipas,16
8,4,temperatura,tamaulipas,11
8,4,zona,sur,8
8,5,atencion,municipal,3
8,5,municipio,municipal,2
8,6,municipio,empresa,3
8,6,temperatura,alto,3
8,6,maximo,alto,3
8,9,temperatura,hora,6
8,9,temperatura,continuar,4
8,9,falta,dejar,3
8,10,atencion,medico,5
8,11,temperatura,posibilidad,5
8,11,politico,ano,4
8,11,maximo,posibilidad,4
8,12,municipio,ciudad,4
8,12,ayuntamiento,pedir,3
8,12,ayuntamiento,ciudad,3
8,13,grado,cercano,6
8,13,maximo,cercano,5
8,13,zona,tarde,4
8,14,temperatura,esperar,9
8,14,maximo,laredo,8
8,14,maximo,esperar,6
8,15,falta,familia,4
8,15,apoyo,caso,3
8,15,atencion,joven,2
8,16,municipio,fortalecer,3
8,16,ayuntamiento,prevencion,2
8,17,grado,entidad,5
8,17,zona,entidad,4
8,17,temperatura,entidad,4
8,18,zona,seguir,3
8,18,municipio,seguir,2
8,20,zona,fuerza,3
8,20,ayuntamiento,escuela,2
8,21,zona,principal,3
8,21,ayuntamiento,vacacion,2
8,22,maximo,registrar,4
8,22,zona,area,3
8,22,temperatura,registrar,3
8,23,atencion,noche,3
8,23,zona,llegar,3
8,23,zona,forma,2
8,24,zona,academia,4
8,24,zona,seguridad,3
8,25,temperatura,fuerte,3
9,0,marina,nina,6
9,0,mundo,pais,5
9,0,dejar,cosa,4
9,1,mundo,experiencia,4
9,1,cuerpo,experiencia,4
9,1,dejar,vivir,3
9,2,recurso,tampico,9
9,2,hora,tampico,7
9,2,cuerpo,tampico,6
9,3,marina,mexico,4
9,3,mundo,mexico,4
9,3,dejar,ciento,3
9,4,hora,tamaulipas,10
9,4,dejar,tamaulipas,6
9,4,continuar,tamaulipas,6
9,5,calle,limpieza,4
9,5,reflejar,desarrollo,3
9,5,mundo,visitante,3
9,6,participacion,empresa,5
9,6,marina,huachicol,4
9,6,marina,fiscal,3
9,7,marina,justicia,4
9,7,marina,pasar,4
9,7,marina,mama,3
9,8,hora,temperatura,6
9,8,continuar,temperatura,4
9,8,dejar,falta,3
9,10,marina,menor,5
9,10,conocimiento,salud,4
9,10,marina,militar,3
9,11,participacion,abrir,4
9,11,operar,ano,4
9,11,participacion,ayudar,3
9,12,marina,luis,5
9,12,participacion,pedir,5
9,12,marina,dafne,4
9,13,recurso,obra,5
9,13,recurso,pendiente,3
9,13,recurso,agua,3
9,14,continuar,comunidad,2
9,14,continuar,centro,2
9,15,clase,familia,5
9,15,dejar,ocurrir,5
9,15,marina,familia,5
9,16,invitar,extraordinario,3
9,16,continuar,monica,2
9,16,continuar,villarreal,2
9,17,participacion,autoridad,4
9,17,dejar,persona,3
9,17,marina,investigacion,3
9,18,recurso,inversion,3
9,18,participacion,situacion,3
9,18,puerto,seguir,3
9,20,cuerpo,escuela,4
9,20,marina,escuela,4
9,20,recurso,escuela,3
9,21,marina,secretaria,3
9,21,operar,soler,3
9,21,cuerpo,escolar,2
9,22,reflejar,vida,3
9,22,hora,registrar,3
9,23,humano,exposicion,8
9,23,humano,bodies,6
9,23,cuerpo,exposicion,6
9,24,marina,academia,6
9,24,marina,militarizada,6
9,24,marina,doenitz,6
9,25,hora,casa,3
10,0,menor,nino,5
10,0,madre,nina,5
10,0,militar,nino,4
10,1,salud,cultura,4
10,1,salud,experiencia,4
10,1,presunto,social,3
10,2,exigir,tampico,6
10,2,presentar,tampico,5
10,2,salud,tampico,5
10,3,medico,senalar,6
10,3,presunto,acuerdo,5
10,3,actividad,acuerdo,3
10,4,actividad,tamaulipas,7
10,4,menor,tamaulipas,5
10,4,presunto,sur,4
10,5,salud,cuidar,7
10,5,militar,viernes,4
10,5,madre,viernes,3
10,6,presunto,ruffo,5
10,6,presunto,relacionado,4
10,6,presunto,exgobernador,4
10,7,madre,hija,6
10,7,militar,campamento,6
10,7,madre,edad,6
10,8,medico,atencion,5
10,9,menor,marina,5
10,9,salud,conocimiento,4
10,11,menor,ano,6
10,11,salud,alla,4
10,11,exigir,ano,4
10,12,menor,dafne,10
10,12,menor,ciudad,9
10,12,madre,dafne,8
10,13,menor,deber,5
10,13,presentar,agua,3
10,13,salud,informar,3
10,14,presentar,encargado,4
10,14,medico,centro,3
10,15,salud,familia,6
10,15,menor,caso,6
10,15,violencia,caso,6
10,16,salud,prevencion,8
10,16,salud,bienestar,6
10,16,salud,servicio,6
10,17,presentar,asegurar,5
10,17,presentar,lograr,4
10,17,medico,atender,4
10,20,video,escuela,8
10,20,madre,escuela,7
10,20,menor,escuela,7
10,21,salud,direccion,6
10,21,salud,comision,3
10,22,menor,vida,5
10,22,reportar,accidente,4
10,22,presunto,vida,4
10,23,salud,gratuito,6
10,23,salud,exposicion,5
10,23,madre,dia,4
10,24,menor,academia,9
10,24,menor,muerte,8
10,24,presunto,academia,6
10,25,sufrir,salir,4
10,25,menor,proteccion,4
10,25,medico,proteccion,3
11,0,ano,nina,5
11,0,ano,nino,5
11,0,ano,pais,3
11,1,ano,agosto,14
11,2,ano,tampico,13
11,2,internacional,tampico,12
11,2,oportunidad,tampico,7
11,3,ano,mexico,6
11,3,ano,paz,3
11,3,ano,costo,3
11,4,ano,tamaulipas,9
11,4,economico,tamaulipas,8
11,4,ano,nacional,5
11,5,economico,desarrollo,5
11,5,entorno,limpieza,5
11,5,impulsar,desarrollo,4
11,6,pequeno,empresa,4
11,6,impulsar,empresa,3
11,6,directivo,industria,3
11,7,ano,campamento,6
11,7,ano,justicia,6
11,7,entender,mal,5
11,8,posibilidad,temperatura,5
11,8,ano,politico,4
11,8,posibilidad,maximo,4
11,9,abrir,participacion,4
11,9,ano,operar,4
11,9,ayudar,participacion,3
11,10,ano,menor,6
11,10,alla,salud,4
11,10,ano,exigir,4
11,12,ano,ciudad,10
11,12,ano,dafne,5
11,12,ano,recibir,4
11,13,impulsar,gobierno,3
11,13,avance,obra,3
11,13,ano,obra,3
11,14,mundial,region,5
11,14,ano,proyecto,4
11,14,ano,generar,4
11,15,ano,ocurrir,4
11,15,ano,familia,4
11,15,ano,caso,4
11,16,entorno,prevencion,6
11,16,entorno,jornada,5
11,16,entorno,villarreal,4
11,17,ano,persona,5
11,17,ano,autoridad,5
11,17,ano,perder,4
11,18,impulsar,seguir,5
11,18,oportunidad,seguir,5
11,18,ano,seguir,5
11,20,ano,ninos,9
11,20,ano,verano,5
11,20,ano,escuela,5
11,21,ano,exito,5
11,21,directivo,escolar,4
11,21,oportunidad,sector,3
11,22,ano,vida,4
11,22,ano,accidente,3
11,22,ano,encontrar,3
11,23,internacional,exposicion,7
11,23,internacional,bodies,5
11,23,internacional,gratuito,4
11,24,ano,madero,7
11,24,ano,academia,5
11,24,ano,muerte,3
11,25,ano,casa,5
12,0,recibir,pais,4
12,0,pedir,camara,4
12,1,ciudad,historia,5
12,1,ciudad,experiencia,4
12,2,ciudad,tampico,20
12,2,dafne,julio,9
12,2,evento,tampico,8
12,3,ciudad,pesos,5
12,3,ciudad,organizado,4
12,3,ciudad,acuerdo,3
12,4,ciudad,tamaulipas,11
12,4,dafne,tamaulipas,8
12,4,evento,nacional,4
12,5,ciudad,desarrollo,5
12,5,ciudad,carmen,4
12,5,ciudad,viernes,4
12,6,pedir,red,3
12,6,pedir,empresa,3
12,7,dafne,justicia,13
12,7,dafne,morir,9
12,7,ciudad,justicia,7
12,8,ciudad,municipio,4
12,8,pedir,ayuntamiento,3
12,8,ciudad,ayuntamiento,3
12,9,luis,marina,5
12,9,pedir,participacion,5
12,9,dafne,marina,4
12,10,dafne,menor,10
12,10,ciudad,menor,9
12,10,dafne,madre,8
12,11,ciudad,ano,10
12,11,dafne,ano,5
12,11,recibir,ano,4
12,13,ciudad,gobierno,5
12,13,luis,jorge,3
12,13,ciudad,miercoles,3
12,14,ciudad,centro,5
12,14,ciudad,generar,5
12,14,dafne,generar,5
12,15,dafne,caso,9
12,15,ciudad,familia,8
12,15,ciudad,caso,7
12,16,ciudad,fortalecer,4
12,16,ciudad,monica,4
12,16,ciudad,villarreal,4
12,17,dafne,asegurar,8
12,17,ciudad,asegurar,6
12,17,ciudad,labor,4
12,18,pedir,situacion,3
12,20,ciudad,escuela,12
12,20,dafne,escuela,10
12,20,militarizado,escuela,10
12,21,ciudad,convertir,3
12,22,ciudad,vida,6
12,22,dafne,vida,5
12,22,dafne,llamado,4
12,23,ciudad,dia,8
12,23,recibir,exposicion,4
12,23,ciudad,noche,3
12,24,ciudad,madero,34
12,24,dafne,muerte,18
12,24,dafne,madero,14
12,25,ciudad,abril,4
13,0,hombre,mujer,5
13,0,deber,investigar,5
13,0,deber,hijo,5
13,1,gobierno,contar,3
13,1,gobierno,social,3
13,1,cercano,tampicotecuida,3
13,2,obra,tampico,15
13,2,agua,tampico,6
13,2,gobierno,tampico,5
13,3,gobierno,pesos,6
13,3,obra,pesos,5
13,3,agua,acuerdo,3
13,4,gobierno,tamaulipas,7
13,4,obra,sur,6
13,4,obra,tamaulipas,5
13,5,gobierno,municipal,8
13,5,pescador,rio,4
13,5,obra,formar,4
13,6,gobierno,solicitar,4
13,6,obra,empresa,3
13,6,tarde,ernesto,3
13,7,deber,querer,6
13,7,deber,justicia,4
13,7,deber,curso,3
13,8,cercano,grado,6
13,8,cercano,maximo,5
13,8,tarde,zona,4
13,9,obra,recurso,5
13,9,pendiente,recurso,3
13,9,agua,recurso,3
13,10,deber,menor,5
13,10,agua,presentar,3
13,10,informar,salud,3
13,11,gobierno,impulsar,3
13,11,obra,avance,3
13,11,obra,ano,3
13,12,gobierno,ciudad,5
13,12,jorge,luis,3
13,12,miercoles,ciudad,3
13,14,obra,proyecto,7
13,14,agua,proyecto,6
13,14,obra,millon,5
13,15,hombre,mar,5
13,15,tarde,delito,5
13,15,agua,mar,3
13,16,gobierno,villarreal,5
13,16,gobierno,fortalecer,5
13,16,gobierno,monica,4
13,17,deber,padre,5
13,17,obra,publico,4
13,17,agua,accion,4
13,18,obra,seguir,6
13,18,obra,inversion,5
13,18,deber,seguir,4
13,20,deber,escuela,7
13,20,gobierno,presidenta,5
13,20,utilizar,presidenta,4
13,21,deber,plantel,3
13,22,agua,area,3
13,23,agua,jardin,4
