usuario,n_msgs,ejemplo_texto
Facebook::Alma Flores,1,
Facebook::Marialuisa Varillas,1,
Facebook::Sandy Acosta,1,
Instagram::anavisila,1,
Instagram::nuzk1,1,
Twitter::@CuatroTeitor,1,
Twitter::@Perlmanpeezy,1,
Twitter::@lalox_1980,1,
YouTube::@6909alfred,1,
YouTube::@AlfonsoSanchezMartinez-o6h,1,
YouTube::@AraceliMiriam,1,
YouTube::@ArturoMartinez-tn4uu,1,
YouTube::@DomínguezRochaAndrés,1,
YouTube::@EmilioSantillan-g5p,1,
YouTube::@ErikMartinez-u6y,1,
YouTube::@ErnestoValenzuela-g5m,1,
YouTube::@HoracioLuján-x5e,1,
YouTube::@JuanAlcocer-d2y,1,
YouTube::@JuanCarlosFuentesSolano,1,
YouTube::@JuanDomínguez-y5z,1,
YouTube::@MarcosCedillo-k5u,1,
YouTube::@MarthaHernandez-qs9qg,1,
YouTube::@RamirezBobby-o3f,1,
YouTube::@RebecaGonzalezRivera,1,
YouTube::@Suzune-z6f4z,1,
YouTube::@Victoriano1964,1,
YouTube::@andresibarra9688,1,
YouTube::@antonioalvarez8623,1,
YouTube::@aroflz,1,
YouTube::@carlosalbertogomezgarcia390,1,
YouTube::@cibanez,1,
YouTube::@cimadridd,1,
YouTube::@davidesquivel-es1iq,1,
YouTube::@davidramirez4112,1,
YouTube::@emmazu-jl9mq,1,
YouTube::@franciscojavieraguilargame7452,1,
YouTube::@gcbarre,1,
YouTube::@gracegrace1284,1,
YouTube::@gusanow8917,1,
YouTube::@jhod1979,1,
YouTube::@jorgelazo7138,1,
YouTube::@josealbertobernal9124,1,
YouTube::@josedejesuslopezgutierrez4396,1,
YouTube::@joseeduardocorderoflores7992,1,
YouTube::@joseluisvidal4099,1,
YouTube::@juanantoniocorenotrujillo4045,1,
YouTube::@juanmartinez2084,1,
YouTube::@juanvaldez9512,1,
YouTube::@lauraalavez7366,1,
YouTube::@lecturarapidayeficaz6267,1,
YouTube::@leopoldolazaro3649,1,
YouTube::@luigarcia5129,1,
YouTube::@luisvargas6153,1,
YouTube::@malenlarco9415,1,
YouTube::@mariaelialeonsandoval2851,1,
YouTube::@mediantomaschineMK1,1,
YouTube::@monicapavon1772,1,
YouTube::@olgatovarvalerio8522,1,
YouTube::@olneya,1,
YouTube::@pabloblanco7733,1,
YouTube::@raulrivera-ko2if,1,
YouTube::@reneavalos8576,1,
YouTube::@ricardoineza9802,1,
YouTube::@robertofrausto8145,1,
YouTube::@rogeliocortescortes6385,1,
YouTube::@rosarivas9259,1,
YouTube::@sergioestrella9690,1,
YouTube::@simonagutierrez5876,1,
YouTube::@wilfredogarcia1422,1,
YouTube::@ミゲルアヤラ,1,
