usuario,palabra,conteo,tema,sub,plataforma
Facebook::Ana Laura E P,tampicotecuida,6,1,0,Facebook
Facebook::Ana Laura E P,excelente,3,17,4,Facebook
Facebook::Ana Laura E P,presidenta,1,20,1,Facebook
Facebook::Ana Yuliana Mar Torres,tampicotecuida,2,1,0,Facebook
Facebook::Ana Yuliana Mar Torres,gracias,1,5,1,Facebook
Facebook::Ana Yuliana Mar Torres,ayudar,1,11,5,Facebook
Facebook::Ana Yuliana Mar Torres,necesitar,1,9,-1,Facebook
Facebook::Delicias Mamam,excelente,1,17,4,Facebook
Facebook::Delicias Mamam,grande,1,6,1,Facebook
Facebook::Delicias Mamam,accion,1,17,1,Facebook
Facebook::Delicias Mamam,compromiso,1,21,0,Facebook
Facebook::Delicias Mamam,medio,1,14,4,Facebook
Facebook::Delicias Mamam,ambiente,1,8,0,Facebook
Facebook::Delicias Mamam,entorno,1,11,1,Facebook
Facebook::Delicias Mamam,saludable,1,16,2,Facebook
Facebook::Delicias Mamam,jornada,1,16,2,Facebook
Facebook::Francisco Adrian Pallares Martinez,tampicotecuida,4,1,0,Facebook
Facebook::Francisco Adrian Pallares Martinez,excelente,1,17,4,Facebook
Facebook::Francisco Gomez,cultural,2,23,3,Facebook
Facebook::Francisco Gomez,tampico,1,2,0,Facebook
Facebook::Francisco Gomez,oferta,1,16,0,Facebook
Facebook::Francisco Gomez,arte,1,1,0,Facebook
Facebook::Francisco Gomez,deporte,1,5,2,Facebook
Facebook::Francisco Gomez,construir,1,14,1,Facebook
Facebook::Francisco Gomez,turistico,1,23,1,Facebook
Facebook::John Anthony Reyes Salinas,excelente,1,17,4,Facebook
Facebook::John Anthony Reyes Salinas,labor,1,17,1,Facebook
Facebook::John Anthony Reyes Salinas,ayuntamiento,1,8,2,Facebook
Facebook::John Anthony Reyes Salinas,tampico,1,2,0,Facebook
Facebook::John Anthony Reyes Salinas,nina,1,0,-1,Facebook
Facebook::John Anthony Reyes Salinas,nino,1,0,-1,Facebook
Facebook::John Anthony Reyes Salinas,adolescente,1,7,6,Facebook
Facebook::John Anthony Reyes Salinas,prevencion,1,16,1,Facebook
Facebook::John Anthony Reyes Salinas,delito,1,15,1,Facebook
Facebook::Mónica Villarreal,tampico,21,2,0,Facebook
Facebook::Mónica Villarreal,seguir,9,18,1,Facebook
Facebook::Mónica Villarreal,tampicotecuida,8,1,0,Facebook
Facebook::Mónica Villarreal,familia,8,15,3,Facebook
Facebook::Mónica Villarreal,exposicion,8,23,1,Facebook
Facebook::Mónica Villarreal,pesos,7,3,4,Facebook
Facebook::Mónica Villarreal,fortalecer,6,16,0,Facebook
Facebook::Mónica Villarreal,millon,5,14,1,Facebook
Facebook::Mónica Villarreal,gobierno,5,13,0,Facebook
Facebook::Mónica Villarreal,espacio,5,2,1,Facebook
Facebook::Mónica Villarreal,experiencia,5,1,1,Facebook
Facebook::Mónica Villarreal,gratuito,5,23,-1,Facebook
Facebook::Mónica Villarreal,persona,5,17,-1,Facebook
Facebook::Mónica Villarreal,dia,5,23,0,Facebook
Facebook::Mónica Villarreal,metropolitano,4,23,4,Facebook
Facebook::Mónica Villarreal,mundo,4,9,0,Facebook
Facebook::Mónica Villarreal,julio,4,2,-1,Facebook
Facebook::Mónica Villarreal,agua,4,13,3,Facebook
Facebook::Mónica Villarreal,nino,4,0,-1,Facebook
Facebook::Mónica Villarreal,lograr,3,17,1,Facebook
Facebook::Mónica Villarreal,inversion,3,18,2,Facebook
Facebook::Mónica Villarreal,programa,3,16,1,Facebook
Facebook::Mónica Villarreal,obra,3,13,1,Facebook
Facebook::Mónica Villarreal,desarrollo,3,5,0,Facebook
Facebook::Mónica Villarreal,ciudad,3,12,2,Facebook
Facebook::Mónica Villarreal,labor,3,17,1,Facebook
Facebook::Mónica Villarreal,impulsar,3,11,2,Facebook
Facebook::Mónica Villarreal,construir,3,14,1,Facebook
Facebook::Mónica Villarreal,gracias,3,5,1,Facebook
Facebook::Mónica Villarreal,atender,3,17,4,Facebook
Facebook::Mónica Villarreal,bodies,3,23,1,Facebook
Facebook::Mónica Villarreal,cultural,3,23,3,Facebook
Facebook::Mónica Villarreal,humano,3,9,4,Facebook
Facebook::Mónica Villarreal,salud,3,10,2,Facebook
Facebook::Mónica Villarreal,servicio,3,16,1,Facebook
Facebook::Mónica Villarreal,prevencion,3,16,1,Facebook
Facebook::Mónica Villarreal,disfrutar,3,23,4,Facebook
Facebook::Mónica Villarreal,unidad,3,17,1,Facebook
Facebook::Mónica Villarreal,compromiso,3,21,0,Facebook
Facebook::Mónica Villarreal,escuchar,3,13,0,Facebook
Facebook::Mónica Villarreal,accion,3,17,1,Facebook
Facebook::Mónica Villarreal,cercano,3,13,0,Facebook
Facebook::Mónica Villarreal,verano,3,20,1,Facebook
Facebook::Mónica Villarreal,vivir,3,1,1,Facebook
Facebook::Mónica Villarreal,nina,3,0,-1,Facebook
Facebook::Mónica Villarreal,delegacion,3,0,2,Facebook
Facebook::Mónica Villarreal,zona,3,8,2,Facebook
Facebook::Mónica Villarreal,norte,3,4,0,Facebook
Facebook::Mónica Villarreal,unico,3,1,3,Facebook
Facebook::Mónica Villarreal,entrada,3,23,-1,Facebook
Facebook::Mónica Villarreal,manana,2,5,3,Facebook
Facebook::Mónica Villarreal,afiliado,2,18,2,Facebook
Facebook::Mónica Villarreal,tamaulipas,2,4,0,Facebook
Facebook::Mónica Villarreal,compartir,2,23,0,Facebook
Facebook::Mónica Villarreal,avance,2,11,2,Facebook
Facebook::Mónica Villarreal,area,2,22,3,Facebook
Facebook::Mónica Villarreal,municipal,2,5,0,Facebook
Facebook::Mónica Villarreal,municipio,2,8,2,Facebook
Facebook::Mónica Villarreal,proyecto,2,14,1,Facebook
Facebook::Mónica Villarreal,oportunidad,2,11,3,Facebook
Facebook::Mónica Villarreal,resultado,2,17,-1,Facebook
Facebook::Mónica Villarreal,vida,2,22,0,Facebook
Facebook::Mónica Villarreal,contar,2,1,2,Facebook
Facebook::Mónica Villarreal,recurso,2,9,3,Facebook
Facebook::Mónica Villarreal,tampicovacontodo,2,1,0,Facebook
Facebook::Mónica Villarreal,colonia,2,17,4,Facebook
Facebook::Mónica Villarreal,pais,2,0,4,Facebook
Facebook::Mónica Villarreal,visitante,2,5,2,Facebook
Facebook::Mónica Villarreal,cultura,2,1,0,Facebook
Facebook::Mónica Villarreal,conocimiento,2,9,4,Facebook
Facebook::Mónica Villarreal,cuidar,2,5,2,Facebook
Facebook::Mónica Villarreal,bienestar,2,16,1,Facebook
Facebook::Mónica Villarreal,ofrecer,2,11,1,Facebook
Facebook::Mónica Villarreal,costo,2,3,4,Facebook
Facebook::Mónica Villarreal,clase,2,9,3,Facebook
Facebook::Mónica Villarreal,reunir,2,12,1,Facebook
Facebook::Mónica Villarreal,mantener,2,15,0,Facebook
Facebook::Mónica Villarreal,generacion,2,9,2,Facebook
Facebook::Mónica Villarreal,mar,2,15,3,Facebook
Facebook::Mónica Villarreal,agosto,2,1,0,Facebook
Facebook::Mónica Villarreal,deporte,2,5,2,Facebook
Facebook::Mónica Villarreal,utilizar,2,13,3,Facebook
Facebook::Mónica Villarreal,jardin,2,23,4,Facebook
Facebook::Mónica Villarreal,secretaria,2,21,3,Facebook
Facebook::Mónica Villarreal,condicion,2,0,2,Facebook
Facebook::Mónica Villarreal,especial,2,23,3,Facebook
Facebook::Mónica Villarreal,jaiba,2,1,3,Facebook
Facebook::Mónica Villarreal,historia,2,1,1,Facebook
Facebook::Mónica Villarreal,martes,2,2,1,Facebook
Facebook::Mónica Villarreal,domingo,2,1,3,Facebook
Facebook::Mónica Villarreal,internacional,2,11,-1,Facebook
Facebook::Mónica Villarreal,descubrir,2,23,3,Facebook
Facebook::Mónica Villarreal,joven,2,15,0,Facebook
Facebook::Mónica Villarreal,abrir,2,11,-1,Facebook
Facebook::Mónica Villarreal,actividad,2,10,1,Facebook
Facebook::Mónica Villarreal,mexico,2,3,1,Facebook
Facebook::Mónica Villarreal,importante,1,11,3,Facebook
Facebook::Mónica Villarreal,presentar,1,10,-1,Facebook
Facebook::Mónica Villarreal,publica,1,18,2,Facebook
Facebook::Mónica Villarreal,sumar,1,14,5,Facebook
Facebook::Mónica Villarreal,necesitar,1,9,-1,Facebook
Facebook::Mónica Villarreal,crecimiento,1,5,0,Facebook
Facebook::Mónica Villarreal,mano,1,7,4,Facebook
Facebook::Mónica Villarreal,sector,1,21,0,Facebook
Facebook::Mónica Villarreal,reflejar,1,9,0,Facebook
Facebook::Mónica Villarreal,calidad,1,18,1,Facebook
Facebook::Mónica Villarreal,tampiqueno,1,23,0,Facebook
Facebook::Mónica Villarreal,publico,1,17,3,Facebook
Facebook::Mónica Villarreal,social,1,1,2,Facebook
Facebook::Mónica Villarreal,madre,1,10,0,Facebook
Facebook::Mónica Villarreal,padre,1,17,2,Facebook
Facebook::Mónica Villarreal,escuela,1,20,0,Facebook
Facebook::Mónica Villarreal,gestion,1,17,4,Facebook
Facebook::Mónica Villarreal,quedar,1,25,3,Facebook
Facebook::Mónica Villarreal,recorrer,1,9,0,Facebook
Facebook::Mónica Villarreal,recibir,1,12,3,Facebook
Facebook::Mónica Villarreal,destino,1,5,1,Facebook
Facebook::Mónica Villarreal,alla,1,11,1,Facebook
