tema_id,n_palabras,fuerza_intra,fuerza_extra,fuerza_total,ratio_endogamia,broker_index,hub_local,eigenvector_interno,aislamiento,veredicto
0,15,188.0,296.0,484.0,0.3884,0.696,0.0,0.0,0.7734,conector_legitimo
1,15,147.0,290.0,437.0,0.3364,0.6781,0.0,0.0,0.7779,conector_legitimo
3,19,191.0,277.0,468.0,0.4081,0.582,0.0,0.0,0.7879,conector_legitimo
4,19,247.0,721.0,968.0,0.2552,0.593,0.0,0.0,0.4479,conector_legitimo
6,24,346.0,309.0,655.0,0.5282,0.5725,-0.0,0.0,0.7634,conector_legitimo
7,26,455.0,481.0,936.0,0.4861,0.7527,0.0,0.0,0.6317,conector_legitimo
8,13,139.0,226.0,365.0,0.3808,0.5914,0.0,0.0,0.827,conector_legitimo
9,21,114.0,272.0,386.0,0.2953,0.6084,0.0,0.0,0.7917,conector_legitimo
10,19,277.0,564.0,841.0,0.3294,0.7274,0.0,0.0,0.5681,conector_legitimo
11,28,235.0,388.0,623.0,0.3772,0.627,0.0,0.0,0.7029,conector_legitimo
12,17,258.0,747.0,1005.0,0.2567,0.7002,0.0,0.0,0.428,conector_legitimo
13,19,196.0,286.0,482.0,0.4066,0.5816,0.0,0.0,0.781,conector_legitimo
14,23,189.0,373.0,562.0,0.3363,0.7284,0.0,0.0,0.7144,conector_legitimo
15,15,231.0,478.0,709.0,0.3258,0.6763,0.0,0.0,0.634,conector_legitimo
16,13,128.0,403.0,531.0,0.2411,0.6537,0.0,0.0,0.6914,conector_legitimo
17,26,318.0,530.0,848.0,0.375,0.7384,0.0,0.0,0.5942,conector_legitimo
18,9,70.0,169.0,239.0,0.2929,0.6107,0.0,0.0,0.8706,conector_legitimo
20,12,156.0,413.0,569.0,0.2742,0.6464,0.0,0.0,0.6838,conector_legitimo
22,15,100.0,177.0,277.0,0.361,0.5607,0.0,0.0,0.8645,conector_legitimo
23,18,216.0,541.0,757.0,0.2853,0.658,0.0,0.0,0.5858,conector_legitimo
24,20,555.0,798.0,1353.0,0.4102,0.606,-0.0,0.0,0.389,conector_legitimo
25,22,297.0,158.0,455.0,0.6527,0.533,-0.0,0.0,0.879,conector_legitimo
