id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T00_S01,0,1,#1f77b4,3,3,1.0,23.0,"Hijo, investigar, cosa"
T00_S02,0,2,#1f77b4,6,10,0.667,19.0,"Camara, mujer, derecho, cumplir"
T00_S03,0,3,#1f77b4,3,3,1.0,8.0,"Muerto, cualquiera, cabo"
T00_S04,0,4,#1f77b4,3,3,1.0,7.0,"Pais, empezar, control"
T01_S00,1,0,#ff7f0e,5,9,0.9,32.0,"Tampicotecuida, agosto, arte, tampicovacontodo"
T01_S01,1,1,#ff7f0e,3,3,1.0,26.0,"Experiencia, vivir, historia"
T01_S02,1,2,#ff7f0e,4,5,0.833,15.0,"Contar, social, privado, afirmar"
T01_S03,1,3,#ff7f0e,3,3,1.0,13.0,"Unico, jaiba, domingo"
T02_S00,2,0,#2ca02c,6,14,0.933,65.0,"Tampico, buscar, recordar, encuentro"
T02_S01,2,1,#2ca02c,3,3,1.0,14.0,"Espacio, martes, jueves"
T02_S02,2,2,#2ca02c,3,3,1.0,10.0,"Sol, regresar, editorial"
T03_S00,3,0,#d62728,4,6,1.0,28.0,"Organizado, detener, delincuencia, obtener"
T03_S01,3,1,#d62728,4,6,1.0,27.0,"Mexico, paz, pan, noticia"
T03_S02,3,2,#d62728,5,9,0.9,26.0,"Ciento, promedio, perdida, directamente"
T03_S03,3,3,#d62728,4,5,0.833,19.0,"Acuerdo, senalar, amigo, oficial"
T03_S04,3,4,#d62728,4,4,0.667,14.0,"Pesos, costo, cuyo, cierre"
T04_S00,4,0,#9467bd,3,3,1.0,54.0,"Tamaulipas, sur, norte"
T04_S01,4,1,#9467bd,4,6,1.0,21.0,"Partido, final, morena, electoral"
T04_S02,4,2,#9467bd,4,6,1.0,19.0,"Nacional, civil, medida, litro"
T04_S03,4,3,#9467bd,3,3,1.0,10.0,"Empresario, mayo, junio"
T04_S04,4,4,#9467bd,3,3,1.0,7.0,"Cerrar, anunciar, mensaje"
T05_S00,5,0,#8c564b,8,20,0.714,72.0,"Municipal, formar, desarrollo, desarrollar"
T05_S01,5,1,#8c564b,7,18,0.857,44.0,"Carmen, gracias, rio, panuco"
T05_S02,5,2,#8c564b,6,13,0.867,23.0,"Cuidar, claudia, puerta, visitante"
T05_S03,5,3,#8c564b,4,6,1.0,13.0,"Manana, viernes, permanecer, posteriormente"
T06_S00,6,0,#e377c2,8,27,0.964,164.0,"Ruffo, california, baja, ernesto"
T06_S01,6,1,#e377c2,10,35,0.778,94.0,"Empresa, operacion, combustible, grande"
T06_S02,6,2,#e377c2,4,6,1.0,23.0,"Huachicol, relacionado, fiscal, firma"
T06_S03,6,3,#e377c2,4,5,0.833,13.0,"Orden, aprehension, solicitar, titular"
T07_S00,7,0,#7f7f7f,3,3,1.0,21.0,"Institucion, fiscalia, edad"
T07_S01,7,1,#7f7f7f,3,3,1.0,19.0,"Justicia, querer, pagar"
T07_S02,7,2,#7f7f7f,4,6,1.0,17.0,"Mal, morir, culpa, fisico"
T07_S03,7,3,#7f7f7f,3,3,1.0,16.0,"Hija, mama, golpe"
T07_S04,7,4,#7f7f7f,4,6,1.0,16.0,"Ojala, suceder, resultar, mano"
T07_S05,7,5,#7f7f7f,3,3,1.0,15.0,"Curso, campamento, meter"
