tema_id,n_palabras,n_nodos_grafo,n_aristas_grafo,n_subclusters
0,17,17,86,4
1,15,15,64,4
2,16,16,74,3
3,21,21,126,5
4,19,19,100,5
5,25,25,121,4
6,26,26,184,4
7,27,27,275,8
8,13,13,43,3
9,23,23,125,5
10,19,19,119,5
11,30,30,209,6
12,17,17,89,4
13,21,21,116,4
14,23,23,145,6
15,18,18,89,3
16,13,13,49,3
17,27,27,210,5
18,9,9,24,3
20,12,12,48,3
21,22,22,110,4
22,15,15,74,4
23,19,19,94,4
24,20,20,97,4
25,22,22,81,4
