id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T00_S01,0,1,"Hijo, investigar, cosa","Subtema T00.S01 centrado en hijo, investigar, cosa.","hijo, investigar, cosa",3,3,1.0,23.0
T00_S02,0,2,"Camara, mujer, derecho, cumplir","Subtema T00.S02 centrado en camara, mujer, derecho, cumplir, delegacion, condicion.","camara, mujer, derecho, cumplir, delegacion, condicion",6,10,0.667,19.0
T00_S03,0,3,"Muerto, cualquiera, cabo","Subtema T00.S03 centrado en muerto, cualquiera, cabo.","muerto, cualquiera, cabo",3,3,1.0,8.0
T00_S04,0,4,"Pais, empezar, control","Subtema T00.S04 centrado en pais, empezar, control.","pais, empezar, control",3,3,1.0,7.0
T01_S00,1,0,"Tampicotecuida, agosto, arte, tampicovacontodo","Subtema T01.S00 centrado en tampicotecuida, agosto, arte, tampicovacontodo, cultura.","tampicotecuida, agosto, arte, tampicovacontodo, cultura",5,9,0.9,32.0
T01_S01,1,1,"Experiencia, vivir, historia","Subtema T01.S01 centrado en experiencia, vivir, historia.","experiencia, vivir, historia",3,3,1.0,26.0
T01_S02,1,2,"Contar, social, privado, afirmar","Subtema T01.S02 centrado en contar, social, privado, afirmar.","contar, social, privado, afirmar",4,5,0.833,15.0
T01_S03,1,3,"Unico, jaiba, domingo","Subtema T01.S03 centrado en unico, jaiba, domingo.","unico, jaiba, domingo",3,3,1.0,13.0
T02_S00,2,0,"Tampico, buscar, recordar, encuentro","Subtema T02.S00 centrado en tampico, buscar, recordar, encuentro, integrante, parecer.","tampico, buscar, recordar, encuentro, integrante, parecer",6,14,0.933,65.0
T02_S01,2,1,"Espacio, martes, jueves","Subtema T02.S01 centrado en espacio, martes, jueves.","espacio, martes, jueves",3,3,1.0,14.0
T02_S02,2,2,"Sol, regresar, editorial","Subtema T02.S02 centrado en sol, regresar, editorial.","sol, regresar, editorial",3,3,1.0,10.0
T03_S00,3,0,"Organizado, detener, delincuencia, obtener","Subtema T03.S00 centrado en organizado, detener, delincuencia, obtener.","organizado, detener, delincuencia, obtener",4,6,1.0,28.0
T03_S01,3,1,"Mexico, paz, pan, noticia","Subtema T03.S01 centrado en mexico, paz, pan, noticia.","mexico, paz, pan, noticia",4,6,1.0,27.0
T03_S02,3,2,"Ciento, promedio, perdida, directamente","Subtema T03.S02 centrado en ciento, promedio, perdida, directamente, manifestar.","ciento, promedio, perdida, directamente, manifestar",5,9,0.9,26.0
T03_S03,3,3,"Acuerdo, senalar, amigo, oficial","Subtema T03.S03 centrado en acuerdo, senalar, amigo, oficial.","acuerdo, senalar, amigo, oficial",4,5,0.833,19.0
T03_S04,3,4,"Pesos, costo, cuyo, cierre","Subtema T03.S04 centrado en pesos, costo, cuyo, cierre.","pesos, costo, cuyo, cierre",4,4,0.667,14.0
T04_S00,4,0,"Tamaulipas, sur, norte","Subtema T04.S00 centrado en tamaulipas, sur, norte.","tamaulipas, sur, norte",3,3,1.0,54.0
T04_S01,4,1,"Partido, final, morena, electoral","Subtema T04.S01 centrado en partido, final, morena, electoral.","partido, final, morena, electoral",4,6,1.0,21.0
T04_S02,4,2,"Nacional, civil, medida, litro","Subtema T04.S02 centrado en nacional, civil, medida, litro.","nacional, civil, medida, litro",4,6,1.0,19.0
T04_S03,4,3,"Empresario, mayo, junio","Subtema T04.S03 centrado en empresario, mayo, junio.","empresario, mayo, junio",3,3,1.0,10.0
T04_S04,4,4,"Cerrar, anunciar, mensaje","Subtema T04.S04 centrado en cerrar, anunciar, mensaje.","cerrar, anunciar, mensaje",3,3,1.0,7.0
