termino_interno,termino_externo,weight
escuela,dafne,32
escuela,tamaulipas,31
escuela,militarizado,30
campamento,dafne,29
escuela,caso,28
campamento,verano,26
campamento,academia,24
escuela,tampico,22
hija,dafne,22
hija,madre,21
campamento,doenitz,20
director,academia,20
hija,academia,18
dejar,tamaulipas,17
campamento,ano,17
escuela,menor,17
campamento,militarizada,17
hija,mama,17
hija,caso,16
campamento,tamaulipas,16
campamento,caso,16
director,jorge,16
director,luis,16
escuela,justicia,16
deber,justicia,16
deber,caso,16
escuela,ciudad,15
abuso,caso,15
escuela,madero,15
militar,tamaulipas,15
campamento,ciudad,15
campamento,madero,15
ponce,luis,15
querer,dafne,15
victima,familia,15
querer,justicia,15
escuela,plantel,14
escuela,madre,14
victima,academia,14
escuela,educacion,14
nina,nino,13
deber,tamaulipas,13
escuela,ano,13
deber,investigacion,13
escuela,doenitz,13
campamento,adolescente,13
militar,academia,13
investigar,caso,13
escuela,sep,13
militar,dafne,12
militar,caso,12
ponce,jorge,12
nina,madre,12
investigar,dafne,12
escuela,academia,12
escuela,verano,12
escuela,gobierno,12
deber,pasar,12
padre,caso,12
campamento,militarizado,12
querer,tamaulipas,12
deber,gobierno,12
militar,presidenta,12
querer,gobernador,12
querer,americo,12
escuela,ofrecer,11
nina,tampico,11
deber,pais,11
deber,seguir,11
escuela,familia,11
victima,persona,11
investigar,autoridad,11
dejar,justicia,11
dejar,gobierno,11
director,caso,11
escuela,muerte,11
director,doenitz,11
disciplina,dafne,11
deber,academia,11
querer,gobierno,11
militar,centro,11
deber,tampico,10
director,dafne,10
deber,fiscalia,10
hija,familia,10
hija,madero,10
militar,justicia,10
campamento,quintos,10
director,militarizada,10
victima,presunto,10
cerrar,dafne,10
deber,autoridad,10
militar,investigacion,10
senora,dafne,10
nina,justicia,10
dejar,ano,10
mano,justicia,10
disciplina,deportivo,10
escuela,persona,9
querer,seguir,9
escuela,seguir,9
padre,familia,9
dejar,persona,9
escuela,pedir,9
existir,tamaulipas,9
hija,muerte,9
militar,ciudad,9
militar,madero,9
campamento,madre,9
investigar,institucion,9
investigar,justicia,9
deber,persona,9
querer,hablar,9
querer,madre,9
militar,institucion,9
escuela,julio,9
regular,verano,9
ponce,dafne,9
nina,muerte,9
existir,persona,9
entender,caso,9
escuela,revisar,9
escuela,operar,9
matar,pasajero,9
culpable,detener,9
dejar,tampico,9
deber,creer,9
querer,gente,9
aplicar,justicia,9
querer,villarreal,9
escuela,metro,8
mano,caso,8
mano,americo,8
llamar,tamaulipas,8
mano,tampico,8
deber,proyecto,8
escuela,autoridad,8
deber,ano,8
director,ano,8
nina,ano,8
investigar,ruffo,8
existir,ley,8
cerrar,tamaulipas,8
cerrar,tampiqueno,8
cerrar,breve,8
director,investigacion,8
victima,ano,8
hija,tamaulipas,8
militar,doenitz,8
hija,quintos,8
campamento,fallecer,8
investigar,fiscalia,8
ponce,academia,8
victima,dafne,8
nina,seguir,8
dejar,mexico,8
hijo,madre,8
militar,contar,8
escuela,morir,8
escuela,fiscalia,8
deber,militarizado,8
deber,menor,8
abuso,academia,8
alumno,academia,8
victima,investigacion,8
impune,quedar,8
pagar,justicia,8
deber,mexico,8
escuela,mexico,8
campamento,morir,8
hija,militarizada,8
deber,muerte,8
deber,quedar,8
hija,justicia,8
militar,base,8
victima,caso,8
escuela,formacion,8
escuela,pasar,8
deber,corrupto,8
querer,pais,8
senora,justicia,8
victima,familiar,8
padre,academia,8
escuela,espacio,7
escuela,cultural,7
deber,ley,7
deber,familia,7
dejar,claro,7
campamento,tampico,7
campamento,julio,7
abuso,sexual,7
dejar,ocurrir,7
entender,seguir,7
dejar,pais,7
cerrar,estancia,7
cerrar,club,7
cerrar,tamaulipeco,7
cerrar,previo,7
cerrar,iniciar,7
cerrar,apertura,7
