termino_interno,termino_externo,weight
sur,tamaulipas,50
sur,zona,24
educacion,tamaulipas,22
educacion,escuela,21
informar,tamaulipas,19
mantener,tampico,18
educacion,militarizado,18
educacion,secretaria,17
sur,tampico,16
mes,tampico,16
mes,pesos,15
sur,norte,14
educacion,institucion,12
mantener,mexico,12
informar,ciudad,12
visitante,turistico,12
informar,tampico,11
mantener,tamaulipas,10
educacion,sep,10
gonzalez,tampico,10
educacion,modelo,10
indicar,zona,9
sur,buscar,9
educacion,publica,9
visitante,tampico,9
periodo,ciento,9
detectar,tamaulipas,9
paquete,fiscal,9
escolar,regreso,8
informar,villarreal,8
club,golf,8
administracion,villarreal,8
mes,tamaulipas,8
sur,inversion,8
educacion,academia,8
sur,altamira,8
mantener,ciudad,8
indicar,proceso,8
visitante,verano,8
periodo,tampico,8
educacion,ofrecer,8
educacion,basico,8
sur,llegar,8
educacion,aprendizaje,8
visitar,tampico,7
educacion,militar,7
educacion,estatal,7
establecer,tamaulipas,7
reportar,tampico,7
mantener,ano,7
periodo,verano,7
educacion,gobierno,7
periodo,ano,7
visitante,ciudad,7
aumentar,zona,7
temporada,tampico,7
sur,carril,7
visitante,ano,7
informar,mexico,7
visitante,destino,7
mantener,seguridad,7
alcalde,martinez,7
alcalde,ciudad,7
mantener,turistico,7
gestion,tamaulipas,7
informar,nacional,7
indicar,tampico,7
eduardo,manzur,6
empresario,reynosa,6
gonzalez,erasmo,6
gonzalez,tamaulipas,6
resolver,gobierno,6
sur,region,6
mes,proyecto,6
indicar,tamaulipas,6
mantener,continuar,6
sur,seguir,6
escolar,clase,6
educacion,ley,6
educacion,federal,6
informar,alcaldesa,6
mes,ano,6
administracion,programa,6
mantener,villarreal,6
numero,mexico,6
sur,ano,6
administracion,alcaldesa,6
administracion,monica,6
administracion,social,6
aumentar,tamaulipas,6
educacion,nacional,6
sur,hidalgo,6
sur,san,6
aumentar,ano,6
sur,municipio,6
mes,municipal,6
numero,ano,6
informar,agosto,6
visitante,playa,6
visitante,miramar,6
sur,ciudad,6
aumentar,precio,6
escolar,calendario,6
litro,ciudad,6
periodo,tamaulipas,6
periodo,pesos,6
mantener,gobierno,6
sur,persona,6
alcalde,armando,6
mantener,estatal,6
informar,accion,6
educacion,secretario,6
mantener,nacional,6
sur,tiendas,6
sur,bara,6
club,postura,6
alcance,fiscal,6
detectar,entidad,6
educacion,formacion,5
educacion,dafne,5
establecer,investigacion,5
numero,investigacion,5
mariela,tamaulipas,5
resolver,autoridad,5
sur,recibir,5
impactar,tamaulipas,5
regional,tamaulipas,5
mantener,centro,5
mantener,buscar,5
administracion,tampico,5
mantener,verano,5
venta,servicio,5
administracion,compromiso,5
mantener,morena,5
escolar,precio,5
informar,monica,5
informar,deportiva,5
gonzalez,municipio,5
mantener,asegurar,5
informar,proteccion,5
mantener,pais,5
informar,persona,5
informar,seguridad,5
convenir,pais,5
administracion,destacar,5
club,asociacion,5
informar,dafne,5
sur,turistico,5
sur,mexico,5
sur,proyecto,5
administracion,desarrollo,5
mes,local,5
sur,quedar,5
sur,tienda,5
educacion,social,5
educacion,buscar,5
club,jaiba,5
club,brava,5
educacion,colegio,5
administracion,municipal,5
sur,pais,5
sur,hospital,5
educacion,regular,5
sur,llegada,5
comparacion,ano,5
mes,millon,5
mes,permiso,5
mes,construccion,5
mes,mensual,5
club,bhatia,5
resolver,ciudad,5
aumentar,condicion,5
sur,veracruz,5
visitante,afluencia,5
turista,turistico,5
escolar,comunidad,5
sur,madero,5
venta,ciudad,5
venta,madero,5
venta,pulpa,5
litro,agua,5
litro,pesos,5
sur,pesos,5
sur,esperar,5
escolar,tamaulipas,5
litro,madero,5
litro,vagon,5
regional,tampico,5
regional,ciudad,5
alcalde,altamira,5
visitante,municipio,5
regional,nacional,5
mantener,madero,5
carlos,secretario,5
detectar,escuela,5
mantener,senalar,5
sur,millon,5
educacion,pais,5
educacion,villarreal,5
educacion,supervision,5
