termino_interno,termino_externo,weight
pardo,claudia,28
pardo,sheinbaum,27
pardo,presidenta,23
federal,tamaulipas,19
economico,desarrollo,16
economico,tampico,15
mujer,tampico,14
economico,fortalecer,14
impulsado,presidenta,13
federal,gobierno,13
iniciativa,tampico,13
sosa,tampico,13
mujer,familia,12
responsable,caso,12
federal,estatal,12
federal,secretaria,11
iniciativa,fortalecer,11
sosa,antonio,11
sosa,sol,11
mujer,presidenta,11
pardo,tamaulipas,11
pardo,nacional,10
promover,fortalecer,10
encuentro,equipo,10
economico,generar,10
federal,tampico,10
pardo,reforestacion,9
impulsado,nacional,9
impulsado,fortalecer,9
economico,impulsar,9
economico,tamaulipas,9
responsable,academia,9
responsable,autoridad,9
apoyar,tampico,9
promover,tampico,9
apoyar,tampicotecuida,9
impulsado,reforestacion,8
impulsado,claudia,8
pardo,mexico,8
economico,ciudad,8
economico,municipio,8
pardo,tampico,8
responsable,presunto,8
iniciativa,presidenta,8
plaza,tampico,8
economico,seguir,8
plaza,golfo,8
garcia,narco,8
impulsado,tamaulipas,8
pardo,fortalecer,7
economico,municipal,7
sosa,tamaulipas,7
iniciativa,seguir,7
agradecer,tampico,7
zacil,presidenta,7
mujer,colonia,7
responsable,tamaulipas,7
impulsado,sheinbaum,7
federal,autoridad,7
responsable,tampico,7
mujer,hombre,7
participacion,ano,7
participacion,proceso,7
iniciativa,bienestar,7
mujer,derecho,7
participacion,joven,7
participacion,tamaulipas,7
corazon,tampico,7
impulsado,villarreal,7
impulsado,anaya,7
federal,gobernador,7
impulsado,jornada,7
pardo,sumar,6
impulsado,sumar,6
federal,bienestar,6
federal,programa,6
economico,crecimiento,6
senadora,ruiz,6
olga,ruiz,6
olga,tamaulipas,6
sosa,ruiz,6
iniciativa,impulsar,6
direccion,tampico,6
iniciativa,tamaulipas,6
zacil,espacio,6
garcia,san,6
responsable,accidente,6
mujer,mexico,6
mujer,apoyo,6
pardo,gobernador,6
mujer,gobierno,6
federal,educacion,6
mujer,monica,6
mujer,villarreal,6
mujer,mujeres,6
mujer,cuidar,6
federal,investigacion,6
pardo,villarreal,6
responsable,escuela,6
mujer,municipal,6
responsable,mora,6
iniciativa,excelente,6
impulsado,gobierno,6
impulsado,accion,6
impulsado,mexico,6
economico,proyecto,6
economico,importante,6
economico,derrama,6
mujer,ano,6
economico,turismo,6
apoyar,programa,6
apoyar,ciudad,6
apoyar,excelente,6
plaza,jornada,6
plaza,bienestar,6
plazo,hora,6
garcia,cabeza,6
garcia,vaca,6
iniciativa,tampicotecuida,6
federal,fiscal,6
senadora,presidenta,6
federal,americo,6
federal,villarreal,6
pardo,jornada,6
economico,altamira,6
responsable,detener,6
impulsado,gobernador,6
impulsado,americo,6
impulsado,fiscal,6
promover,red,5
economico,oportunidad,5
economico,presidente,5
beneficiar,familia,5
senadora,tamaulipas,5
agradecer,ciudad,5
economico,confianza,5
apoyar,seguir,5
zacil,gobierno,5
lleno,dia,5
garcia,gobernador,5
mujer,respuesta,5
responsable,justicia,5
tomar,persona,5
garcia,gobierno,5
corazon,familia,5
responsable,familia,5
federal,proceso,5
mujer,programa,5
originario,veracruz,5
plaza,presidenta,5
mujer,pasar,5
mujer,provocar,5
mujer,atencion,5
tomar,dia,5
tomar,ano,5
responsable,dafne,5
responsable,militarizada,5
responsable,doenitz,5
encuentro,diverso,5
encuentro,parque,5
encuentro,fortalecer,5
mujer,tamaulipas,5
plaza,tamaulipas,5
apoyar,presidenta,5
plaza,zona,5
tomar,caso,5
zacil,municipal,5
zacil,monica,5
zacil,villarreal,5
mujer,fortalecer,5
mujer,salud,5
economico,bienestar,5
tomar,audiencia,5
pardo,americo,5
pardo,anaya,5
economico,pesos,5
presente,ano,5
apoyar,gobierno,5
responsable,alumno,5
testigo,caso,5
apoyar,felicidades,5
beneficiar,cabeza,5
beneficiar,vaca,5
beneficiar,transpais,5
beneficiar,contrato,5
garcia,tamaulipas,5
federal,obra,5
encuentro,resultar,5
encuentro,entretenido,5
iniciativa,nacional,5
iniciativa,comunidad,5
iniciativa,villarreal,5
promover,presidenta,5
participacion,feminicidio,5
participacion,gobierno,5
garcia,luna,5
garcia,valdez,5
federal,institucion,5
pardo,cuenca,5
pardo,presentar,5
