termino_interno,termino_externo,weight
tamaulipas,tampico,147
tamaulipas,dafne,81
tamaulipas,justicia,67
tamaulipas,sur,66
tamaulipas,villarreal,58
tamaulipas,caso,56
tamaulipas,ciudad,50
tamaulipas,madero,48
tamaulipas,ano,46
tamaulipas,zona,45
altamira,tampico,44
tamaulipas,americo,43
tamaulipas,nacional,42
tamaulipas,julio,42
tamaulipas,cdvictoria,41
tamaulipas,general,40
tamaulipas,fiscalia,39
tamaulipas,gobernador,37
tamaulipas,academia,36
tamaulipas,reynosa,35
tamaulipas,investigacion,33
tamaulipas,gobierno,32
tamaulipas,municipio,32
tamaulipas,escuela,31
matamoros,reynosa,30
tamaulipas,region,30
tamaulipas,mexico,29
tamaulipas,feminicidio,27
tamaulipas,fortalecer,27
tamaulipas,autoridad,26
tamaulipas,seguridad,24
altamira,madero,24
tamaulipas,familia,24
tamaulipas,doenitz,24
tamaulipas,zapata,23
tamaulipas,entidad,22
matamoros,tampico,22
tamaulipas,seguir,21
tamaulipas,informar,21
tamaulipas,turismo,21
tamaulipas,presidenta,21
tamaulipas,estatal,21
tamaulipas,bienestar,20
tamaulipas,persona,20
tamaulipas,hora,20
tamaulipas,salud,20
tamaulipas,muerte,20
tamaulipas,militarizado,20
tamaulipas,temperatura,20
altamira,julio,19
tamaulipas,avance,19
altamira,justicia,19
tamaulipas,hospital,19
tamaulipas,verano,19
tamaulipas,ofrecer,19
tamaulipas,quintos,19
tamaulipas,obra,18
tamaulipas,acuerdo,18
tamaulipas,sector,18
tamaulipas,sheinbaum,18
tamaulipas,continuar,18
tamaulipas,senalar,18
altamira,yanina,18
tamaulipas,nivel,17
tamaulipas,secretaria,17
nino,tampico,17
tamaulipas,principal,17
tamaulipas,dejar,17
tamaulipas,turistico,17
tamaulipas,mante,17
altamira,ciudad,17
altamira,dafne,17
tamaulipas,joven,17
nuevolaredo,reynosa,17
nuevolaredo,tampico,17
tamaulipas,proceso,17
tamaulipas,registrar,16
tamaulipas,menor,16
tamaulipas,campamento,16
tamaulipas,calor,16
tamaulipas,pedir,16
altamira,caso,15
tamaulipas,ley,15
tamaulipas,infraestructura,15
tamaulipas,maximo,15
tamaulipas,municipal,15
tamaulipas,militar,15
tamaulipas,militarizada,15
tamaulipas,asegurar,15
tamaulipas,exigir,15
tamaulipas,luis,15
tamaulipas,resultado,14
tamaulipas,proyecto,14
tamaulipas,destacar,14
tamaulipas,dia,14
tamaulipas,empresa,14
laredo,reynosa,14
tamaulipas,anaya,14
tamaulipas,buscar,14
altamira,reynosa,14
libramiento,mante,14
matamoros,cdvictoria,14
tamaulipas,presidente,13
nino,nina,13
tamaulipas,compartir,13
tamaulipas,deber,13
tamaulipas,construccion,13
altamira,centro,13
tamaulipas,desarrollo,13
tamaulipas,san,13
tamaulipas,seguro,13
tamaulipas,antonio,13
nino,joven,13
tamaulipas,clima,13
tamaulipas,impulsar,13
nuevolaredo,cdvictoria,13
tamaulipas,yanina,13
altamira,audiencia,13
tamaulipas,atencion,12
tamaulipas,importante,12
tamaulipas,actividad,12
tamaulipas,economico,12
tamaulipas,contar,12
comercio,tampico,12
altamira,buscar,12
tamaulipas,veracruz,12
tamaulipas,delegacion,12
tamaulipas,alto,12
tamaulipas,secretario,12
tamaulipas,accion,12
tamaulipas,jornada,12
tamaulipas,medico,12
tamaulipas,madre,12
tamaulipas,educacion,12
tamaulipas,lluvia,12
tamaulipas,querer,12
tamaulipas,adolescente,12
poniente,mante,12
tamaulipas,pais,11
tamaulipas,manana,11
tamaulipas,inversion,11
tamaulipas,costo,11
tamaulipas,guardia,11
tamaulipas,evento,11
tamaulipas,deporte,11
tamaulipas,generar,11
tamaulipas,presunto,11
tamaulipas,equipo,11
tamaulipas,claudia,11
tamaulipas,compromiso,11
tamaulipas,centro,11
tamaulipas,marina,11
tamaulipas,sabado,11
tamaulipas,viento,11
tamaulipas,condicion,11
tamaulipas,norte,11
matamoros,maximo,11
tamaulipas,frontera,11
hermoso,tampico,11
tamaulipas,pesos,10
tamaulipas,elemento,10
altamira,hora,10
tamaulipas,monica,10
tamaulipas,personal,10
tamaulipas,solicitar,10
tamaulipas,perder,10
tamaulipas,esperar,10
laredo,maximo,10
tamaulipas,rodriguez,10
tamaulipas,delito,10
tamaulipas,operar,10
tamaulipas,republica,10
tamaulipas,ganar,10
tamaulipas,participar,10
tamaulipas,institucion,10
tamaulipas,pasar,10
bienvenido,tampicotecuida,10
nino,nacional,10
tamaulipas,danna,10
tamaulipas,publico,9
tamaulipas,agua,9
tamaulipas,servicio,9
tamaulipas,vida,9
tamaulipas,publica,9
tamaulipas,estacion,9
altamira,sur,9
altamira,autoridad,9
tamaulipas,internacional,9
tamaulipas,llegar,9
tamaulipas,alcaldesa,9
tamaulipas,situacion,9
tamaulipas,cierre,9
tamaulipas,unidad,9
tamaulipas,responder,9
tamaulipas,existir,9
tamaulipas,estancia,9
tamaulipas,comercial,9
tamaulipas,permiso,9
tamaulipas,hernandez,9
tamaulipas,racha,9
