termino_interno,termino_externo,weight
anaya,villarreal,86
anaya,americo,40
anaya,gobernador,39
anaya,monica,38
anaya,tamaulipas,36
anaya,tampico,35
dif,tampico,27
anaya,presidenta,26
anaya,municipal,26
turistico,tampico,22
anaya,alcaldesa,20
encabezar,villarreal,17
red,social,15
anaya,ciudad,15
turistico,tamaulipas,14
dif,sistema,14
anaya,fortalecer,13
anaya,gobierno,13
ayuntamiento,tampico,13
verano,academia,13
verano,campamento,13
destino,tampico,13
encabezar,monica,12
verano,tampico,12
titular,fiscal,12
turistico,visitante,12
alianza,tampico,11
verano,tamaulipas,11
leer,villarreal,11
nota,tamaulipas,11
anaya,nacional,10
anaya,estatal,10
encabezar,tampico,10
verano,dafne,10
verano,ciudad,10
turistico,turismo,10
turistico,villarreal,10
curso,agosto,10
anaya,entrega,9
verano,doenitz,9
verano,madero,9
nota,tampico,9
verano,ano,9
verano,militarizada,9
reunion,tampico,9
turistico,impulsar,9
turistico,ciudad,9
verano,gobierno,9
verano,municipal,9
anaya,espacio,9
anaya,desarrollo,9
consolidar,tampico,9
curso,tampico,9
turistico,principal,9
mesa,fiscal,9
playa,tamaulipas,8
turistico,fortalecer,8
red,tampico,8
integrar,tampico,8
dif,presidenta,8
anaya,ano,8
leer,monica,8
reunion,tamaulipas,8
turistico,monica,8
turistico,zona,8
anaya,secretario,8
anaya,impulsar,8
leer,tampico,8
desarrollar,tampico,8
curso,iniciar,8
percepcion,tampico,8
turistico,mexico,8
turistico,ano,8
verano,visitante,8
verano,espacio,8
destino,tamaulipas,7
reunion,secretaria,7
acercar,bienestar,7
consolidar,fortalecer,7
red,monica,7
encabezar,municipal,7
dif,familia,7
verano,periodo,7
mujeres,tampico,7
mujeres,programa,7
verano,adolescente,7
destino,ciudad,7
turistico,pais,7
anaya,encabezado,7
encabezar,impulsar,7
consolidar,tamaulipas,7
destino,visitante,7
anaya,luz,7
anaya,adriana,7
turistico,mantener,7
turistico,atractivo,7
anaya,recibir,7
reunion,villarreal,7
anaya,impulsado,7
leer,ciudad,7
conocido,grupo,7
acercar,fortalecer,6
reunion,fortalecer,6
acercar,gobierno,6
red,mexico,6
turistico,universidad,6
anaya,accion,6
miramar,pavimentacion,6
miramar,colonia,6
miramar,privada,6
consolidar,nacional,6
red,presidenta,6
anaya,programa,6
verano,presidenta,6
verano,escuela,6
completo,tamaulipas,6
encabezar,presidente,6
verano,persona,6
mujeres,mujer,6
mujeres,cuidar,6
reunion,turismo,6
turistico,buscar,6
red,gobierno,6
red,ano,6
red,villarreal,6
anaya,gracias,6
leer,municipal,6
desarrollar,nacional,6
anaya,sheinbaum,6
anaya,victoria,6
anaya,compromiso,6
reunion,autoridad,6
curso,disponible,6
titular,tamaulipas,6
percepcion,seguridad,6
verano,quintos,6
destino,mexico,6
proposito,villarreal,6
dif,villarreal,6
dif,programa,6
playa,visitante,6
miramar,visitante,6
encabezar,ceremonia,6
titular,secretaria,6
turistico,municipio,6
capital,tamaulipas,6
mujeres,familia,6
inteligencia,universidad,6
inteligencia,altamira,6
artificial,altamira,6
verano,villarreal,6
turistico,promocion,6
turistico,servicio,6
anaya,instalacion,6
nota,cdvictoria,6
nota,cdmadero,6
nota,matamoros,6
nota,reynosa,6
turistico,altamira,6
artificial,tampico,6
anaya,internacional,6
titular,beneficio,6
titular,agosto,6
proposito,fiscal,6
anaya,fiscal,6
playa,pesca,5
reunion,nacional,5
reunion,seguir,5
red,promover,5
mesa,agosto,5
transitar,mejorar,5
transitar,movilidad,5
anaya,destacar,5
anaya,seguridad,5
miramar,ninos,5
miramar,heroes,5
miramar,ano,5
realidad,ano,5
alianza,monica,5
alianza,villarreal,5
encabezar,presidenta,5
transitar,obra,5
delegado,elemento,5
dif,excelente,5
encabezar,jornada,5
verano,mantener,5
completo,tampico,5
acercar,fiscal,5
acercar,ciudadania,5
anaya,colonia,5
anaya,obra,5
encabezar,colonia,5
encabezar,alcaldesa,5
leer,alcaldesa,5
realidad,querer,5
conocido,dafne,5
verano,fallecer,5
verano,marina,5
reunion,sostener,5
turistico,sur,5
