termino_interno,termino_externo,weight
programa,bienestar,21
continuar,tampico,21
local,tampico,20
entrega,tampico,19
programa,tampico,18
local,fortalecer,16
programa,villarreal,16
programa,gobierno,15
continuar,dafne,15
programa,americo,14
pavimentacion,ano,14
entrega,fortalecer,13
puerta,laguna,13
programa,fortalecer,12
ciudadano,tampico,12
programa,presidenta,12
abrir,tampico,12
pavimentacion,laguna,12
avenida,laguna,12
avenida,colonia,12
programa,excelente,12
local,villarreal,11
programa,seguir,11
medio,ambiente,11
economia,fortalecer,11
entrega,villarreal,11
pavimentacion,colonia,11
programa,monica,11
continuar,tamaulipas,11
local,empresa,10
economia,tampico,10
continuar,seguir,10
concreto,colonia,10
hidraulico,obra,10
continuar,nacional,10
avenida,tampico,10
puerta,ano,10
programa,camino,10
local,impulsar,9
programa,estatal,9
programa,municipio,9
local,seguir,9
continuar,ciudad,9
local,municipal,9
pavimentacion,infraestructura,9
entrega,anaya,9
local,monica,9
medio,tamaulipas,9
local,tamaulipas,9
continuar,altamira,9
programa,tamaulipas,9
politica,tamaulipas,9
programa,conjunto,9
programa,jaumave,9
abrir,oportunidad,8
abrir,municipal,8
distintivo,tampico,8
cumplir,compromiso,8
economia,seguir,8
entrega,recibir,8
hidraulico,infraestructura,8
hidraulico,colonia,8
pavimentacion,espera,8
local,presidenta,8
pavimentacion,obra,8
expresar,justicia,8
firmar,tampico,8
pavimentacion,entregar,8
pavimentacion,monica,8
ciudadano,tamaulipas,8
continuar,justicia,8
poblacion,tamaulipas,8
ciudadano,seguir,8
programa,atencion,8
programa,familia,8
avenida,hidalgo,8
poblacion,villarreal,8
programa,rehabilitar,8
local,desarrollo,7
programa,gente,7
entrega,reconocimiento,7
programa,cuidar,7
capacidad,tampico,7
entrega,monica,7
distintivo,monica,7
concreto,infraestructura,7
hidrosanitaria,colonia,7
colegio,militar,7
tercero,tampico,7
local,destacar,7
pavimentacion,familia,7
pavimentacion,calle,7
pavimentacion,mejorar,7
concreto,ano,7
concreto,obra,7
hidraulico,ano,7
expresar,tamaulipas,7
programa,gobernador,7
pavimentacion,transformar,7
capacidad,tamaulipas,7
capacidad,general,7
programa,mujeres,7
continuar,investigacion,7
pavimentacion,villarreal,7
ciudadano,gobierno,7
ciudadano,municipal,7
continuar,caso,7
local,comercial,7
abrir,gobierno,7
local,ciudad,7
poblacion,fortalecer,7
manana,audiencia,7
programa,rural,7
abrir,tamaulipas,7
concreto,laguna,7
hidraulico,laguna,7
puerta,colonia,7
manana,comenzar,7
continuar,yanina,7
martes,audiencia,7
puerta,monica,7
programa,apoyo,7
poblacion,americo,7
entrega,familia,7
manana,tamaulipas,6
local,oportunidad,6
programa,federal,6
programa,salud,6
entrega,compromiso,6
distintivo,fortalecer,6
distintivo,empresa,6
programa,desarrollo,6
programa,servicio,6
local,dia,6
economia,ciudad,6
entrega,presidenta,6
economia,mexico,6
manana,dia,6
continuar,region,6
pavimentacion,privada,6
pavimentacion,miramar,6
programa,municipal,6
programa,anaya,6
local,negocio,6
cumplir,monica,6
abrir,presidenta,6
continuar,permitir,6
continuar,mantener,6
local,familia,6
colegio,militarizado,6
poblacion,zona,6
poblacion,autoridad,6
continuar,mexico,6
continuar,importante,6
programa,administracion,6
ciudadano,accion,6
hidraulico,villarreal,6
empresarial,reynosa,6
medio,accion,6
confirmar,tampico,6
martes,agosto,6
estudiante,tampico,6
economia,impulsar,6
determinacion,audiencia,6
local,altamira,6
programa,apoyar,6
abrir,villarreal,6
cuyo,pesos,6
cuyo,vivienda,6
local,gobierno,6
local,accion,6
poblacion,bienestar,6
papel,tamaulipas,6
programa,dif,6
avenida,vialidad,6
avance,tamaulipas,6
continuar,proceso,6
ciudadano,jornada,6
capacidad,inversion,6
estudiante,proyecto,6
estudiante,tamaulipas,6
estudiante,tampicotecuida,6
paseo,laguna,6
capacidad,ciudad,6
puerta,entregar,6
puerta,villarreal,6
programa,tampicotecuida,6
continuar,permanecer,6
entrega,apoyo,6
programa,secretaria,5
programa,construir,5
programa,social,5
cumplir,requisito,5
competitividad,fortalecer,5
abrir,fortalecer,5
entrega,dia,5
continuar,dia,5
prosperidad,tampico,5
tercero,monica,5
distintivo,villarreal,5
