usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@AlcaldesMexico,T00_P1,0,1,4,14.8,2,27,Twitter,T16,T16_S0
TikTok::monicavtampico,T01_P1,1,1,16,13.6,4,118,TikTok,T01,T07_S3
TikTok::tamaulipas.al.dia,T01_P1,1,2,14,24.1,1,58,TikTok,T01,T19_S3
Twitter::@LaTalacha,T01_P1,1,3,13,18.3,4,71,Twitter,T19,T19_S4
Twitter::@heraldoradiomty,T01_P1,1,4,4,13.3,2,30,Twitter,T08,T08_S7
YouTube::@joseangelmatias1466,T01_P1,1,5,3,13.0,1,23,YouTube,T24,T18_S1
Twitter::@olgapsosa,T02_P1,2,1,22,14.2,8,155,Twitter,T18,T02_S1
YouTube::@josedejesuspartidaserrano5845,T02_P1,2,2,17,13.7,4,124,YouTube,T02,T06_S2
Instagram::callesentodo,T02_P1,2,3,12,12.5,1,96,Instagram,T12,T12_S1
TikTok::olgapsosa,T02_P1,2,4,9,23.7,2,38,TikTok,T02,T02_S1
Facebook::Julian Romero Treviño,T02_P1,2,5,8,30.8,4,26,Facebook,T02,T23_S3
YouTube::@Iztacalquense,T02_P1,2,6,6,12.5,2,48,YouTube,T02,T02_S1
YouTube::@CreciendoconnuestroMéxico,T02_P1,2,7,6,15.0,1,40,YouTube,T15,T15_S1
YouTube::@danielalfonso8677,T02_P1,2,8,5,17.9,2,28,YouTube,T02,T02_S8
Twitter::@JJDiazMachuca,T02_P1,2,9,4,15.4,1,26,Twitter,T07,T07_S6
Facebook::Sergio Ocejo Quintanilla,T02_P1,2,10,4,17.4,5,23,Facebook,T02,T02_S0
Twitter::@soy24siete,T02_P1,2,11,4,19.0,2,21,Twitter,T02,T02_S4
YouTube::@GilbertoSadot,T02_P1,2,12,4,15.4,2,26,YouTube,T02,T02_S1
Twitter::@JTrianaT,T02_P1,2,13,3,18.8,1,16,Twitter,T13,T13_S1
YouTube::@LaChefcita23,T02_P1,2,14,3,15.8,1,19,YouTube,T02,T02_S0
YouTube::@jkhaulingandjunkremovalser4303,T02_P1,2,15,3,16.7,3,18,YouTube,T08,T08_S1
YouTube::@ramirezpcmusica,T02_P1,2,16,3,12.5,1,24,YouTube,T06,T17_S0
YouTube::@yves21,T02_P1,2,17,3,15.8,3,19,YouTube,T02,T09_S2
Twitter::@XiomaraVargasTV,T03_P1,3,1,61,14.5,7,420,Twitter,T14,T03_S4
Twitter::@Alejand76809796,T03_P1,3,2,16,40.0,2,40,Twitter,T03,T03_S2
YouTube::@JasonVorhees-o5d,T03_P1,3,3,15,34.1,2,44,YouTube,T03,T03_S1
Twitter::@ElStandardDeTam,T03_P1,3,4,7,16.3,2,43,Twitter,T19,T19_S0
YouTube::@viridianasanchez851,T03_P1,3,5,6,15.8,5,38,YouTube,T03,T03_S3
YouTube::@DylanFernando-t4g,T03_P1,3,6,5,35.7,1,14,YouTube,T03,T03_S5
YouTube::@nicoSaucedoEsparza,T03_P1,3,7,5,31.2,3,16,YouTube,T06,T03_S5
YouTube::@virgenguadalupecortazarvaz5164,T03_P1,3,8,5,25.0,1,20,YouTube,T03,T20_S1
YouTube::@GarciaValent,T03_P1,3,9,4,18.2,2,22,YouTube,T21,T03_S3
Twitter::@juanbaaq,T03_P1,3,10,4,22.2,1,18,Twitter,T03,T03_S2
YouTube::@macgyver7998,T03_P1,3,11,4,33.3,2,12,YouTube,T03,T03_S3
YouTube::@danubys1,T03_P1,3,12,4,13.3,1,30,YouTube,T06,T06_S0
YouTube::@Macon-xh5ik,T03_P1,3,13,4,15.4,1,26,YouTube,T24,T04_S0
YouTube::@camiloromero9971,T03_P1,3,14,4,25.0,1,16,YouTube,T22,T03_S2
YouTube::@gerardomendozacontreras1825,T03_P1,3,15,4,40.0,1,10,YouTube,T03,T03_S5
YouTube::@pilargomez5520,T03_P1,3,16,4,23.5,1,17,YouTube,T06,T15_S0
YouTube::@angelesaa9539,T03_P1,3,17,3,18.8,3,16,YouTube,T06,T10_S11
YouTube::@anaquintero9841,T03_P1,3,18,3,25.0,1,12,YouTube,T06,T06_S0
YouTube::@luiserasmo,T03_P1,3,19,3,15.0,2,20,YouTube,T06,T06_S0
YouTube::@juandominguez3346,T03_P1,3,20,3,12.0,1,25,YouTube,T06,T06_S0
YouTube::@joaquinl.v.1776,T03_P1,3,21,3,30.0,1,10,YouTube,T03,T03_S2
YouTube::@gracielabalderas9999,T03_P1,3,22,3,30.0,1,10,YouTube,T03,T03_S3
YouTube::@genovevavazquez1910,T03_P1,3,23,3,27.3,3,11,YouTube,T03,T03_S5
YouTube::@robertoalarcon7108,T03_P1,3,24,3,33.3,1,9,YouTube,T10,T10_S6
YouTube::@rosalbapaniagua9243,T03_P1,3,25,3,23.1,1,13,YouTube,T06,T03_S5
YouTube::@zarigc,T03_P1,3,26,3,33.3,1,9,YouTube,T03,T03_S3
Twitter::@VoceriaSegTamps,T04_P1,4,1,13,40.6,1,32,Twitter,T04,T04_S0
Twitter::@Radio_Formula,T04_P1,4,2,6,12.8,3,47,Twitter,T09,T14_S2
YouTube::@CandelarioCastillo-c2o,T04_P1,4,3,6,17.1,1,35,YouTube,T21,T04_S0
YouTube::@LulyBarba,T04_P1,4,4,5,29.4,2,17,YouTube,T04,T04_S4
Twitter::@LaMejor_Tampico,T04_P1,4,5,5,13.9,4,36,Twitter,T12,T15_S1
YouTube::@RddStar-y2v4z,T04_P1,4,6,5,22.7,3,22,YouTube,T06,T06_S2
YouTube::@pepevilla1985,T04_P1,4,7,5,71.4,1,7,YouTube,T04,T04_S9
YouTube::@abelperezhernandez287,T04_P1,4,8,4,18.2,1,22,YouTube,T08,T04_S9
Twitter::@juanbaaq,T04_P1,4,9,4,22.2,1,18,Twitter,T03,T03_S2
YouTube::@Rembrandt1945,T04_P1,4,10,4,36.4,1,11,YouTube,T04,T04_S5
YouTube::@artemisavirgenvirgen8226,T04_P1,4,11,4,26.7,1,15,YouTube,T04,T09_S1
YouTube::@javiermunoz4307,T04_P1,4,12,4,13.3,1,30,YouTube,T04,T04_S4
Twitter::@DnielleCabrera,T04_P1,4,13,3,14.3,1,21,Twitter,T21,T21_S4
YouTube::@MartinGonzalezCordero-w8h,T04_P1,4,14,3,23.1,1,13,YouTube,T21,T21_S5
YouTube::@GuadalupeNunez-je5hm,T04_P1,4,15,3,21.4,3,14,YouTube,T04,T04_S2
YouTube::@EfrenOrtiz-g2e,T04_P1,4,16,3,33.3,1,9,YouTube,T04,T04_S2
YouTube::@EvaDelÁngel-s1k,T04_P1,4,17,3,14.3,1,21,YouTube,T06,T06_S0
Twitter::@yiyigachan,T04_P1,4,18,3,18.8,3,16,Twitter,T10,T07_S3
YouTube::@estanislaolazcanocastelan90,T04_P1,4,19,3,30.0,1,10,YouTube,T04,T06_S1
YouTube::@magdalenog6631,T04_P1,4,20,3,27.3,1,11,YouTube,T04,T04_S9
YouTube::@zarigc,T04_P1,4,21,3,33.3,1,9,YouTube,T03,T03_S3
Twitter::@athendoflight,T04_P2,4,1,9,17.6,3,51,Twitter,T21,T07_S0
Twitter::@2ositoo,T04_P2,4,2,8,16.0,2,50,Twitter,T04,T04_S1
YouTube::@shadowmxli,T04_P2,4,3,4,13.8,1,29,YouTube,T21,T21_S1
YouTube::@RPD-DD,T04_P2,4,4,4,28.6,1,14,YouTube,T04,T04_S1
YouTube::@IncrementaTuCartera,T04_P2,4,5,3,60.0,1,5,YouTube,T04,T04_S1
YouTube::@MarcelaBauer-o9s,T04_P2,4,6,3,25.0,1,12,YouTube,T04,T04_S8
YouTube::@CaroDiaz-m3g,T04_P2,4,7,3,13.0,1,23,YouTube,T06,T04_S1
YouTube::@DeAndra750,T04_P2,4,8,3,13.6,2,22,YouTube,T06,T19_S2
YouTube::@Nochi_73,T04_P2,4,9,3,50.0,1,6,YouTube,T04,T04_S1
YouTube::@MrCharrito58,T04_P2,4,10,3,30.0,2,10,YouTube,T06,T06_S2
YouTube::@SalvadorOlmospulido,T04_P2,4,11,3,13.6,1,22,YouTube,T06,T06_S0
YouTube::@PlanosARCOS,T04_P2,4,12,3,23.1,1,13,YouTube,T21,T21_S7
YouTube::@anaramirez1601,T04_P2,4,13,3,33.3,1,9,YouTube,T04,T04_S1
YouTube::@braun8803,T04_P2,4,14,3,21.4,1,14,YouTube,T04,T04_S8
YouTube::@erabaitbro3927,T04_P2,4,15,3,14.3,1,21,YouTube,T06,T22_S0
YouTube::@josesantana8752,T04_P2,4,16,3,21.4,1,14,YouTube,T04,T04_S1
Twitter::@2ositoo,T05_P1,5,1,6,12.0,2,50,Twitter,T04,T04_S1
YouTube::@JavierLópez-m6s5f,T05_P1,5,2,5,41.7,2,12,YouTube,T05,T05_S0
YouTube::@julionarvaez9788,T05_P1,5,3,5,18.5,1,27,YouTube,T06,T06_S0
YouTube::@GeorginafajardoIII,T05_P1,5,4,4,26.7,1,15,YouTube,T06,T06_S0
YouTube::@latuna8395,T05_P1,5,5,4,26.7,1,15,YouTube,T05,T05_S5
YouTube::@robinsien8049,T05_P1,5,6,4,25.0,1,16,YouTube,T05,T05_S0
YouTube::@unammexico-j2e,T05_P1,5,7,4,21.1,1,19,YouTube,T10,T10_S0
Twitter::@RadioUAT,T05_P1,5,8,4,14.8,2,27,Twitter,T05,T05_S5
Twitter::@HidalguenseDg,T05_P1,5,9,3,12.5,1,24,Twitter,T09,T05_S2
Twitter::@Milenio,T05_P1,5,10,3,17.6,1,17,Twitter,T09,T09_S1
YouTube::@EdilArmenta,T05_P1,5,11,3,17.6,1,17,YouTube,T05,T05_S7
Twitter::@mileniotv,T05_P1,5,12,3,17.6,1,17,Twitter,T09,T09_S1
Twitter::@envozmxoficial,T05_P1,5,13,3,15.0,1,20,Twitter,T09,T09_S1
Twitter::@adnnoticiasmx,T05_P1,5,14,3,15.8,1,19,Twitter,T09,T09_S1
Twitter::@_AOdigital,T05_P1,5,15,3,12.5,1,24,Twitter,T09,T05_S2
Twitter::@Rosamex1cano,T05_P1,5,16,3,27.3,1,11,Twitter,T05,T05_S2
YouTube::@Liliana-ut6ir,T05_P1,5,17,3,20.0,2,15,YouTube,T06,T06_S5
YouTube::@GuillerminaRivas-c5k,T05_P1,5,18,3,27.3,1,11,YouTube,T06,T05_S0
YouTube::@karenchic4860,T05_P1,5,19,3,15.8,1,19,YouTube,T05,T14_S1
YouTube::@VeronicaRodriguezcervant-l6g2l,T05_P1,5,20,3,14.3,1,21,YouTube,T14,T14_S2
YouTube::@SusanaRangel-b3k,T05_P1,5,21,3,14.3,1,21,YouTube,T06,T06_S0
YouTube::@luiserasmo,T05_P1,5,22,3,15.0,2,20,YouTube,T06,T06_S0
YouTube::@martincendejasmedrano1529,T05_P1,5,23,3,18.8,1,16,YouTube,T08,T05_S7
YouTube::@mar1257-j7n,T05_P1,5,24,3,21.4,1,14,YouTube,T05,T05_S4
YouTube::@salas254,T05_P1,5,25,3,37.5,1,8,YouTube,T05,T05_S7
YouTube::@valuearts8062,T05_P1,5,26,3,15.8,1,19,YouTube,T06,T06_S0
YouTube::@agusacevedof,T06_P1,6,1,33,19.2,3,172,YouTube,T06,T09_S6
YouTube::@marianamontalvo7530,T06_P1,6,2,32,41.0,2,78,YouTube,T06,T06_S2
YouTube::@CarlaMo-qb5cq,T06_P1,6,3,16,17.8,3,90,YouTube,T14,T14_S1
