posicion_id,tema_id,rank,usuario,plataforma,fecha,texto,engagement
T00_P1,0,1,Twitter::@AlcaldesMexico,Twitter,2026-07-29T14:35:00Z,"¿Quieres conocer las mejores soluciones para municipios y estados? No te puedes perder #SolucionesparaGobernar, programa donde se analizan las problemáticas que enfrentan las administraciones locales. ¡Conéctate todos los martes a las 9:30 de la mañana por #Facebooklive!",0
T00_P1,0,2,Twitter::@AlcaldesMexico,Twitter,2026-07-24T22:10:00Z,"@TampicoGob apuesta por más inversión y empleo. @MonicaVTampico encabezó la firma del Pacto por la Prosperidad, una estrategia para fortalecer la colaboración con el sector empresarial, impulsar el desarrollo económico y generar más oportunidades",0
T01_P1,1,1,TikTok::monicavtampico,TikTok,2026-07-15T20:44:37Z,"Esta mañana me reuní con las y los afiliados de la CMIC Tamaulipas para compartir los avances que estamos logrando en Tampico. Hoy contamos con una inversión de 783 millones de pesos en obra pública, resultado de la suma de recursos municipales y del Gobierno del Estado. Agradezco a la CMIC por la entrega de un cheque al DIF Tampico, que fortalecerá su labor social, y otro al Municipio para la elaboración de proyecto",87
T01_P1,1,2,TikTok::monicavtampico,TikTok,2026-07-26T20:37:57Z,"Hay lugares que se visitan y hay lugares que se viven. Tampico es historia, cultura, naturaleza y sabores que dejan huella. Aquí cada rincón tiene algo que contar, cada tradición se comparte con orgullo y cada experiencia se convierte en un recuerdo inolvidable. Los invito a descubrir todo lo que hace de nuestra ciudad un destino único. #TampicoTeCuida",47
T01_P1,1,3,TikTok::monicavtampico,TikTok,2026-07-19T22:25:54Z,"Hoy concluye una Copa del Mundo histórica, en la que nuestro país fue sede por tercera vez y abrió sus puertas al mundo con la pasión que distingue a México. En Tampico vivimos esta gran fiesta del futbol con una serie de actividades que reunieron a familias, aficionados y visitantes, demostrando que el deporte une comunidades y crea recuerdos inolvidables. Una vez más, el balón logró unir a México y al mundo. ¡Graci",45
T01_P1,1,4,TikTok::monicavtampico,TikTok,2026-07-26T00:14:27Z,"Hoy les comparto un resultado que habla del gran momento que vive nuestra ciudad. Tampico sigue consolidándose como uno de los destinos turísticos más importantes del noreste de México. En lo que va del año hemos recibido a más de 851 mil visitantes, generando una derrama económica superior a los 735 millones de pesos. Estos números reflejan la confianza de quienes nos visitan y el trabajo que, juntos, seguimos reali",11
T02_P1,2,1,Twitter::@JJDiazMachuca,Twitter,2026-07-28T11:30:57Z,"UNA REFINERÍA CLANDESTINA A 1.5 KM DE LA GUARDIA NACIONAL… ¿Y NADIE LA DETECTÓ DURANTE TANTO TIEMPO? Ahora resulta que una refinería clandestina con millones de litros de hidrocarburos, a sólo 1.5 km de la Guardia Nacional, pasó tanto tiempo sin que la detectaran ni el gobierno de López Obrador, ni el de Claudia Sheinbaum, ni el gobernador Américo Villarreal, ni la Guardia Nacional. Ja, ja, ja. Quieren que los ciudad",3653
T02_P1,2,2,Twitter::@JTrianaT,Twitter,2026-07-29T05:51:37Z,"El morenista Sergio Carmona, alias “el rey del huachicol”, fue asesinado en 2021. Su hermano dirigió la aduana de Reynosa durante el sexenio pasado, su sobrino es diputado local por Morena y su esposa colocó incondicionales en el gabinete de Américo Villarreal. Mario Delgado",1012
T02_P1,2,3,TikTok::olgapsosa,TikTok,2026-07-22T02:45:02Z,Lo #HechoEnTampico está mejor hecho. Tercera entrega del distintivo para fortalecer los emprendimientos de nuestro querido puerto jaibo 🦀 Agradezco la invitación a la presidenta municipal Mónica Villarreal Anaya.,61
T02_P1,2,4,TikTok::olgapsosa,TikTok,2026-07-21T22:19:40Z,"Firma de Pacto por la Prosperidad, la Justicia Económica y la Seguridad en Tampico. Esta firma organizada por la presidenta Mónica Villarreal y el presidente de CANACO Octavio de la Torre impulso de la apertura de nuevos negocios de distintos sectores económicos en nuestro querido #Tamaulipas",45
T03_P1,3,1,Twitter::@juanbaaq,Twitter,2026-07-28T17:00:37Z,"Abre el Departamento de Justicia de #EEUU la posibilidad de revisar la solicitud de extradición de Francisco García Cabeza de Vaca “Personaje infame que hace proselitismo desde Estados Unidos, pero no enfrenta la justicia en México” Me dijo el periodista Jesús García @JesusGar en @Radio_Formula",699
T03_P1,3,2,Twitter::@XiomaraVargasTV,Twitter,2026-07-29T13:04:07Z,"“CHEQUÉ MINUCIOSAMENTE LA CARPETA DE INVESTIGACIÓN Y DESGRACIADAMENTE HAY MUCHAS PRUEBAS QUE IMPLICAN A DANNA YANINA”: MAMÁ DE DAFNE Alejandra Quintos, madre de Dafne Zapata, difundió un video en el que explicó por qué se retractó de un mensaje anterior en el que afirmaba que Danna Yanina “N” era inocente. Según relató, inicialmente recibió mensajes de familiares de la imputada asegurándole que ella también era una v",69
T03_P1,3,3,YouTube::@joaquinl.v.1776,YouTube,2026-07-28T14:06:50Z,"Al don que agarraron un tal rufo, ya lo tienen como con 100 carpetas de investigación 😅😅 pero la que le recibe los papeles a wasawski yo creo no tiene ni una carpeta para esto. Y todavia salen los🐖🐖 del pri guinda que ellos si combaten el huachicol. No lo se rick!!!",14
T03_P1,3,4,YouTube::@nicoSaucedoEsparza,YouTube,2026-07-17T22:35:49Z,La madre tubo la culpa por meterla ahí,7
T04_P1,4,1,Twitter::@DnielleCabrera,Twitter,2026-07-28T22:20:30Z,CONFIRMADO: DE ESTA NO LA VA A LIBRAR! La fiscal general Ernestina Godoy confirmó que la FGR cuenta con 96 pruebas que sustentan su probable participación en la red de contrabando de combustible que originó desde su empresa Ingemar. Ruffo Appel y otros siete empresarios y funcionarios ya fueron vinculados a proceso por contr4band0 de hidrocarburos; cinco de ellos permanecen en el Altiplano.,1037
T04_P1,4,2,Twitter::@juanbaaq,Twitter,2026-07-28T17:00:37Z,"Abre el Departamento de Justicia de #EEUU la posibilidad de revisar la solicitud de extradición de Francisco García Cabeza de Vaca “Personaje infame que hace proselitismo desde Estados Unidos, pero no enfrenta la justicia en México” Me dijo el periodista Jesús García @JesusGar en @Radio_Formula",699
T04_P1,4,3,YouTube::@GuadalupeNunez-je5hm,YouTube,2026-07-28T22:48:19Z,Investigue  a la fiscalía derechos humanos al alcalde  sn gobernador están ayudando a esos malnacidos cárcel también osea ellos,5
T04_P1,4,4,YouTube::@GuadalupeNunez-je5hm,YouTube,2026-07-28T22:45:46Z,Falta detener a las otras 2 personas,5
T04_P2,4,1,YouTube::@CaroDiaz-m3g,YouTube,2026-07-18T15:48:15Z,"Es la segunda muerte que veo en la noticias dentro de esos lugares, que pasa en esos lugares, ya para mí son super peligrosos, niños sanos aparecen muertos misteriosamente y nadie sabe nada, esos lugares ya no deberían de existir las personas que los llevan son muy duros, sin sentimientos, ni empatía y hasta transtornados. De cómo se dirigen a los familiares que terror papas no lleven a sus hijos ahí!!!!!!  Justicia!",19
