contexto_id,plataforma,n_mensajes_utiles,n_lemas,lemas
Facebook|https://www.facebook.com/ProteccionCivilTampico/posts/pfbid0FyCjBEoGfKpLGzofHzuLRR2j1E6sGP9fppBY9QqmCGYFkeA1yKDx8Yz3EN3CChAEl,Facebook,7,101,felicidad proteccion civil labor importante seguridad asistente excelente labor proteccion civil bomberos gracias cuidar familia tampiquenas fiesta jajajaja querer morena supervision preventivo fiestas abril tampico accion prevencion fiestas abril tampico brindar servicio asistente importancia monica villarreal anaya presidenta municipal tampico personal proteccion civil bomberos tampico cargo jose antonio marin colaboracion voluntarios zona sur tamaulipas cabo inspeccion recorrer recinto ferial recorrido inspector verificar condicion seguridad inmueble ruta evacuacion senalizacion cumplimiento medida necesario accion reflejar compromiso responsabilidad permanente salvaguardar integridad asistente tampico cuida proteccion civil proteccionciviltampico tampicotecuida tampicosomostodos bomberostampico fiestasdeabril excelente companero manifestar terreno feria metar presion dejar entrar gente revision iniciar feria
Twitter|https://x.com/TamaulipasDirec/status/2038631096959553839,Twitter,1,25,monica villarreal anaya inaugurar fiestas abril objetivo fortalecer turismo seguro zona sur tamaulipas pacto sur autoridad tampico altamira ciudad madero prever recibir visitante turismo tamaulipas
Facebook|https://www.facebook.com/reel/3307404786100104/,Facebook,1,69,tampico listo recibirte instruccion presidenta municipal tampico monica villarreal anaya modulo atencion turista activo semana santa estrategico visita increible plaza armas plaza libertad plaza hijas tampico laguna carpintero parque fray andres olmos parque chairel canal cortadura central autobuses equipo turismo preparado guia recaudador practicante personal listo recibirte sonrisa brindartir informacion completo detallado encontrar apoyo hoteles restaurantes sitios turistico tour operador mapas tampico listo recibir visitante mexico mundo calidez distinguir
Facebook|https://www.facebook.com/MetropolitanodeTampico/posts/pfbid02oZ6G16YW2BAS5yQFF41KrYb7D2NVqaRoG1uEt7pgD8ZYSY3VLFkm3rUQ7FzT8vn5l,Facebook,2,62,disfruta arte cultura semana santa instruccion presidenta municipal monica zacil villarreal anaya gobierno municipal tampico espacio cultural metropolitano continuar impulsar actividad cultural disfrutar vacacion semana estarar abierto dia martes sabado domingo aprovechar visita exposicion arte museo cultura huasteco horario lobby taquilla horario galeria horario museo cultura huasteco lunes miercoles jueves viernes cerrado arte con semanasanta arteycultura espacioculturalmetropolitano tampicogob exposicion ana frank abierto
Facebook|https://www.facebook.com/reel/4271084729799715/,Facebook,5,39,ano vecino colonia santo nino sentir olvidado cambiar compromiso realidad pavimentacion calle escuchar atender resolver responsabilidad seguir dia bienestar familia tampiquenas tampicovacontodo tampicotecuida humano excelente persona uman gracias presidenta preocupar desvalido excelente presidenta pendiente ciudadania excelente presidenta monica villarreal
YouTube|https://www.youtube.com/watch?v=rnFU9ByHl8o,YouTube,18,230,dias estimada senora gobernadora ing rocio nahle garcia nuevamente informo registro publico propiedad pretexto frenan tramite regularizar escrituras ciudadanos ciudadana realmente permitir burocratas traten perjudicar gobierno interesar dano veracruz actitud nefasto falso ayud bonito limpiar espacio bello recibir respeto turista inclusive paisano viejo volver prepotente moren perder corrupcion prepotencia veracruz sur empezar coatzacoalcos agua dulce veracruz playa admirar dejar expresar admiracion extraordinario liderar planeacion ejecucion puesto operacion refineria bocas proyecto magnitud requerir capacidad tecnico vision firme liderazgo enorme labor dejar huella importante desarrollo energetico pais representar inspirador compromiso excelencia servicio publico reconocimiento nivel mundial recibir refineria reflejo impacto calidad importancia proyecto detras gracias demostrar grande proyecto lograr determinacion equipo claro vision futuro supuesto enorme amor mexico respeto admiracion video playa veracruz limpia semana gobernadora boca rio veracruz subir agua echar culpa gobierno federal malditos narco prianistas fachos cinicos corrupto vendepatrias huachiculero asesinos saqueadores golpeteos politicos acabo salir playa poquito pego planta limpiamos arena vengan boca esto favor dejen gente disfrute testigar voca andan limpiando recojiendo basuro vengan bonitas limpias viendo ejercito marino vigilando siento horgullosa esperar pronto restaurir mtz gracias gobernadora facil gobernar afuera gente opinar televisora aferran manchar rocio nale apoyo apoyo chayotero sacar provecho chingar vieja ridicula quermos vayase zacatecas crear viejo miente respirar mugren inepto corructo chairos morenista ignorante coman pescado yar enferman mueren salir enrique pena nieto reconocer fiasco morenarca vieja ridiculo malvado desastre pueblo demandar
Facebook|https://www.facebook.com/servpublicostampico/posts/pfbid0HMgyS8kyC2vdKkVhj4VSQJfQv7ZXfz6aDG4rssmVRpWpK8nZA7BTfzVrZui8UkUYl,Facebook,1,42,jornada cumplido lunes marzo atender instruccion presidenta monica villarreal anaya desplegar colonia arenal operativo limpieza profundo cifra dia toneladas basura retirado cacharro basura especial camiones tope meta claro eliminar cualquiera foco infeccion criadero patio dengue monica villarreal tampico gob promociondelasaludtampico distritodesaludparaelbienestariitampico sincriaderosmexicoprotegesusaludyelmundial
Facebook|https://www.facebook.com/servpublicostampico/posts/pfbid0N9X9HiocxjvYBn2NFcjx9xt7Gkm97Pi3nbPzMSDCKACe3VMkF6r4x9X7CfqWeVscl,Facebook,3,64,sabiar mantenimiento laguna carpintero detener seguir instruccion presidenta monica villarreal anaya intensificar limpieza integral emblematico pulmon ciudad periodo vacacional recibir mil visitante familia tampiquenas responsabilidad limpieza area verde podar estetico limpieza profundo orilla laguna retiro desecho rama palma seco aseo constante calle andador aledanos mantener limpio ordenado funcional compromiso disfrutar tampico entorno calidad tampicovacontodo monica villarreal tampico gob justiciaparacheque cacaraquean chucho nader impecable decio
Twitter|https://x.com/l1f9a0f2/status/2040500186829422792,Twitter,1,21,donde semana santa cancun revolcarte sargazo veracruz nadar petroleo mazatlan desaparecer bar carretera cualquiera secuestrar guerrero michoacan edomex asesinar confusion cuentenmir
Twitter|https://x.com/LindaPriro97266/status/2038722141844119677,Twitter,1,9,tamaulipas censura tamaulipas deposito hija monica villarreal yerno uat
