documento_id,plataforma,usuario,tipo_registro,lemas
2c9dfdc86440ddae5888,Facebook,,publicacion_institucional,contenido texto multimedia
7e739da252f53a5a6769,Facebook,,publicacion_institucional,contenido texto multimedia
9cb4c3b3e0468ed930fb,Facebook,,publicacion_institucional,contenido texto multimedia
e10f31c71d9407d5bc05,Facebook,,publicacion_institucional,contenido texto multimedia
185dc511aee95f18a01f,Facebook,,comentario,colonia arenal sostener encuentro vecina vecino sector dialogar sistemas cuidados programa mujeres cuidar iniciativa impulsado presidenta municipal monica villarreal anaya reunion compartir informacion programa buscar acompanar reconocer mujer dedicar cuidado familiar pilar importante bienestar sustento hogar continuar visitar colonia acercar informacion directo familia promover persona programa tampico cuida
1aad9f8da4631a13a92f,Facebook,,comentario,reunion compartir informacion programa buscar acompanar reconocer mujer dedicar cuidado familiar pilar importante bienestar sustento hogar
2874be9ede96f7cec7fc,Facebook,,comentario,
c7543f7552d8d8561059,Facebook,,comentario,tampico cuida
ff21778ff0c6b6245d17,Facebook,,comentario,continuar visitar colonia acercar informacion directo familia promover persona programa
464f878571f9997c2200,Facebook,,publicacion_institucional,contenido texto multimedia
91ad7cee39aa35959d95,Facebook,,publicacion_institucional,contenido texto multimedia
91fb457cac1c6bb2d1a9,Facebook,,publicacion_institucional,paren llegar libro esperado
046d56e64d6f4c8dd9bf,Facebook,,comentario,region fuerte
0495e9ed737098dee674,Facebook,,comentario,excelente licenciada monica
06eea16a5613f239ad79,Facebook,,comentario,
09c9187877b15a6689da,Facebook,,comentario,feliz fiesta navideno abrazo carino
0a6855b2e25d07c05289,Facebook,,comentario,dialogo municipio tampico
0b4fb9823af8c9ddb926,Facebook,,comentario,excelente
0b6a58d061ec5d6b771d,Facebook,,comentario,encuentro acompanado
0eb6574fa734841b466d,Facebook,,comentario,gracias posada monica bonito divertir feliz pantalla ganar gracia bendicion
1f567812c7ff582324c6,Facebook,,comentario,bonito convivencia navideno monica villarreal gracia
218b1e0dc4241d7bcbd7,Facebook,,comentario,excelente monica
22f1d2f5ab11b302ecda,Facebook,,comentario,excelente presidenta
