termino_interno,termino_externo,weight
ciudad,madero,34
ciudad,tampico,20
dafne,muerte,18
dafne,madero,14
dafne,justicia,13
ciudad,escuela,12
ciudad,septiembre,12
ciudad,academia,11
ciudad,tamaulipas,11
ciudad,ano,10
ciudad,muerte,10
dafne,escuela,10
dafne,menor,10
militarizado,escuela,10
ciudad,menor,9
dafne,caso,9
dafne,morir,9
dafne,julio,9
dafne,academia,8
dafne,tamaulipas,8
evento,tampico,8
ciudad,dia,8
ciudad,familia,8
dafne,madre,8
dafne,presentar,8
dafne,asegurar,8
militarizado,madero,8
dafne,exigir,7
ciudad,justicia,7
ciudad,doenitz,7
ciudad,caso,7
antonio,tampico,7
mante,justicia,7
militarizado,academia,7
dafne,militarizada,6
dafne,doenitz,6
ciudad,exigir,6
ciudad,militarizada,6
ciudad,presentar,6
ciudad,vida,6
ciudad,julio,6
ciudad,asegurar,6
antonio,sol,6
sosa,sol,6
sosa,tampico,6
localviernes,julio,6
ciudad,madre,6
fallecimiento,muerte,6
ciudad,centro,5
ciudad,historia,5
ciudad,hija,5
luis,marina,5
luis,ponce,5
ciudad,gobierno,5
ciudad,pesos,5
ciudad,desarrollo,5
ciudad,morir,5
pedir,participacion,5
ciudad,generar,5
dafne,vida,5
dafne,presunto,5
dafne,violencia,5
dafne,video,5
dafne,salud,5
dafne,ano,5
dafne,generar,5
mante,academia,5
ciudad,joven,5
dafne,minuto,5
ciudad,despedir,5
ciudad,sol,5
dafne,narrar,5
dafne,disciplina,5
militarizado,menor,5
dafne,verano,5
ciudad,admirar,4
ciudad,experiencia,4
dafne,mama,4
dafne,hija,4
dafne,marina,4
luis,director,4
evento,nacional,4
ciudad,millon,4
ciudad,fortalecer,4
ciudad,labor,4
recibir,ano,4
evento,persona,4
evento,ano,4
hernandez,yadira,4
pedir,seguridad,4
recibir,exposicion,4
recibir,pais,4
ciudad,publico,4
ciudad,hora,4
pedir,camara,4
ciudad,virgen,4
ciudad,carmen,4
ciudad,colonia,4
ciudad,victoria,4
ciudad,abril,4
pedir,muerte,4
ciudad,cabildo,4
ciudad,protesta,4
ciudad,monica,4
ciudad,villarreal,4
ciudad,organizado,4
ciudad,municipio,4
dafne,familia,4
dafne,perder,4
ciudad,viernes,4
ciudad,militar,4
ciudad,perder,4
ciudad,campamento,4
recibir,muerte,4
dafne,caer,4
dafne,reina,4
dafne,alejandra,4
dafne,llamado,4
dafne,malestar,4
mante,muerte,4
dafne,acudir,4
dafne,edad,4
mante,madero,4
luis,investigacion,4
dafne,despedir,4
mante,despedir,4
militarizado,ano,4
dafne,curso,4
dafne,fiscalia,4
militarizado,morir,4
dafne,pasar,4
dafne,convocar,4
dafne,concentracion,4
militarizado,muerte,4
evento,radio,4
localdomingo,julio,4
ciudad,torre,3
ciudad,convertir,3
ciudad,formar,3
ciudad,visitatampico,3
ciudad,memoria,3
ciudad,comercio,3
ciudad,parque,3
dafne,quintos,3
fallecimiento,justicia,3
ciudad,quintos,3
ciudad,marina,3
ciudad,director,3
luis,academia,3
luis,militarizada,3
luis,doenitz,3
luis,jorge,3
evento,nivel,3
ciudad,seguridad,3
ciudad,agradecer,3
recibir,tamaulipas,3
recibir,millon,3
pedir,civil,3
pedir,ayuntamiento,3
juan,cerro,3
juan,azul,3
originario,cerro,3
originario,azul,3
ciudad,miercoles,3
ciudad,agua,3
originario,plata,3
evento,tamaulipas,3
pedir,autoridad,3
hernandez,buscar,3
pedir,red,3
pedir,empresa,3
pedir,situacion,3
pedir,laborar,3
pedir,mitad,3
ciudad,jornada,3
ciudad,abuso,3
ciudad,edad,3
ciudad,zarpar,3
ciudad,acuerdo,3
ciudad,fiscalia,3
ciudad,denunciar,3
hernandez,tampico,3
ciudad,diciembre,3
ciudad,ayuntamiento,3
ciudad,prosperidad,3
ciudad,alcaldesa,3
ciudad,mantener,3
antonio,tamaulipas,3
ciudad,ubicado,3
ciudad,noche,3
dafne,identificado,3
dafne,preliminar,3
ciudad,convocar,3
fallecimiento,menor,3
recibir,doenitz,3
recibir,hija,3
recibir,alejandra,3
dafne,institucion,3
originario,ano,3
ciudad,fallecer,3
