termino_interno,termino_externo,weight
ano,agosto,14
ano,tampico,13
internacional,tampico,12
ano,ciudad,10
ano,ninos,9
ano,tamaulipas,9
economico,tamaulipas,8
oportunidad,tampico,7
ano,cursos,7
ano,semanas,7
ano,inicio,7
ano,madero,7
internacional,exposicion,7
ano,lunes,6
entorno,prevencion,6
impulsar,tampico,6
ano,mexico,6
ano,julio,6
ano,menor,6
ano,campamento,6
ano,justicia,6
impulsar,seguir,5
ano,verano,5
ano,danza,5
ano,contemp,5
ano,adolescentes,5
ano,folklore,5
ano,pintura,5
oportunidad,seguir,5
ano,seguir,5
ano,nacional,5
ano,persona,5
abrir,medalla,5
abrir,plata,5
internacional,bodies,5
ano,escuela,5
ano,nina,5
ano,nino,5
ano,autoridad,5
economico,desarrollo,5
ano,exito,5
internacional,pymes,5
ano,casa,5
entorno,limpieza,5
entorno,jornada,5
posibilidad,temperatura,5
ano,dafne,5
ano,academia,5
entender,mal,5
marcado,tamaulipas,5
mundial,region,5
importante,tampico,4
oportunidad,nacional,4
ofrecer,metro,4
ano,juvenil,4
ano,jovenes,4
entorno,tampico,4
entorno,villarreal,4
directivo,escolar,4
avance,tamaulipas,4
impulsar,desarrollo,4
pequeno,empresa,4
ano,insistir,4
ano,proyecto,4
ano,politico,4
ano,recibir,4
ano,vida,4
ano,evento,4
alla,salud,4
ofrecer,paquete,4
mexicano,tamaulipas,4
ano,ocurrir,4
abrir,participacion,4
abrir,tampico,4
internacional,tamaulipas,4
ano,perder,4
ano,familia,4
explicar,detectar,4
ano,generar,4
oportunidad,pymes,4
internacional,revision,4
ano,revision,4
ano,hablar,4
mundial,cadena,4
entorno,colonia,4
posibilidad,esperar,4
posibilidad,maximo,4
posibilidad,ambiente,4
posibilidad,caluroso,4
posibilidad,tormenta,4
posibilidad,electrico,4
ano,cartel,4
ano,operar,4
ano,caso,4
ano,investigacion,4
ano,llave,4
ano,mal,4
ano,exigir,4
ano,militarizado,4
internacional,gratuito,4
marcado,clima,4
mundial,platillo,4
mundial,final,4
importante,construir,3
oportunidad,recordar,3
comercio,ciudad,3
comercio,tampico,3
impulsar,respaldo,3
impulsar,gobierno,3
impulsar,espacio,3
impulsar,comunidad,3
impulsar,taller,3
escenario,taller,3
impulsar,fortalecer,3
ofrecer,persona,3
ano,teatro,3
ano,adultos,3
ano,piano,3
comercio,tamaulipas,3
abrir,prueba,3
entorno,monica,3
directivo,escuela,3
avance,reuni,3
avance,afiliado,3
avance,cmic,3
avance,compartir,3
avance,tampico,3
avance,inversion,3
avance,obra,3
importante,tamaulipas,3
importante,seguir,3
impulsar,proyecto,3
oportunidad,sector,3
economico,sur,3
representar,tamaulipas,3
oportunidad,tamaulipas,3
ano,sur,3
ano,actividad,3
pequeno,cadena,3
pequeno,mediano,3
impulsar,empresa,3
ano,obra,3
ano,agua,3
mexicano,ejercito,3
ano,paz,3
ano,entidad,3
ano,accidente,3
ano,encontrar,3
ano,presente,3
ano,sector,3
ano,costo,3
ano,terminar,3
ano,muerte,3
ano,dano,3
alla,tampico,3
profesional,nacional,3
profesional,joven,3
ano,edad,3
internacional,competitivo,3
ano,pais,3
ano,delito,3
pequeno,mexico,3
internacional,llegar,3
internacional,cultural,3
ano,deber,3
ano,plantel,3
enfrentar,familia,3
ayudar,participacion,3
directivo,industria,3
explicar,atender,3
ano,esperar,3
importante,persona,3
ano,manana,3
economico,altamira,3
economico,tampico,3
ano,videojuego,3
ano,microsoft,3
oportunidad,empresa,3
economico,empresa,3
economico,pymes,3
economico,cadena,3
oportunidad,revision,3
abrir,revision,3
cambio,revision,3
comercio,revision,3
entender,revision,3
ano,adicional,3
ano,pan,3
ano,municipal,3
ano,ruffo,3
ano,ganar,3
ano,gubernatura,3
ano,joven,3
ano,dia,3
mexicano,justicia,3
entorno,saludable,3
economico,familia,3
posibilidad,mario,3
posibilidad,cruces,3
ano,municipio,3
