termino_interno,termino_externo,weight
justicia,dafne,13
fiscalia,general,10
hija,escuela,10
morir,dafne,9
justicia,caso,8
justicia,familia,8
pasar,hijo,8
justicia,ciudad,7
justicia,mante,7
curso,casa,7
justicia,madero,6
hija,madero,6
campamento,verano,6
campamento,ano,6
fiscalia,delitos,6
pasar,familia,6
justicia,pais,6
hija,madre,6
campamento,militar,6
querer,deber,6
justicia,muerte,6
justicia,ano,6
curso,verano,6
justicia,investigar,6
edad,madre,6
campamento,fuerza,6
curso,padre,6
justicia,exigir,5
justicia,academia,5
justicia,tamaulipas,5
hija,ciudad,5
mama,seguir,5
morir,ciudad,5
campamento,nino,5
edad,menor,5
fiscalia,investigacion,5
justicia,general,5
hija,familia,5
justicia,madre,5
fiscalia,investigar,5
fiscalia,tamaulipas,5
fiscalia,muerte,5
curso,hijo,5
querer,nina,5
justicia,nina,5
mal,entender,5
pasar,nino,5
hija,hijo,5
morir,muerte,5
mama,dafne,4
justicia,militarizada,4
justicia,marina,4
hija,dafne,4
hija,doenitz,4
hija,tamaulipas,4
mama,prevencion,4
morir,madero,4
edad,caso,4
fiscalia,republica,4
fiscalia,fgr,4
fiscalia,responsabilidad,4
hija,llegar,4
fiscalia,ocurrir,4
fiscalia,afirmar,4
justicia,profugo,4
meter,muerte,4
meter,tamaulipas,4
pasar,seguir,4
ojala,seguir,4
hija,muerte,4
justicia,menor,4
campamento,ciudad,4
institucion,menor,4
caer,dafne,4
institucion,madre,4
pasar,academia,4
pasar,marina,4
edad,dafne,4
pagar,hijo,4
meter,hijo,4
morir,caso,4
querer,llorar,4
mal,ano,4
edad,muerte,4
ojala,casa,4
fiscalia,resultado,4
morir,militarizado,4
curso,dafne,4
curso,escuela,4
fiscalia,dafne,4
justicia,deber,4
pasar,cosa,4
mal,nino,4
justicia,impune,4
justicia,lamentable,4
pasar,dafne,4
culpa,madre,4
fiscalia,tampico,4
edad,empezar,4
justicia,persona,4
responsable,muerte,4
campamento,civico,4
campamento,entrar,4
campamento,heroico,4
edad,agosto,3
edad,ninos,3
edad,adultos,3
edad,joven,3
mama,marina,3
justicia,fallecimiento,3
hija,marina,3
querer,seguir,3
adolescente,tampico,3
edad,tampico,3
querer,medico,3
edad,ano,3
fisico,familia,3
campamento,tampico,3
justicia,julio,3
edad,ciudad,3
fiscalia,lograr,3
fiscalia,ninas,3
fiscalia,ninos,3
fiscalia,mujeres,3
fiscalia,razones,3
fiscalia,genero,3
fiscalia,ernesto,3
fiscalia,ruffo,3
fiscalia,appel,3
institucion,presunto,3
institucion,organizado,3
institucion,acuerdo,3
institucion,investigacion,3
institucion,alto,3
resultar,delito,3
caer,detener,3
fiscalia,senalar,3
fiscalia,secuestrar,3
fiscalia,acuerdo,3
fiscalia,ciudad,3
culpable,delito,3
pasar,iniciativa,3
justicia,mexicano,3
justicia,afirmar,3
fiscalia,solicitud,3
fiscalia,respuesta,3
justicia,dejar,3
institucion,profugo,3
meter,academia,3
pasar,mexico,3
pasar,jamas,3
pasar,salir,3
hija,viernes,3
hija,menor,3
justicia,violencia,3
hija,recibir,3
hija,noticia,3
hija,madrugada,3
hija,caso,3
hija,alejandra,3
campamento,familia,3
campamento,doenitz,3
campamento,madero,3
campamento,muerte,3
campamento,madre,3
fisico,menor,3
institucion,actividad,3
institucion,video,3
institucion,dafne,3
institucion,salud,3
caer,menor,3
institucion,alejandra,3
querer,dejar,3
adolescente,muerte,3
campamento,academia,3
campamento,militarizada,3
curso,ciudad,3
curso,joven,3
institucion,investigar,3
fiscalia,alejandra,3
fiscalia,fallecimiento,3
justicia,privado,3
justicia,alejandra,3
hija,noche,3
hija,pedir,3
hija,inmediato,3
mal,pedir,3
mal,inmediato,3
pasar,ano,3
caer,madre,3
caer,llegar,3
curso,plantel,3
querer,militar,3
querer,persona,3
justicia,mando,3
justicia,seguir,3
suceder,caso,3
suceder,ano,3
morir,menor,3
pasar,responsabilidad,3
