termino_interno,termino_externo,weight
autoridad,tampico,9
labor,tampico,8
lograr,tamaulipas,8
asegurar,tampico,8
colonia,tampico,8
persona,tampico,8
persona,paquete,8
alcaldesa,villarreal,8
alcaldesa,tampico,8
asegurar,dafne,8
resultado,tamaulipas,7
entidad,tamaulipas,7
persona,boleto,7
asegurar,madero,7
colonia,limpieza,7
autoridad,tamaulipas,6
padre,escuela,6
unidad,seguridad,6
persona,familiar,6
alcaldesa,monica,6
autoridad,escuela,6
asegurar,ciudad,6
colonia,jornada,6
asegurar,muerte,6
investigacion,carcel,6
padre,curso,6
persona,metro,5
excelente,tampico,5
resultado,tampico,5
publico,tamaulipas,5
excelente,tampicotecuida,5
persona,ano,5
colonia,prevencion,5
persona,ocurrir,5
persona,julio,5
persona,costo,5
persona,cerro,5
persona,azul,5
persona,tamaulipas,5
unidad,operador,5
lograr,combustible,5
asegurar,presentar,5
padre,deber,5
autoridad,ano,5
investigacion,familia,5
investigacion,fiscalia,5
entidad,grado,5
investigacion,tamaulipas,5
perder,vida,5
alcaldesa,carmen,5
alcaldesa,canturosas,5
persona,vida,4
persona,tampicotecuida,4
autoridad,nacional,4
lograr,presentar,4
labor,ciudad,4
resultado,vida,4
publico,obra,4
entidad,nacional,4
padre,familia,4
colonia,gracias,4
persona,evento,4
persona,accidente,4
autoridad,encontrar,4
atender,medico,4
elemento,seguridad,4
persona,cultural,4
persona,metropolitano,4
persona,individual,4
persona,amigos,4
persona,carretera,4
persona,muerto,4
unidad,empresa,4
lograr,seguridad,4
resultado,metro,4
perder,ano,4
unidad,terminar,4
publico,ciudad,4
publico,camara,4
persona,centro,4
unidad,tampico,4
autoridad,situacion,4
autoridad,participacion,4
lograr,familia,4
investigacion,delitos,4
autoridad,delitos,4
colonia,ciudad,4
asegurar,carmen,4
lograr,situacion,4
unidad,ocurrir,4
unidad,accidente,4
investigacion,alto,4
investigacion,relacionado,4
investigacion,operacion,4
alcaldesa,limpieza,4
colonia,monica,4
colonia,villarreal,4
publico,madero,4
accion,tampico,4
unidad,conductor,4
colonia,saludable,4
colonia,entorno,4
alcaldesa,septiembre,4
entidad,zona,4
accion,agua,4
perder,dafne,4
perder,ciudad,4
perder,presentar,4
investigacion,ano,4
inmediato,nina,4
alcaldesa,laredo,4
perder,academia,4
atender,detectar,4
persona,nino,4
persona,nina,4
persona,seguir,4
investigacion,quedar,4
investigacion,luis,4
persona,hijo,4
resultado,fiscalia,4
investigacion,muerte,4
persona,justicia,4
entidad,temperatura,4
entidad,maximo,4
persona,comunidad,3
persona,escuela,3
persona,ofrecer,3
autoridad,firma,3
excelente,vacacion,3
excelente,seguir,3
labor,seguir,3
lograr,tampico,3
labor,entrega,3
labor,cheque,3
resultado,seguir,3
entidad,pais,3
lograr,municipal,3
publico,cmic,3
publico,tampico,3
entidad,acuerdo,3
padre,hermoso,3
entidad,ano,3
entidad,nivel,3
resultado,nivel,3
autoridad,joven,3
alcaldesa,exposicion,3
accion,centro,3
publico,seguridad,3
elemento,caso,3
persona,seguridad,3
persona,caso,3
persona,comentario,3
persona,situacion,3
persona,espacio,3
persona,automovil,3
persona,fallecido,3
atender,zona,3
atender,accidente,3
elemento,tamaulipas,3
persona,dejar,3
persona,lesionado,3
persona,estacion,3
unidad,litro,3
autoridad,puente,3
autoridad,proteccion,3
autoridad,civil,3
autoridad,seguridad,3
lograr,contener,3
lograr,derrame,3
lograr,tanque,3
lograr,zona,3
lograr,litro,3
unidad,combustible,3
lograr,ciento,3
vehiculo,operador,3
autoridad,evitar,3
persona,terminar,3
persona,peligroso,3
autoridad,agua,3
autoridad,acudir,3
resultado,medalla,3
resultado,plata,3
alcaldesa,tamaulipas,3
operativo,millon,3
operativo,pesos,3
asegurar,ciento,3
asegurar,participar,3
autoridad,pedir,3
autoridad,intervencion,3
unidad,acuerdo,3
atender,pesos,3
diverso,relacionado,3
unidad,contar,3
atender,gobierno,3
atender,servicio,3
persona,gobierno,3
accion,pesos,3
unidad,nino,3
publico,empresa,3
personal,empresa,3
