source,target,weight
civil,proteccion,24
carpintero,laguna,19
calle,colonia,18
llegar,zona,17
colonia,zona,15
publicos,servicios,14
proteccion,zona,13
hernandez,yadira,13
colonia,laguna,13
laguna,zona,12
colonia,transformar,12
civil,zona,12
colonia,vecino,11
calle,zona,10
cocodrilo,laguna,10
chairel,laguna,10
contar,zona,9
riesgo,zona,9
cuerpo,laguna,9
experiencia,llegar,8
laguna,transformar,8
calle,contar,7
familiar,zona,7
llegar,transformar,7
contar,llegar,7
mascota,viajar,7
calle,juan,7
vecino,zona,7
chairel,cocodrilo,7
chairel,riesgo,7
experiencia,laguna,6
accidente,familiar,6
experiencia,vivir,6
descubrir,experiencia,6
colonia,vivir,6
contar,proteccion,6
llegar,vivir,6
contar,mascota,6
contar,viajar,6
civil,notificar,6
inmueble,proteccion,6
inmueble,propietario,6
civil,colonia,6
transformar,zona,6
carpintero,cocodrilo,6
familiar,juridico,6
linea,servicios,6
ciudadana,publicos,6
laguna,vivir,5
calle,vivir,5
experiencia,sabor,5
calle,llegar,5
contar,sabor,5
descubrir,vivir,5
calle,viajar,5
colonia,llegar,5
civil,laguna,5
contar,tratar,5
hernandez,juan,5
notificar,proteccion,5
civil,inmueble,5
inmueble,notificar,5
notificar,riesgo,5
experiencia,sentir,5
contar,experiencia,5
cuerpo,llegar,5
carpintero,cuerpo,5
edificio,inmueble,5
proteccion,riesgo,5
laguna,riesgo,5
contar,vivir,4
familiar,llegar,4
limitado,llegar,4
compania,llegar,4
recuerdo,transformar,4
experiencia,zona,4
experiencia,hernandez,4
calle,familiar,4
familiar,sufrir,4
sufrir,zona,4
edad,llegar,4
autobus,mascota,4
linea,mascota,4
edificio,zona,4
compania,contar,4
notificar,propietario,4
colonia,riesgo,4
permanente,zona,4
colonia,permanente,4
permanente,proteccion,4
llegar,sentir,4
cambiar,vivir,4
contar,descubrir,4
hernandez,llegar,4
tanque,zona,4
carro,tanque,4
comun,vivir,4
autobus,calle,4
contar,hernandez,4
cambiar,familiar,4
analizar,zona,4
incidente,proteccion,4
civil,tanque,4
familiar,vivienda,4
laguna,llegar,4
contar,juridico,4
linea,llegar,4
llamar,tanque,4
cocodrilo,riesgo,4
cocodrilo,zona,4
calle,ocasion,4
colonia,rica,4
contar,sentir,4
laguna,tratar,4
chairel,tratar,4
calle,ortiz,4
riesgo,vivir,3
comun,zona,3
descubrir,zona,3
descubrir,llegar,3
calle,transformar,3
compania,zona,3
recuerdo,zona,3
laguna,recuerdo,3
aventura,experiencia,3
contar,transformar,3
accidente,bonito,3
bonito,familiar,3
contar,vecino,3
colonia,contar,3
calle,edificio,3
contar,edificio,3
edad,tranquilo,3
familiar,vivir,3
inmueble,zona,3
sentir,vivir,3
llamar,llegar,3
llamar,zona,3
compania,mascota,3
llegar,viajar,3
contar,limitado,3
viajar,zona,3
compania,tratar,3
estructural,notificar,3
civil,ocasion,3
inmueble,ocasion,3
notificar,ocasion,3
linea,zona,3
hernandez,juridico,3
hernandez,ingresar,3
llegar,riesgo,3
propietario,proteccion,3
inmueble,vivienda,3
proteccion,vivienda,3
notificar,permanente,3
permanente,riesgo,3
edificio,proteccion,3
hernandez,zona,3
hernandez,tratar,3
contar,recuerdo,3
colonia,tanque,3
civil,hernandez,3
localdomingo,vivienda,3
sentir,zona,3
vivir,zona,3
llegar,tratar,3
cuerpo,tratar,3
carro,colonia,3
carro,proteccion,3
carro,civil,3
colonia,proteccion,3
colonia,incidente,3
proteccion,tanque,3
accidente,civil,3
llegar,vivienda,3
llegar,vecino,3
laguna,vecino,3
accidente,laguna,3
accidente,carpintero,3
accidente,autobus,3
analizar,laguna,3
analizar,carpintero,3
incidente,yadira,3
hernandez,incidente,3
llamar,vecino,3
analizar,juridico,3
analizar,familiar,3
llegar,tranquilo,3
laguna,rodeado,3
chairel,rodeado,3
descubrir,sabor,3
cocodrilo,cuerpo,3
cocodrilo,habitar,3
edad,laguna,3
calle,rica,3
analizar,proteccion,3
cocodrilo,tratar,3
cocodrilo,vecino,3
linea,publicos,3
ciudadana,servicios,3
limpio,servicios,3
limpio,publicos,3
ciudadana,limpio,3
calle,carro,3
carpintero,zona,3
analizar,ocasion,3
analizar,llamar,3
colonia,viajar,3
chairel,compania,3
chairel,contar,3
laguna,mar,2
contar,laguna,2
confiar,familiar,2
comun,familiar,2
descubrir,familiar,2
comun,descubrir,2
comun,llegar,2
descubrir,limitado,2
descubrir,transformar,2
calle,limitado,2
calle,experiencia,2
experiencia,recuerdo,2
laguna,sabor,2
aventura,laguna,2
llegar,sabor,2
aventura,transformar,2
calle,ciudadana,2
comun,proteccion,2
colonia,experiencia,2
transformar,vivir,2
transformar,vecino,2
bonito,tranquilo,2
laguna,proteccion,2
sufrir,vivir,2
experiencia,familiar,2
cambiar,zona,2
cambiar,proteccion,2
calle,tranquilo,2
calle,limpio,2
sentir,tratar,2
tratar,vivir,2
calle,llamar,2
calle,notificar,2
colonia,llamar,2
llegar,mascota,2
limitado,mascota,2
mascota,zona,2
autobus,viajar,2
autobus,linea,2
linea,tratar,2
linea,sufrir,2
juan,viajar,2
hernandez,rica,2
civil,estructural,2
estructural,inmueble,2
estructural,ocasion,2
edad,permanente,2
bonito,llegar,2
llegar,recuerdo,2
bonito,recuerdo,2
vivienda,zona,2
juan,zona,2
viajar,vivir,2
propietario,riesgo,2
llegar,notificar,2
propietario,vivienda,2
ocasion,propietario,2
notificar,zona,2
civil,permanente,2
estructural,permanente,2
estructural,riesgo,2
edificio,riesgo,2
edificio,estructural,2
familiar,limpio,2
aventura,sentir,2
descubrir,sentir,2
aventura,descubrir,2
ortiz,sentir,2
ortiz,vivir,2
llegar,ortiz,2
juridico,zona,2
contar,llamar,2
contar,sufrir,2
ingresar,llegar,2
recuerdo,sabor,2
bonito,experiencia,2
descubrir,recuerdo,2
carpintero,familiar,2
carro,juan,2
juan,tanque,2
carro,viajar,2
carro,vivir,2
carro,comun,2
recuerdo,vivir,2
comun,contar,2
proteccion,viajar,2
familiar,viajar,2
familiar,proteccion,2
civil,contar,2
accidente,zona,2
edificio,vivienda,2
aventura,mar,2
familiar,linea,2
experiencia,riesgo,2
civil,incidente,2
incidente,tanque,2
accidente,tanque,2
comun,tanque,2
comun,vivienda,2
carpintero,llegar,2
cuerpo,servicios,2
cuerpo,publicos,2
juridico,notificar,2
calle,carpintero,2
accidente,calle,2
experiencia,mascota,2
carro,zona,2
hernandez,proteccion,2
habitar,proteccion,2
civil,riesgo,2
accidente,incidente,2
riesgo,tratar,2
llamar,riesgo,2
llamar,viajar,2
riesgo,viajar,2
laguna,llamar,2
laguna,tanque,2
tanque,vivir,2
comun,vecino,2
colonia,comun,2
confiar,juridico,2
analizar,hernandez,2
familiar,hernandez,2
contar,habitar,2
chairel,experiencia,2
experiencia,rodeado,2
sabor,transformar,2
chairel,proteccion,2
chairel,civil,2
civil,cocodrilo,2
ingresar,riesgo,2
ingresar,laguna,2
chairel,zona,2
cocodrilo,proteccion,2
habitar,laguna,2
chairel,habitar,2
llegar,yadira,2
carpintero,recuerdo,2
laguna,limitado,2
carpintero,limitado,2
cambiar,descubrir,2
calle,permanente,2
chairel,cuerpo,2
cocodrilo,contar,2
cocodrilo,comun,2
comun,ocasion,2
juan,ortiz,2
juan,propietario,2
ocasion,ortiz,2
ortiz,propietario,2
edificio,hernandez,2
hernandez,inmueble,2
calle,inmueble,2
inmueble,sentir,2
contar,inmueble,2
accidente,ciudadana,2
carpintero,tratar,2
analizar,rodeado,2
habitar,rodeado,2
analizar,habitar,2
habitar,zona,2
carpintero,colonia,2
linea,sentir,2
civil,llegar,2
calle,linea,2
calle,servicios,2
calle,publicos,2
confiar,localdomingo,2
descubrir,permanente,2
compania,laguna,2
juridico,proteccion,2
contar,mar,1
mar,vivir,1
mar,riesgo,1
contar,riesgo,1
calle,riesgo,1
confiar,zona,1
comun,confiar,1
limitado,transformar,1
compania,limitado,1
compania,transformar,1
calle,compania,1
compania,recuerdo,1
calle,recuerdo,1
aventura,sabor,1
chairel,sabor,1
aventura,llegar,1
aventura,chairel,1
chairel,llegar,1
ciudadana,llegar,1
chairel,transformar,1
chairel,ciudadana,1
calle,chairel,1
ciudadana,transformar,1
ciudadana,contar,1
ciudadana,sabor,1
calle,sabor,1
hernandez,vivir,1
descubrir,hernandez,1
hernandez,servicios,1
hernandez,publicos,1
experiencia,servicios,1
experiencia,publicos,1
colonia,servicios,1
servicios,sufrir,1
colonia,publicos,1
publicos,sufrir,1
colonia,sufrir,1
calle,vecino,1
compania,propietario,1
propietario,zona,1
bonito,edad,1
familiar,inmueble,1
experiencia,sufrir,1
inmueble,sufrir,1
experiencia,inmueble,1
cambiar,civil,1
llegar,permanente,1
limitado,permanente,1
tranquilo,zona,1
tranquilo,viajar,1
calle,tratar,1
edificio,limpio,1
edificio,tratar,1
edificio,sentir,1
limpio,tratar,1
