source,target,weight
anaya,encabezar,16
anaya,red,16
completo,nota,16
completo,link,14
invitamos,leer,13
invitamos,nota,13
completo,invitamos,13
leer,nota,13
completo,leer,13
dando,leer,13
dando,nota,13
click,nota,13
completo,dando,13
click,completo,13
click,dando,13
dando,link,13
dando,web,13
click,link,13
click,web,13
link,web,13
miramar,playa,13
click,somoslared,12
link,somoslared,12
estamosentodaspart,link,12
somoslared,web,12
estamosentodaspart,web,12
estamosentodaspart,somoslared,12
anaya,reunion,11
destino,turistico,10
playa,turistico,10
anaya,verano,10
turistico,verano,10
anaya,leer,9
destino,playa,8
anaya,invitamos,8
artificial,inteligencia,8
desarrollar,verano,8
curso,dif,8
miramar,verano,8
percepcion,reto,8
anaya,mesa,7
anaya,desarrollar,7
invitamos,tar,7
leer,tar,7
nota,tar,7
anaya,dif,7
playa,verano,7
vacacion,verano,7
artificial,turistico,7
acercar,red,6
alianza,turistico,6
encabezar,red,6
anaya,proposito,6
consolidar,destino,6
anaya,curso,6
destino,miramar,6
mesa,reunion,6
consolidar,reunion,6
leer,turistico,5
anaya,consolidar,5
inteligencia,realidad,5
artificial,realidad,5
anaya,tar,5
curso,desarrollar,5
playa,vacacion,5
destino,verano,5
miramar,turistico,5
mando,verano,5
desarrollar,inteligencia,5
artificial,desarrollar,5
anaya,llegada,5
anaya,cuidado,5
inteligencia,turistico,5
delegado,reto,5
mesa,titular,5
acercar,playa,4
miramar,realidad,4
encabezar,invitamos,4
realidad,transitar,4
capital,verano,4
anaya,miramar,4
mesa,proposito,4
anaya,informe,4
red,verano,4
dif,inclusion,4
miramar,vacacion,4
consolidar,turistico,4
mando,turistico,4
invitamos,red,4
realidad,turistico,4
encabezar,reunion,4
coordinar,proposito,4
delegado,llegada,4
llegada,reto,4
percepcion,turistico,4
anaya,titular,4
acercar,titular,4
proposito,titular,4
conocido,recientemente,4
red,reunion,3
leer,red,3
destino,mesa,3
destino,leer,3
encabezar,mesa,3
alianza,consolidar,3
anaya,integrar,3
capital,completo,3
encabezar,leer,3
reunion,turistico,3
alianza,desarrollar,3
anaya,destino,3
ayuntamiento,capital,3
capital,titular,3
curso,recientemente,3
inclusion,realidad,3
dif,proposito,3
curso,inclusion,3
dif,informe,3
turistico,vacacion,3
desarrollar,red,3
destino,vacacion,3
desarrollar,turistico,3
anaya,playa,3
anaya,turistico,3
ayuntamiento,mesa,3
cuidado,leer,3
nota,verano,3
anaya,nota,3
cuidado,red,3
anaya,mujeres,3
integrar,inteligencia,3
artificial,integrar,3
integrar,realidad,3
destino,reunion,3
llegada,reunion,3
delegado,mando,3
mando,reto,3
mando,percepcion,3
acercar,mesa,3
coordinar,titular,3
proposito,reunion,3
anaya,coordinar,3
capital,conocido,3
anaya,independiente,3
dif,verano,3
playa,reunion,2
acercar,reunion,2
alianza,red,2
red,turistico,2
mesa,red,2
destino,red,2
anaya,transitar,2
encabezar,transitar,2
mesa,transitar,2
alianza,anaya,2
ayuntamiento,consolidar,2
encabezar,integrar,2
completo,verano,2
anaya,realidad,2
encabezar,miramar,2
proposito,red,2
acercar,anaya,2
anaya,vacacion,2
ayuntamiento,titular,2
conocido,red,2
reto,verano,2
realidad,titular,2
curso,proposito,2
inclusion,proposito,2
dif,prioritario,2
curso,verano,2
mujeres,titular,2
artificial,leer,2
consolidar,miramar,2
ayuntamiento,coordinar,2
coordinar,mesa,2
mujeres,red,2
prioritario,red,2
red,somoslared,2
estamosentodaspart,red,2
artificial,tar,2
cuidado,verano,2
cuidado,mujeres,2
encabezar,mujeres,2
reencarpetado,transitar,2
consolidar,verano,2
cuidado,desarrollar,2
alianza,inteligencia,2
alianza,encabezar,2
desarrollar,integrar,2
destino,encabezar,2
alianza,destino,2
llegada,mando,2
dif,titular,2
dif,mujeres,2
cuidado,dif,2
red,tar,2
leer,prioritario,2
coordinar,reunion,2
coordinar,encabezar,2
comentar,titular,2
capital,comentar,2
acercar,proposito,2
capital,recientemente,2
capital,link,2
independiente,lejos,2
independiente,romper,2
alianza,leer,2
proposito,verano,2
alianza,mesa,1
mesa,turistico,1
leer,mesa,1
alianza,ayuntamiento,1
anaya,ayuntamiento,1
integrar,red,1
integrar,invitamos,1
integrar,leer,1
integrar,nota,1
miramar,transitar,1
completo,titular,1
alianza,vacacion,1
realidad,romper,1
inteligencia,romper,1
artificial,romper,1
acercar,nota,1
acercar,completo,1
ayuntamiento,comentar,1
miramar,red,1
invitamos,miramar,1
leer,miramar,1
miramar,nota,1
llegada,red,1
leer,llegada,1
acercar,informe,1
encabezar,vacacion,1
red,vacacion,1
informe,vacacion,1
informe,red,1
desarrollar,reto,1
alianza,reto,1
consolidar,red,1
consolidar,tar,1
consolidar,invitamos,1
destino,tar,1
destino,invitamos,1
ayuntamiento,llegada,1
llegada,titular,1
capital,llegada,1
cuidado,recientemente,1
capital,reto,1
dif,encabezar,1
cuidado,titular,1
inclusion,titular,1
completo,consolidar,1
encabezar,verano,1
ayuntamiento,dif,1
conocido,consolidar,1
mando,realidad,1
titular,verano,1
anaya,inclusion,1
curso,informe,1
inclusion,informe,1
inclusion,prioritario,1
romper,vacacion,1
romper,verano,1
romper,turistico,1
curso,red,1
lejos,percepcion,1
capital,percepcion,1
percepcion,titular,1
capital,lejos,1
lejos,titular,1
informe,mujeres,1
informe,titular,1
leer,lejos,1
artificial,lejos,1
consolidar,desarrollar,1
desarrollar,destino,1
desarrollar,playa,1
desarrollar,miramar,1
consolidar,dif,1
destino,dif,1
dif,turistico,1
acercar,leer,1
mando,vacacion,1
alianza,reunion,1
alianza,cuidado,1
cuidado,turistico,1
acercar,encabezar,1
acercar,invitamos,1
encabezar,nota,1
mujeres,recientemente,1
consolidar,inclusion,1
coordinar,mando,1
nota,red,1
red,web,1
desarrollar,somoslared,1
desarrollar,estamosentodaspart,1
estamosentodaspart,inteligencia,1
inteligencia,red,1
artificial,red,1
desarrollar,tar,1
inteligencia,tar,1
inteligencia,invitamos,1
artificial,invitamos,1
anaya,delegado,1
delegado,vacacion,1
delegado,playa,1
delegado,miramar,1
realidad,vacacion,1
playa,realidad,1
desarrollar,nota,1
integrar,playa,1
integrar,miramar,1
destino,integrar,1
cuidado,mando,1
capital,mando,1
llegada,verano,1
cuidado,encabezar,1
encabezar,tar,1
mujeres,tar,1
invitamos,mujeres,1
leer,mujeres,1
anaya,reencarpetado,1
delegado,reunion,1
desarrollar,reunion,1
encabezar,turistico,1
integrar,turistico,1
anaya,inteligencia,1
encabezar,inteligencia,1
artificial,encabezar,1
realidad,tar,1
invitamos,realidad,1
tar,turistico,1
invitamos,turistico,1
alianza,integrar,1
artificial,inclusion,1
inclusion,turistico,1
mesa,verano,1
capital,vacacion,1
mesa,vacacion,1
ayuntamiento,vacacion,1
capital,mesa,1
acercar,inteligencia,1
acercar,artificial,1
acercar,realidad,1
acercar,turistico,1
ayuntamiento,mujeres,1
dif,reunion,1
curso,encabezar,1
encabezar,recientemente,1
consolidar,encabezar,1
alianza,miramar,1
miramar,reunion,1
anaya,mando,1
encabezar,mando,1
comentar,desarrollar,1
desarrollar,lejos,1
comentar,verano,1
comentar,lejos,1
lejos,verano,1
llegada,mesa,1
destino,llegada,1
lejos,realidad,1
lejos,transitar,1
lejos,mesa,1
mesa,realidad,1
encabezar,realidad,1
informe,transitar,1
informe,mesa,1
encabezar,informe,1
coordinar,integrar,1
integrar,proposito,1
delegado,percepcion,1
leer,proposito,1
conocido,turistico,1
cuidado,tar,1
cuidado,invitamos,1
comentar,destino,1
conocido,destino,1
comentar,conocido,1
conocido,informe,1
conocido,reencarpetado,1
informe,reencarpetado,1
independiente,proposito,1
anaya,prioritario,1
invitamos,prioritario,1
completo,web,1
completo,somoslared,1
completo,estamosentodaspart,1
estamosentodaspart,reto,1
completo,red,1
completo,reto,1
red,reto,1
reunion,titular,1
encabezar,titular,1
anaya,click,1
inclusion,reunion,1
encabezar,inclusion,1
encabezar,proposito,1
link,recientemente,1
capital,independiente,1
independiente,link,1
lejos,link,1
completo,independiente,1
completo,lejos,1
completo,romper,1
lejos,romper,1
independiente,red,1
dif,red,1
invitamos,proposito,1
dif,invitamos,1
dif,leer,1
invitamos,verano,1
leer,verano,1
red,titular,1
proposito,tar,1
coordinar,tar,1
coordinar,invitamos,1
coordinar,leer,1
