source,target,weight
evento,nacional,42
nacional,nivel,38
nacional,senalar,24
nacional,turistico,22
turistico,visitante,18
nacional,presidente,13
evento,turistico,13
destino,visitante,12
firma,pacto,11
activo,senalar,11
consolidar,nacional,10
aumentar,nacional,9
evento,nivel,9
mes,nacional,9
destino,turistico,9
octavio,torre,8
identificar,nacional,8
gonzalez,rafael,8
presidente,tren,8
nivel,volver,7
canaco,nacional,7
canaco,presidente,7
octavio,presidente,7
erasmo,gonzalez,7
cuidar,similar,7
evento,plaza,7
nivel,presidente,7
eduardo,manzur,6
manzur,presidente,6
nacional,tren,6
nacional,puerto,6
identificar,senalar,6
armas,plaza,6
evento,reunir,6
evento,gonzalez,6
comercial,plaza,6
estrategia,nivel,6
nacional,reafirmar,6
consolidar,turistico,6
presidente,torre,6
evento,presidente,6
nacional,television,6
echar,presidente,6
recuperar,volver,6
forma,presidente,6
nacional,trabajador,6
estrategia,nacional,6
nacional,volver,5
canaco,pacto,5
eduardo,presidente,5
canaco,manzur,5
atraer,nacional,5
octavio,steffano,5
steffano,torre,5
aduana,nacional,5
mes,nivel,5
mes,similar,5
forma,senalar,5
funcionario,senalar,5
cuidar,destino,5
autobus,nacional,5
diverso,nacional,5
nivel,senalar,5
cuidar,forma,5
plaza,reunir,5
aspecto,nacional,5
cuidar,volver,5
diverso,senalar,5
recuperar,tren,5
crear,nacional,5
comercial,mes,5
delgado,nacional,5
identidad,sabor,4
atraer,evento,4
nacional,torre,4
puerto,torre,4
jaibo,puerto,4
mes,torre,4
nivel,sonar,4
funcionario,nacional,4
activo,mes,4
diverso,reunir,4
mes,significar,4
presidente,senalar,4
imagen,volver,4
cuidar,imagen,4
destino,gonzalez,4
cuidar,presidente,4
nivel,turistico,4
cabe,senalar,4
diverso,identificar,4
forma,nacional,4
aumentar,mes,4
similar,volver,4
evento,senalar,4
mes,presidente,4
imagen,urbano,4
brindar,urbano,4
nacional,sabor,4
reafirmar,turistico,4
aumentar,senalar,4
aspecto,senalar,4
aduana,nivel,4
aumentar,comercial,4
record,visitante,4
aduana,delgado,4
senalar,turistico,4
nacional,urbano,4
barda,sabor,4
plaza,visitante,3
puerto,visitante,3
plaza,sorprender,3
emprender,octavio,3
identidad,octavio,3
puerto,sabor,3
nacional,pacto,3
canaco,firma,3
canaco,eduardo,3
atraer,presidente,3
nacional,octavio,3
cabe,nacional,3
eduardo,forma,3
aumentar,presidente,3
similar,torre,3
forma,similar,3
senalar,similar,3
autobus,identificar,3
destino,funcionario,3
mes,senalar,3
cuidar,turistico,3
estrategia,recuperar,3
patrimonio,recuperar,3
mes,recuperar,3
instalar,mes,3
lara,presidente,3
estrategia,presidente,3
estrategia,senalar,3
destino,erasmo,3
gonzalez,presidente,3
firma,senalar,3
diverso,puerto,3
comercial,nivel,3
cuidar,nacional,3
mes,porteno,3
armas,evento,3
armas,reunir,3
mes,volver,3
comercial,evento,3
destino,senalar,3
imagen,visitante,3
brindar,cuidar,3
atraer,visitante,3
nacional,similar,3
identidad,visitante,3
evento,visitante,3
coordinado,turistico,3
coordinado,evento,3
senalar,tren,3
nacional,rafael,3
gonzalez,nacional,3
senalar,volver,3
eduardo,gonzalez,3
atraer,senalar,3
puerto,senalar,3
consolidar,puerto,3
consolidar,reafirmar,3
consolidar,evento,3
brindar,estrategia,3
firma,presidente,3
firma,torre,3
presidente,turistico,3
lara,turistico,3
imagen,senalar,3
presidente,steffano,3
presidente,reunir,3
puerto,trabajador,3
delgado,presidente,3
forma,sospechoso,3
aduana,presidente,3
diputado,urbano,3
aumentar,plaza,3
comercial,delgado,3
cuidar,delgado,3
consolidar,destino,3
presidente,trabajador,3
aspecto,nivel,3
falla,volver,3
comercial,volver,3
emprender,franquicia,3
aumentar,trabajador,3
record,turistico,3
comercial,reunir,3
echar,puerto,3
nacional,recuperar,3
saldo,urbano,3
gonzalez,turistico,3
estrategia,turistico,3
delgado,emprender,3
barda,trabajador,3
barda,puerto,3
nivel,visitante,2
forma,visitante,2
forma,plaza,2
plaza,puerto,2
puerto,sorprender,2
atraer,puerto,2
octavio,plaza,2
atraer,octavio,2
emprender,identidad,2
guardar,identidad,2
firma,nivel,2
nivel,pacto,2
firma,nacional,2
eduardo,nacional,2
manzur,nacional,2
canaco,octavio,2
canaco,torre,2
nacional,steffano,2
puerto,steffano,2
jaibo,steffano,2
materia,puerto,2
aduana,puerto,2
jaibo,materia,2
materia,nacional,2
evento,mes,2
destinado,mes,2
funcionario,similar,2
cuidar,visitante,2
destino,nacional,2
destino,diverso,2
funcionario,recuperar,2
barda,instalar,2
barda,presidente,2
instalar,presidente,2
lara,senalar,2
identidad,imagen,2
identidad,volver,2
diverso,imagen,2
cuidar,diverso,2
erasmo,presidente,2
similar,tren,2
comercial,nacional,2
nacional,supervisar,2
cabe,mes,2
funcionario,nivel,2
forma,identificar,2
diverso,nivel,2
aunado,gonzalez,2
aunado,presidente,2
cuidar,sospechoso,2
cuidar,significar,2
aumentar,puerto,2
echar,tren,2
echar,forma,2
gonzalez,reunir,2
gonzalez,plaza,2
coordinado,diverso,2
aspecto,evento,2
reunir,visitante,2
nacional,patrimonio,2
funcionario,visitante,2
senalar,visitante,2
gonzalez,nivel,2
aunado,nivel,2
diputado,erasmo,2
cuidar,patrimonio,2
patrimonio,plaza,2
cuidar,plaza,2
armas,cuidar,2
brindar,identificar,2
brindar,imagen,2
urbano,visitante,2
armas,identidad,2
brindar,reafirmar,2
nacional,visitante,2
sabor,visitante,2
identidad,turistico,2
cabe,deportesmiercol,2
cabe,porteno,2
coordinado,nacional,2
coordinado,visitante,2
nacional,saldo,2
brindar,senalar,2
activo,brindar,2
atraer,mes,2
nacional,significar,2
instalar,turistico,2
instalar,nacional,2
conservar,nivel,2
atraer,turistico,2
comercial,diverso,2
consolidar,senalar,2
evento,reafirmar,2
deportesmiercol,evento,2
firma,octavio,2
evento,lara,2
comercial,firma,2
evento,identidad,2
pacto,presidente,2
octavio,puerto,2
jaibo,octavio,2
jaibo,torre,2
cuidar,estrategia,2
destino,estrategia,2
cuidar,preparado,2
consolidar,steffano,2
impuesto,nacional,2
forma,puerto,2
senalar,television,2
aduana,television,2
aduana,impuesto,2
aduana,senalar,2
guardar,senalar,2
guardar,tren,2
sospechoso,tren,2
coordinado,estrategia,2
consolidar,nivel,2
nacional,reunir,2
aspecto,gonzalez,2
gonzalez,senalar,2
forma,mes,2
firma,mes,2
imagen,presidente,2
coordinado,cuidar,2
presidente,supervisar,2
mes,tren,2
tren,volver,2
plaza,recuperar,2
impuesto,volver,2
crear,presidente,2
crear,nivel,2
forma,guardar,2
guardar,presidente,2
deportesmiercol,diverso,2
autobus,comercial,2
aunado,comercial,2
aunado,autobus,2
mes,plaza,2
activo,comercial,2
comercial,porteno,2
plaza,similar,2
cabe,plaza,2
delgado,forma,2
nivel,puerto,2
funcionario,volver,2
comercial,torre,2
comercial,similar,2
steffano,trabajador,2
mes,reunir,2
presidente,sabor,2
aumentar,volver,2
franquicia,porteno,2
aspecto,franquicia,2
consolidar,television,2
nivel,television,2
presidente,sospechoso,2
presidente,puerto,2
puerto,recuperar,2
recuperar,television,2
erasmo,turistico,2
saldo,turistico,2
gonzalez,visitante,2
aumentar,visitante,2
aspecto,estrategia,2
franquicia,nacional,2
delgado,similar,2
autobus,saldo,2
autobus,falla,2
cabe,tren,2
rafael,tren,2
delgado,diputado,2
canaco,comercial,2
canaco,estrategia,2
canaco,materia,2
estrategia,materia,2
delgado,funcionario,2
emprender,nacional,2
destino,puerto,2
barda,visitante,2
barda,identidad,2
barda,volver,2
forma,nivel,1
sorprender,visitante,1
atraer,sorprender,1
octavio,sorprender,1
