source,target,weight
agosto,horario,16
agosto,taller,14
agosto,lunes,14
agosto,fecha,13
arte,metro,9
lunes,viernes,9
agosto,nivel,9
desaparecido,registro,9
metro,metropolitano,8
cultural,metro,8
detalles,taller,8
informes,metro,8
escueladeartesmetro,metro,8
agosto,miercoles,8
cultural,metropolitano,7
fecha,taller,7
final,mexicano,7
mexicano,nivel,7
artes,cultural,7
artes,metro,7
etapa,final,7
invitar,metro,6
horario,taller,6
fecha,horario,6
cultural,mexicano,6
disenado,taller,6
horario,lunes,6
agosto,viernes,6
azul,mirar,6
agosto,registro,6
horario,hrs,5
canaco,nivel,5
fase,final,5
horario,viernes,5
metro,taller,5
invitar,taller,5
cultural,taller,5
detalles,fecha,5
agosto,detalles,5
artes,metropolitano,5
escueladeartesmetro,informes,5
arte,informes,5
arte,escueladeartesmetro,5
agosto,hrs,5
maestro,mexicano,5
agosto,etapa,5
mexicano,viernes,4
mexicano,proyeccion,4
emprender,viernes,4
hrs,metro,4
agosto,arte,4
nivel,proyeccion,4
fase,metro,4
fase,mexicano,4
laboratorio,mexicano,4
establecido,mexicano,4
mexicano,participante,4
encabezado,metro,4
participante,taller,4
artes,hrs,4
estudiar,nivel,4
taller,tecnica,4
femenil,mexicano,4
estudiar,femenil,4
estudiar,mexicano,4
enero,nivel,4
enfocado,estudio,4
mental,representante,3
canaco,octavio,3
octavio,viernes,3
representante,viernes,3
laboratorio,metro,3
hrs,metropolitano,3
metro,nivel,3
arte,metropolitano,3
agosto,salvador,3
estudio,fecha,3
encabezado,fecha,3
encabezado,invitar,3
conectar,invitar,3
nivel,octavio,3
final,nivel,3
estudio,final,3
mexicano,mirar,3
cultural,maestro,3
cultural,representante,3
encabezado,taller,3
cultural,fecha,3
agosto,cultural,3
artes,horario,3
cultural,horario,3
cultural,informes,3
informes,metropolitano,3
escueladeartesmetro,metropolitano,3
mexicano,teatro,3
estudiar,estudio,3
azul,femenil,3
mexicano,plantilla,3
femenil,plantilla,3
artes,invitar,3
encabezado,mexicano,3
nivel,representante,3
registro,viernes,3
chihuahua,viernes,3
chihuahua,enero,3
agosto,encabezado,3
aca,maestro,3
azul,final,3
encabezado,final,3
encabezado,maestro,3
agosto,desaparecido,3
representante,taller,3
agosto,estudio,3
aca,representante,2
invitar,representante,2
invitar,mental,2
estudio,lunes,2
cultural,mental,2
estudio,etapa,2
cultural,estudio,2
canaco,mexicano,2
canaco,proyeccion,2
proyeccion,viernes,2
emprender,representante,2
laboratorio,mirar,2
horario,metro,2
metropolitano,nivel,2
arte,nivel,2
arte,cultural,2
metro,salvador,2
cultural,invitar,2
agosto,metro,2
agosto,invitar,2
arte,invitar,2
agosto,metropolitano,2
agosto,teatro,2
metropolitano,teatro,2
estudio,metropolitano,2
encabezado,teatro,2
fecha,hrs,2
conectar,taller,2
fecha,mexicano,2
final,titulo,2
nivel,titulo,2
fase,nivel,2
estudio,fase,2
etapa,mexicano,2
invitar,nivel,2
desaparecido,nivel,2
femenil,miercoles,2
maestro,representante,2
mexicano,miercoles,2
cultural,participante,2
cultural,detalles,2
agosto,artes,2
cultural,encabezado,2
encabezado,laboratorio,2
laboratorio,taller,2
taller,teatro,2
disenado,teatro,2
artes,tecnica,2
metro,tecnica,2
estudio,nivel,2
cultural,disenado,2
detalles,disenado,2
detalles,tecnica,2
fecha,tecnica,2
fecha,lunes,2
horario,miercoles,2
lunes,miercoles,2
miercoles,viernes,2
cultural,hrs,2
disenado,participante,2
detalles,participante,2
octavio,vocacion,2
nivel,taller,2
mexicano,salvador,2
final,maestro,2
azul,metro,2
mirar,plantilla,2
femenil,teatro,2
estudiar,participante,2
artes,mexicano,2
nivel,vocacion,2
viernes,vocacion,2
encabezado,viernes,2
agosto,representante,2
lunes,registro,2
horario,registro,2
chihuahua,lunes,2
chihuahua,horario,2
copa,mental,2
invitar,metropolitano,2
artes,taller,2
horario,informes,2
escueladeartesmetro,horario,2
cultural,nivel,2
chihuahua,nivel,2
femenil,salvador,2
agosto,estudiar,2
agosto,plantilla,2
etapa,plantilla,2
enfocado,taller,2
final,registro,2
artes,maestro,2
azul,encabezado,2
enfocado,estudiar,2
maestro,pie,2
encabezado,pie,2
emprender,estudiar,2
fecha,maestro,2
agosto,maestro,2
desaparecido,enero,2
enero,registro,2
agosto,bravo,2
agosto,mexicano,2
fecha,nivel,2
aca,invitar,1
aca,lunes,1
invitar,lunes,1
lunes,representante,1
estudio,representante,1
lunes,mental,1
etapa,lunes,1
estudio,mental,1
etapa,mental,1
cultural,etapa,1
emprender,establecido,1
emprender,octavio,1
canaco,emprender,1
establecido,octavio,1
canaco,establecido,1
establecido,viernes,1
mexicano,octavio,1
canaco,viernes,1
elegir,emprender,1
elegir,representante,1
mirar,representante,1
elegir,viernes,1
mirar,viernes,1
laboratorio,viernes,1
elegir,mirar,1
elegir,laboratorio,1
elegir,horario,1
horario,mirar,1
hrs,mirar,1
horario,laboratorio,1
hrs,laboratorio,1
horario,nivel,1
hrs,nivel,1
cultural,salvador,1
invitar,salvador,1
fecha,metropolitano,1
fecha,teatro,1
estudio,teatro,1
invitar,teatro,1
encabezado,estudio,1
estudio,invitar,1
encabezado,hrs,1
fecha,invitar,1
hrs,invitar,1
conectar,fecha,1
conectar,hrs,1
hrs,taller,1
bravo,etapa,1
canaco,elegir,1
elegir,nivel,1
elegir,octavio,1
octavio,proyeccion,1
femenil,titulo,1
femenil,final,1
fase,femenil,1
fase,titulo,1
nivel,perfil,1
mexicano,perfil,1
mexicano,top,1
fase,perfil,1
fase,top,1
perfil,top,1
final,perfil,1
final,top,1
estudio,metro,1
fase,laboratorio,1
estudio,laboratorio,1
estudio,mexicano,1
final,laboratorio,1
establecido,laboratorio,1
establecido,final,1
final,mirar,1
establecido,mirar,1
establecido,etapa,1
etapa,mirar,1
octavio,registro,1
final,participante,1
desaparecido,invitar,1
elegir,teatro,1
elegir,final,1
final,teatro,1
enfocado,perfil,1
fase,miercoles,1
arte,encabezado,1
encabezado,participante,1
invitar,participante,1
arte,participante,1
arte,mental,1
arte,taller,1
mental,participante,1
mental,taller,1
detalles,mental,1
artes,fecha,1
horario,metropolitano,1
artes,encabezado,1
encabezado,metropolitano,1
cultural,laboratorio,1
laboratorio,metropolitano,1
metropolitano,mexicano,1
laboratorio,teatro,1
mexicano,taller,1
disenado,mexicano,1
agosto,disenado,1
disenado,horario,1
disenado,hrs,1
hrs,registro,1
artes,registro,1
metro,registro,1
registro,tecnica,1
nivel,registro,1
nivel,tecnica,1
conectar,metro,1
conectar,encabezado,1
conectar,cultural,1
conectar,disenado,1
cultural,tecnica,1
disenado,tecnica,1
hrs,lunes,1
hrs,miercoles,1
artes,miercoles,1
hrs,viernes,1
artes,viernes,1
cultural,viernes,1
metro,teatro,1
disenado,encabezado,1
perfil,taller,1
perfil,teatro,1
participante,teatro,1
disenado,perfil,1
participante,perfil,1
cultural,perfil,1
detalles,perfil,1
fecha,vocacion,1
fase,vocacion,1
fase,fecha,1
arte,mexicano,1
nivel,pie,1
arte,proyeccion,1
pie,proyeccion,1
arte,pie,1
maestro,salvador,1
final,salvador,1
maestro,nivel,1
femenil,metro,1
azul,plantilla,1
azul,mexicano,1
femenil,mirar,1
femenil,nivel,1
estudiar,teatro,1
nivel,teatro,1
copa,teatro,1
copa,estudiar,1
bravo,estudiar,1
copa,nivel,1
bravo,nivel,1
bravo,copa,1
emprender,plantilla,1
final,plantilla,1
plantilla,titulo,1
emprender,final,1
emprender,titulo,1
participante,vocacion,1
mexicano,vocacion,1
estudiar,vocacion,1
artes,estudiar,1
artes,vocacion,1
titulo,vocacion,1
artes,nivel,1
artes,titulo,1
artes,top,1
nivel,top,1
titulo,top,1
estudiar,mirar,1
estudiar,laboratorio,1
etapa,pie,1
enfocado,nivel,1
enfocado,vocacion,1
enfocado,octavio,1
encabezado,enfocado,1
encabezado,vocacion,1
encabezado,octavio,1
emprender,mexicano,1
mexicano,representante,1
emprender,nivel,1
maestro,mirar,1
estudio,tecnica,1
artes,estudio,1
estudiar,mental,1
etapa,fecha,1
fecha,final,1
lunes,mexicano,1
establecido,registro,1
copa,representante,1
final,lunes,1
chihuahua,final,1
final,viernes,1
invitar,tecnica,1
detalles,invitar,1
lunes,taller,1
fecha,miercoles,1
informes,lunes,1
informes,miercoles,1
escueladeartesmetro,miercoles,1
arte,artes,1
maestro,metro,1
invitar,maestro,1
disenado,invitar,1
maestro,taller,1
disenado,maestro,1
maestro,participante,1
detalles,maestro,1
fecha,participante,1
agosto,informes,1
hrs,informes,1
escueladeartesmetro,hrs,1
encabezado,establecido,1
cultural,establecido,1
cultural,proyeccion,1
lunes,pie,1
conectar,mexicano,1
agosto,femenil,1
estudiar,plantilla,1
estudiar,etapa,1
encabezado,nivel,1
canaco,plantilla,1
miercoles,representante,1
emprender,invitar,1
aca,mexicano,1
representante,vocacion,1
proyeccion,vocacion,1
proyeccion,representante,1
cultural,final,1
cultural,registro,1
estudio,registro,1
canaco,representante,1
canaco,metropolitano,1
canaco,perfil,1
metropolitano,representante,1
perfil,representante,1
metropolitano,perfil,1
maestro,teatro,1
artes,teatro,1
cultural,teatro,1
representante,teatro,1
artes,representante,1
azul,registro,1
encabezado,registro,1
azul,conectar,1
elegir,estudiar,1
elegir,enfocado,1
elegir,estudio,1
invitar,registro,1
final,pie,1
azul,pie,1
desaparecido,encabezado,1
azul,maestro,1
desaparecido,maestro,1
azul,desaparecido,1
aca,azul,1
azul,chihuahua,1
aca,desaparecido,1
chihuahua,desaparecido,1
desaparecido,titulo,1
aca,chihuahua,1
aca,titulo,1
chihuahua,titulo,1
estudiar,miercoles,1
emprender,miercoles,1
agosto,emprender,1
plantilla,salvador,1
bravo,desaparecido,1
bravo,enero,1
enero,salvador,1
bravo,registro,1
registro,salvador,1
bravo,salvador,1
mirar,nivel,1
bravo,estudio,1
bravo,lunes,1
agosto,azul,1
agosto,establecido,1
azul,establecido,1
enero,mexicano,1
bravo,cultural,1
maestro,viernes,1
maestro,registro,1
laboratorio,pie,1
