source,target,weight
deber,ley,10
agua,pescador,9
deber,pendiente,8
escuchar,gobierno,8
gobierno,obra,7
agua,gobierno,7
agua,pendiente,7
agua,utilizar,7
agua,deber,6
obra,pendiente,6
agua,hombre,6
gobierno,tarde,5
agua,obra,5
agua,frente,5
ley,pendiente,5
deber,gobierno,5
frente,gobierno,4
agua,ley,4
deber,obra,4
hombre,tarde,4
evitar,tarde,4
frente,hombre,4
hombre,pescador,4
gobierno,responder,4
deber,hombre,4
gobierno,jorge,3
ejercito,frente,3
informar,pendiente,3
ejercito,hombre,3
frente,tarde,3
agua,tarde,3
cercano,gobierno,3
agua,escuchar,3
cercano,escuchar,3
evitar,ley,3
gobierno,utilizar,3
agua,evitar,3
jorge,responder,3
apoyar,escuchar,3
apoyar,jorge,3
deber,ejercito,3
gobierno,ley,3
escuchar,ley,3
agua,jorge,2
frente,pendiente,2
frente,obra,2
agua,ejercito,2
ejercito,obra,2
ejercito,evitar,2
evitar,obra,2
evitar,miercoles,2
evitar,hombre,2
pescador,utilizar,2
informar,utilizar,2
agua,informar,2
deber,evitar,2
frente,pescador,2
ley,tarde,2
responder,utilizar,2
evitar,utilizar,2
agua,apoyar,2
escuchar,frente,2
deber,responder,2
deber,frente,2
cercano,responder,2
apoyar,cercano,2
escuchar,responder,2
escuchar,jorge,2
apoyar,responder,2
apoyar,gobierno,2
cercano,tarde,2
apoyar,ley,2
escuchar,evitar,2
evitar,gobierno,2
obra,tarde,1
frente,jorge,1
ley,obra,1
ejercito,pendiente,1
evitar,pendiente,1
pendiente,problema,1
obra,problema,1
evitar,problema,1
gobierno,informar,1
ejercito,miercoles,1
ejercito,tarde,1
miercoles,tarde,1
frente,miercoles,1
hombre,miercoles,1
agua,miercoles,1
pescador,tarde,1
tarde,utilizar,1
informar,tarde,1
informar,pescador,1
hombre,informar,1
agua,cercano,1
escuchar,pendiente,1
jorge,pescador,1
cercano,miercoles,1
evitar,frente,1
informar,ley,1
ley,problema,1
informar,problema,1
apoyar,obra,1
informar,responder,1
ejercito,escuchar,1
escuchar,hombre,1
hombre,pendiente,1
frente,ley,1
gobierno,hombre,1
gobierno,pendiente,1
ejercito,ley,1
apoyar,deber,1
apoyar,evitar,1
escuchar,utilizar,1
frente,utilizar,1
ley,miercoles,1
