source,target,weight
bodies,exposicion,19
entrada,gratuito,15
exposicion,gratuito,13
cultural,exposicion,12
dia,llegar,11
exposicion,metropolitano,9
entrada,exposicion,8
disfrutar,exposicion,7
cultural,metropolitano,6
cultural,descubrir,5
dia,gratuito,5
bodies,gratuito,5
exposicion,turistico,5
bodies,turistico,5
exposicion,llegar,5
entrada,metropolitano,5
descubrir,metropolitano,4
compartir,descubrir,4
disfrutar,metropolitano,4
tamaulipeco,tampiqueno,4
cultural,turistico,4
bodies,llegar,4
bodies,cultural,3
cultural,disfrutar,3
cultural,llegar,3
dia,especial,3
dia,tamaulipeco,3
compartir,dia,3
dia,profundo,3
exposicion,jardin,3
dia,disfrutar,3
jardin,metropolitano,3
dia,jardin,3
entrada,jardin,3
dia,metropolitano,3
gratuito,metropolitano,3
dia,entrada,3
dia,exposicion,3
cultural,entrada,3
cultural,especial,3
entrada,especial,3
descubrir,forma,2
descubrir,profundo,2
forma,metropolitano,2
cultural,profundo,2
compartir,tampiqueno,2
forma,noche,2
disfrutar,gratuito,2
cultural,gratuito,2
llegar,turistico,2
llegar,profundo,2
descubrir,turistico,2
descubrir,exposicion,2
llegar,tamaulipeco,2
compartir,llegar,2
dia,noche,2
llegar,noche,2
forma,llegar,2
disfrutar,jardin,2
bodies,entrada,2
gratuito,llegar,2
llegar,metropolitano,2
especial,metropolitano,2
descubrir,entrada,2
descubrir,especial,2
compartir,exposicion,2
exposicion,forma,2
descubrir,disfrutar,1
disfrutar,forma,1
disfrutar,profundo,1
forma,profundo,1
cultural,forma,1
metropolitano,profundo,1
compartir,metropolitano,1
forma,tampiqueno,1
bodies,metropolitano,1
descubrir,llegar,1
profundo,turistico,1
bodies,descubrir,1
compartir,tamaulipeco,1
jardin,noche,1
gratuito,profundo,1
especial,turistico,1
disfrutar,turistico,1
forma,gratuito,1
disfrutar,entrada,1
entrada,noche,1
disfrutar,especial,1
especial,noche,1
disfrutar,noche,1
compartir,noche,1
compartir,forma,1
compartir,jardin,1
forma,jardin,1
