id_global,tema_id,sub_id,hex_color,n_palabras,n_aristas,densidad,peso_total,nombre_subtema
T17_S06,17,6,#2ca02c,7,14,0.667,27.0,"Red, declaracion, detalle, desaparicion"
T17_S07,17,7,#2ca02c,4,5,0.833,11.0,"Decada, aniversario, asistir, enhorabuena"
T17_S08,17,8,#2ca02c,3,3,1.0,7.0,"Personaje, publicado, clasico"
T18_S00,18,0,#d62728,24,124,0.449,304.0,"Empresa, publico, privado, participacion"
T18_S01,18,1,#d62728,12,47,0.712,245.0,"Espacio, cultural, metro, metropolitano"
T18_S02,18,2,#d62728,9,24,0.667,169.0,"Presidenta, municipal, apoyo, encabezado"
T18_S03,18,3,#d62728,12,49,0.742,151.0,"Agosto, taller, fecha, dirigido"
T18_S04,18,4,#d62728,12,31,0.47,60.0,"Mujer, presente, corazon, enviar"
T18_S05,18,5,#d62728,9,26,0.722,59.0,"Gusto, ruiz, fuerte, senadora"
T18_S06,18,6,#d62728,5,7,0.7,15.0,"Cifra, camino, ubicar, participante"
T19_S00,19,0,#9467bd,7,18,0.857,190.0,"Tamaulipas, altamira, laredo, tarde"
T19_S01,19,1,#9467bd,10,27,0.6,63.0,"Comercio, fomentar, mercado, celebrar"
T19_S02,19,2,#9467bd,8,21,0.75,54.0,"Nino, monterrey, nieto, consulta"
T19_S03,19,3,#9467bd,6,14,0.933,53.0,"Matamoros, nuevolaredo, ciudadmadero, ciudadvictoria"
T19_S04,19,4,#9467bd,7,13,0.619,53.0,"Conectividad, libramiento, poniente, ecosistema"
T19_S05,19,5,#9467bd,4,6,1.0,17.0,"Concluir, serie, productor, ciclo"
T19_S06,19,6,#9467bd,5,6,0.6,17.0,"Pendiente, depender, clase, tramite"
T19_S07,19,7,#9467bd,3,3,1.0,11.0,"Corona, gustavo, deportesjuev"
T19_S08,19,8,#9467bd,4,4,0.667,8.0,"Angel, energetico, aliado, afectacion"
T20_S00,20,0,#8c564b,8,15,0.536,44.0,"Respuesta, temporada, demanda, responder"
T20_S01,20,1,#8c564b,9,23,0.639,41.0,"Ayuda, directivo, alcanzar, ayudar"
T20_S02,20,2,#8c564b,6,14,0.933,41.0,"Realidad, andar, malo, rata"
T20_S03,20,3,#8c564b,7,16,0.762,40.0,"Numero, encuesta, inseguridad, percepcion"
T20_S04,20,4,#8c564b,6,12,0.8,36.0,"Pertenecer, olvidar, base, basura"
T20_S05,20,5,#8c564b,5,6,0.6,25.0,"Ciento, robo, disminuir, implementar"
T20_S06,20,6,#8c564b,6,10,0.667,19.0,"Registrado, epoca, exponer, alberto"
T20_S07,20,7,#8c564b,8,12,0.429,19.0,"Capital, incorporar, clave, firmar"
T20_S08,20,8,#8c564b,5,7,0.7,13.0,"Falta, cuestionar, conferencia, vacio"
T21_S00,21,0,#e377c2,11,49,0.891,247.0,"Ruffo, ernesto, baja, california"
T21_S01,21,1,#e377c2,19,107,0.626,238.0,"Hablar, pueblo, puro, defender"
T21_S02,21,2,#e377c2,9,24,0.667,177.0,"Gobierno, seguridad, claudia, republica"
T21_S03,21,3,#e377c2,10,38,0.844,167.0,"Politico, morena, narco, pan"
T21_S04,21,4,#e377c2,10,37,0.822,131.0,"Fiscal, huachicol, combustible, operacion"
T21_S05,21,5,#e377c2,8,19,0.679,49.0,"Lopez, caer, obrador, cartel"
T21_S06,21,6,#e377c2,6,13,0.867,39.0,"Rocha, moya, donde, andy"
T21_S07,21,7,#e377c2,5,8,0.8,25.0,"Gente, importar, cara, acabar"
T21_S08,21,8,#e377c2,5,7,0.7,19.0,"Prueba, claro, demostrar, asociacion"
T22_S00,22,0,#7f7f7f,22,123,0.532,225.0,"Dinero, parecer, empezar, problema"
T22_S01,22,1,#7f7f7f,11,41,0.745,198.0,"Colonia, laguna, puerta, entregar"
T22_S02,22,2,#7f7f7f,10,34,0.756,168.0,"Obra, mejorar, infraestructura, calidad"
T22_S03,22,3,#7f7f7f,10,33,0.733,135.0,"Gracias, excelente, escuchar, apoyar"
T22_S04,22,4,#7f7f7f,6,10,0.667,96.0,"Seguir, construir, transformar, cumplir"
T22_S05,22,5,#7f7f7f,11,31,0.564,67.0,"Unidos, vender, senor, saludo"
T22_S06,22,6,#7f7f7f,9,18,0.5,45.0,"Atender, sostener, golfo, tropical"
T22_S07,22,7,#7f7f7f,5,7,0.7,43.0,"Ano, edad, duda, manifestar"
T23_S00,23,0,#bcbd22,3,3,1.0,165.0,"Ciudad, madero, viernes"
T23_S01,23,1,#bcbd22,13,55,0.705,94.0,"Riesgo, inmueble, notificar, ocasion"
T23_S02,23,2,#bcbd22,9,25,0.694,93.0,"Proteccion, civil, operativo, regional"
T23_S03,23,3,#bcbd22,8,17,0.607,59.0,"Accion, compromiso, negocio, sustentabilidad"
T23_S04,23,4,#bcbd22,8,18,0.643,53.0,"Desarrollar, prevencion, direccion, entorno"
T23_S05,23,5,#bcbd22,5,8,0.8,51.0,"Centro, sistema, calle, hidalgo"
T23_S06,23,6,#bcbd22,7,15,0.714,50.0,"Curso, labor, area, convocatoria"
T23_S07,23,7,#bcbd22,11,28,0.509,44.0,"Solicitar, vecino, vialidad, manejo"
T23_S08,23,8,#bcbd22,4,5,0.833,40.0,"Hernandez, juan, yadira, localmartes"
