tema_id,n_palabras,n_nodos_grafo,n_aristas_grafo,n_subclusters
0,67,65,558,9
1,53,53,490,8
2,85,85,930,9
3,72,72,707,8
4,74,74,892,10
5,60,60,670,10
6,89,89,1780,13
7,60,60,520,7
8,64,64,661,10
9,70,70,962,9
10,97,97,1299,12
11,110,110,1312,10
12,85,85,1029,9
13,76,76,847,7
14,60,60,888,8
15,45,45,281,5
16,75,75,649,6
17,68,68,689,9
18,83,83,1007,7
19,54,54,374,9
20,61,60,486,9
21,85,85,1480,9
22,84,84,1177,8
23,74,74,836,10
24,72,72,693,10
