palabra,tema_id,sub_id,color_tema,peso_lda,grado_total,grado_intra_sub,grado_intra_cluster,grado_extra,peso_intra_sub,peso_intra_cluster,peso_extra,pagerank,betweenness,clustering_coef,eigenvector,participation,z_within_degree,rol
mexico,3,1,#d62728,0.0301646683365106,15,3,6,6,21.0,32.0,29.0,0.004423,0.020636,0.1524,0.0,0.8711,1.4142,broker
paz,3,1,#d62728,0.0134646603837609,6,1,4,1,8.0,13.0,5.0,0.001555,0.002507,0.2667,0.0,0.7778,0.0,broker
ciento,3,2,#d62728,0.0168249122798442,9,1,5,3,8.0,23.0,12.0,0.002523,0.002037,0.2222,0.0,0.8148,1.4142,broker
promedio,3,2,#d62728,0.0101462574675679,6,1,4,1,8.0,15.0,4.0,0.001582,0.000161,0.4667,0.0,0.7222,0.0,broker
costo,3,4,#d62728,0.0126507775858044,4,1,2,1,8.0,7.0,5.0,0.001129,0.0,0.5,0.0,0.75,-0.7071,broker
pesos,3,4,#d62728,0.0268466062843799,21,1,7,13,8.0,25.0,78.0,0.0051,0.012191,0.2095,0.0,0.9161,1.4142,broker
pan,3,1,#d62728,0.0101309511810541,4,1,3,0,7.0,9.0,0.0,0.001159,0.0,0.6667,0.0,0.5,0.0,broker
acuerdo,3,3,#d62728,0.0166206322610378,15,2,7,6,12.0,29.0,27.0,0.003571,0.016118,0.1048,0.0,0.8711,1.4142,broker
senalar,3,3,#d62728,0.0132061261683702,9,1,6,2,7.0,22.0,10.0,0.002023,0.001295,0.2778,0.0,0.8395,-1.4142,broker
delincuencia,3,0,#d62728,0.0132972812280058,9,2,0,7,14.0,0.0,38.0,0.002099,0.0,0.9722,0.0,0.4938,0.0,periferico
organizado,3,0,#d62728,0.0132454661652445,12,3,1,8,17.0,6.0,41.0,0.002684,0.001872,0.5606,0.0,0.6667,1.4142,broker
detener,3,0,#d62728,0.0100687285885214,11,2,3,6,12.0,11.0,28.0,0.002184,0.00018,0.5455,0.0,0.7107,0.0,broker
noticia,3,1,#d62728,0.0077859233133494,1,1,0,0,6.0,0.0,0.0,0.000601,0.0,0.0,0.0,0.0,-1.4142,periferico
amigo,3,3,#d62728,0.0068069244734942,2,1,1,0,5.0,3.0,0.0,0.000861,0.0,1.0,0.0,0.0,0.0,periferico
perdida,3,2,#d62728,0.0100896451622247,4,0,4,0,0.0,16.0,0.0,0.001083,0.0,0.6667,0.0,0.625,0.0,broker
obtener,3,0,#d62728,0.0134361814707517,2,1,1,0,5.0,5.0,0.0,0.000727,0.0,1.0,0.0,0.5,-1.4142,broker
cuyo,3,4,#d62728,0.0067199389450252,2,0,2,0,0.0,7.0,0.0,0.000667,0.0,1.0,0.0,0.5,-0.7071,broker
directamente,3,2,#d62728,0.0034675514325499,2,0,2,0,0.0,7.0,0.0,0.000678,0.0,0.0,0.0,0.5,-1.4142,broker
oficial,3,3,#d62728,0.0034675509668886,2,0,2,0,0.0,6.0,0.0,0.000734,0.0,1.0,0.0,0.0,0.0,periferico
autoridad,17,2,#c7c7c7,0.0225334204733371,24,2,14,8,15.0,75.0,42.0,0.005595,0.033193,0.2174,0.0,0.8958,1.4142,broker
persona,17,-1,#c7c7c7,0.0336121395230293,35,0,14,21,0.0,77.0,96.0,0.007107,0.015734,0.1496,0.0,0.9486,0.0,broker
investigacion,17,0,#c7c7c7,0.0336753837764263,20,4,6,10,25.0,39.0,43.0,0.004611,0.022495,0.1842,0.0,0.895,1.5076,broker
lograr,17,1,#c7c7c7,0.0225541144609451,16,2,8,6,16.0,29.0,29.0,0.003243,0.003294,0.1833,0.0,0.875,1.206,broker
unidad,17,1,#c7c7c7,0.0225598849356174,14,1,7,6,11.0,29.0,26.0,0.003009,0.001517,0.2198,0.0,0.8571,1.206,broker
atender,17,4,#c7c7c7,0.0225666724145412,8,0,7,1,0.0,38.0,4.0,0.002135,0.00458,0.3929,0.0,0.8125,0.5,broker
padre,17,2,#c7c7c7,0.0115553671494126,7,1,2,4,10.0,10.0,21.0,0.001736,0.000592,0.381,0.0,0.8571,-0.7071,broker
resultado,17,-1,#c7c7c7,0.0225525684654712,10,0,5,5,0.0,29.0,24.0,0.002239,0.000156,0.4889,0.0,0.88,0.0,broker
personal,17,0,#c7c7c7,0.0281582623720169,6,2,4,0,13.0,14.0,0.0,0.001425,0.000142,0.4,0.0,0.6667,0.603,broker
