palabra,tema_id,sub_id,rol,participation,z_within_degree,grado_total
mexico,3,1,broker,0.8711,1.4142,15
paz,3,1,broker,0.7778,0.0,6
ciento,3,2,broker,0.8148,1.4142,9
promedio,3,2,broker,0.7222,0.0,6
costo,3,4,broker,0.75,-0.7071,4
pesos,3,4,broker,0.9161,1.4142,21
pan,3,1,broker,0.5,0.0,4
acuerdo,3,3,broker,0.8711,1.4142,15
senalar,3,3,broker,0.8395,-1.4142,9
delincuencia,3,0,periferico,0.4938,0.0,9
organizado,3,0,broker,0.6667,1.4142,12
detener,3,0,broker,0.7107,0.0,11
noticia,3,1,periferico,0.0,-1.4142,1
amigo,3,3,periferico,0.0,0.0,2
perdida,3,2,broker,0.625,0.0,4
obtener,3,0,broker,0.5,-1.4142,2
cuyo,3,4,broker,0.5,-0.7071,2
directamente,3,2,broker,0.5,-1.4142,2
oficial,3,3,periferico,0.0,0.0,2
autoridad,17,2,broker,0.8958,1.4142,24
persona,17,-1,broker,0.9486,0.0,35
investigacion,17,0,broker,0.895,1.5076,20
lograr,17,1,broker,0.875,1.206,16
unidad,17,1,broker,0.8571,1.206,14
atender,17,4,broker,0.8125,0.5,8
padre,17,2,broker,0.8571,-0.7071,7
resultado,17,-1,broker,0.88,0.0,10
personal,17,0,broker,0.6667,0.603,6
asegurar,17,3,broker,0.8984,0.5774,16
perder,17,3,broker,0.8926,0.5774,11
inmediato,17,0,broker,0.75,-1.206,4
labor,17,1,broker,0.6667,-1.5076,3
elemento,17,1,broker,0.7347,0.3015,7
correspondiente,17,2,broker,0.75,-0.7071,4
diverso,17,0,broker,0.6667,0.603,6
criminal,17,0,periferico,0.4444,-0.3015,3
alcaldesa,17,4,broker,0.8642,0.5,9
colonia,17,4,broker,0.8889,0.5,12
operativo,17,3,broker,0.625,0.5774,4
accion,17,1,broker,0.625,-0.603,4
publico,17,3,broker,0.8571,-1.7321,7
gestion,17,4,periferico,0.0,0.5,1
entidad,17,0,broker,0.7347,-1.206,7
excelente,17,4,broker,0.6667,-2.0,3
vehiculo,17,1,periferico,0.4444,-0.603,3
julio,2,-1,broker,0.96,1.0,40
tampico,2,0,broker,0.9832,1.7321,144
buscar,2,0,broker,0.6111,0.866,6
espacio,2,1,broker,0.875,-0.7071,8
martes,2,1,broker,0.75,1.4142,8
sol,2,2,broker,0.7755,0.0,7
altamira,2,-1,broker,0.8125,1.0,8
recordar,2,0,periferico,0.0,0.0,2
jueves,2,1,broker,0.75,-0.7071,4
encuentro,2,0,broker,0.5,-0.866,2
regresar,2,2,periferico,0.4444,0.0,3
integrante,2,0,broker,0.6875,-0.866,8
localjueves,2,-1,broker,0.5,-1.0,2
semana,2,-1,broker,0.6667,-1.0,3
editorial,2,2,broker,0.7778,0.0,18
parecer,2,0,periferico,0.0,-0.866,1
inversion,18,2,broker,0.876,1.4142,11
seguir,18,1,broker,0.9497,1.4142,26
calidad,18,1,broker,0.6667,-0.7071,3
emergencia,18,0,periferico,0.4444,0.0,3
fuga,18,0,periferico,0.4444,0.0,3
aparecer,18,1,periferico,0.0,-0.7071,1
situacion,18,0,broker,0.8148,0.0,9
publica,18,2,broker,0.8,-0.7071,5
afiliado,18,2,broker,0.5,-0.7071,2
nivel,22,0,broker,0.8264,0.0,11
vida,22,0,broker,0.8978,0.0,15
accidente,22,0,broker,0.8444,0.0,15
guardia,22,2,broker,0.5,0.0,2
registrar,22,2,broker,0.8163,1.4142,7
ingresar,22,3,broker,0.6111,1.4142,6
ubicado,22,3,broker,0.5,-0.7071,2
encontrar,22,1,broker,0.75,1.4142,8
llamado,22,1,broker,0.7778,0.0,6
similar,22,1,broker,0.72,0.0,5
unicamente,22,0,periferico,0.0,0.0,3
francisco,22,2,periferico,0.0,0.0,1
hospital,22,1,broker,0.6667,-1.4142,3
area,22,3,broker,0.5,-0.7071,2
sur,4,0,broker,0.9074,0.0,18
tamaulipas,4,0,broker,0.9797,0.0,95
nacional,4,2,broker,0.9161,1.0,21
final,4,1,broker,0.72,-1.4142,5
norte,4,0,broker,0.625,0.0,4
partido,4,1,broker,0.7901,1.4142,9
cerrar,4,4,periferico,0.4444,-0.7071,3
morena,4,1,broker,0.625,0.0,4
empresario,4,3,broker,0.625,-0.7071,4
civil,4,2,broker,0.8125,1.0,8
junio,4,3,broker,0.75,-0.7071,4
mayo,4,3,periferico,0.4444,1.4142,3
medida,4,2,periferico,0.0,-1.0,1
superar,4,-1,broker,0.6667,0.0,3
electoral,4,1,broker,0.625,0.0,4
litro,4,2,broker,0.5,-1.0,2
anunciar,4,4,broker,0.8359,1.4142,16
destacar,4,-1,periferico,0.0,0.0,1
