palabra,tema_id,sub_id,participation,z_within_degree,grado_total,rol
tampico,2,0,0.9832,1.7321,144,broker
tamaulipas,4,0,0.9797,0.0,95,broker
ciudad,12,2,0.969,0.0,63,broker
familia,15,3,0.9649,1.4142,45,broker
ano,11,4,0.9641,1.4142,59,broker
dafne,12,0,0.9627,1.4142,48,broker
escuela,20,0,0.9607,1.4142,44,broker
julio,2,-1,0.96,1.0,40,broker
justicia,7,1,0.9546,1.4142,39,broker
menor,10,1,0.952,1.4142,39,broker
seguir,18,1,0.9497,1.4142,26,broker
persona,17,-1,0.9486,0.0,35,broker
muerte,24,0,0.9463,1.0928,40,broker
academia,24,2,0.9434,1.0,32,broker
exposicion,23,1,0.9434,0.0,32,broker
madero,24,0,0.9429,1.0928,36,broker
caso,15,-1,0.9422,0.7071,30,broker
fiscalia,7,0,0.94,0.0,20,broker
marina,9,1,0.938,-0.7071,22,broker
millon,14,1,0.9298,0.0,22,broker
prevencion,16,1,0.9297,0.0,21,broker
madre,10,0,0.929,1.4142,26,broker
hija,7,3,0.9273,0.0,27,broker
nina,0,-1,0.9252,0.0,19,broker
salud,10,2,0.9204,-0.7071,17,broker
nino,0,-1,0.92,0.0,20,broker
campamento,7,5,0.9197,0.0,19,broker
pasar,7,7,0.9187,1.4142,23,broker
dia,23,0,0.9187,2.1828,23,broker
gobierno,13,0,0.9172,1.7889,26,broker
