usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
YouTube::@marianamontalvo7530,T00_P1,0,1,12,20.0,2,60,YouTube,T00,T13_S1
YouTube::@JaninaVanessa1000,T00_P1,0,2,6,40.0,1,15,YouTube,T00,T00_S1
YouTube::@myriamjannethtapiaamezcua2141,T00_P1,0,3,5,13.5,1,37,YouTube,T15,T17_S2
YouTube::@AngieAngiedeMexico,T00_P1,0,4,4,17.4,1,23,YouTube,T07,T07_S5
YouTube::@RddStar-y2v4z,T00_P1,0,5,4,30.8,3,13,YouTube,T00,T24_S0
YouTube::@fer3725,T00_P1,0,6,4,26.7,1,15,YouTube,T07,T09_S1
YouTube::@crescenciajarquinelorza4271,T00_P1,0,7,4,15.4,1,26,YouTube,T25,T25_S0
YouTube::@VeronicaMendez-t8o,T00_P1,0,8,4,23.5,4,17,YouTube,T00,T00_S1
YouTube::@mariateresarosas3268,T00_P1,0,9,4,18.2,1,22,YouTube,T25,T25_S2
YouTube::@lizzieguez,T00_P1,0,10,4,16.7,2,24,YouTube,T07,T00_S1
YouTube::@biolvsr1046,T00_P1,0,11,3,20.0,2,15,YouTube,T00,T10_S2
YouTube::@RosalvaOsorio-q6h,T00_P1,0,12,3,27.3,1,11,YouTube,T00,T00_S1
YouTube::@Julio-l7r4e,T00_P1,0,13,3,20.0,3,15,YouTube,T20,T13_S1
YouTube::@JavierNunez-up5kj,T00_P1,0,14,3,21.4,1,14,YouTube,T00,T00_S1
YouTube::@apolinarsanchezmorales621,T00_P1,0,15,3,27.3,1,11,YouTube,T07,T00_S1
YouTube::@h5jy,T00_P1,0,16,3,25.0,1,12,YouTube,T07,T00_S1
YouTube::@marthaverduzco8467,T00_P1,0,17,3,21.4,2,14,YouTube,T00,T15_S3
YouTube::@enriqueymarisol1,T00_P2,0,1,7,41.2,1,17,YouTube,T00,T00_S4
YouTube::@eiguajardo,T00_P2,0,2,6,27.3,2,22,YouTube,T07,T07_S3
YouTube::@DeAndra750,T00_P2,0,3,5,29.4,2,17,YouTube,T00,T20_S0
YouTube::@lucialeguizamon590,T00_P2,0,4,5,50.0,1,10,YouTube,T00,T07_S1
YouTube::@CaroDiaz-m3g,T00_P2,0,5,4,23.5,1,17,YouTube,T07,T15_S0
YouTube::@CarlosEduardo-ul9rt,T00_P2,0,6,4,26.7,2,15,YouTube,T13,T13_S2
YouTube::@LuisTorres-kl1zv,T00_P2,0,7,4,44.4,2,9,YouTube,T00,T10_S0
YouTube::@ChololokoPorro,T00_P2,0,8,4,44.4,2,9,YouTube,T00,T00_S2
YouTube::@CristianJonathanRodríguezR-d4v,T00_P2,0,9,4,13.3,1,30,YouTube,T03,T25_S0
YouTube::@CristinaTorres-fw1kw,T00_P2,0,10,4,20.0,1,20,YouTube,T07,T07_S3
YouTube::@LourdesJovitaSolisCruz-g5h3v,T00_P2,0,11,3,21.4,2,14,YouTube,T07,T11_S4
YouTube::@Liliana-ut6ir,T00_P2,0,12,3,30.0,2,10,YouTube,T00,T25_S0
YouTube::@JesusAlejandrobg1,T00_P2,0,13,3,21.4,1,14,YouTube,T00,T13_S1
YouTube::@DulceCorazónLealSosa,T00_P2,0,14,3,50.0,1,6,YouTube,T00,T11_S4
YouTube::@candelariarosascastro8516,T00_P2,0,15,3,50.0,1,6,YouTube,T00,T07_S6
YouTube::@RinconesdeMexico3027,T00_P2,0,16,3,42.9,2,7,YouTube,T00,T00_S3
YouTube::@karenchic4860,T00_P2,0,17,3,16.7,1,18,YouTube,T00,T02_S0
YouTube::@mariluroman5709,T00_P2,0,18,3,23.1,2,13,YouTube,T00,T17_S2
Instagram::monicavtampico,T01_P1,1,1,23,13.6,6,169,Instagram,T23,T02_S0
Instagram::turismotampico,T01_P1,1,2,9,19.1,3,47,Instagram,T01,T01_S1
Facebook::Ana Laura E P,T01_P1,1,3,6,60.0,6,10,Facebook,T01,T01_S0
TikTok::monicavtampico,T01_P1,1,4,6,12.5,2,48,TikTok,T05,T02_S0
Facebook::Francisco Adrian Pallares Martinez,T01_P1,1,5,4,80.0,4,5,Facebook,T01,T01_S0
Medios::El Sol de México,T02_P1,2,1,146,13.1,57,1111,Medios,T24,T24_S0
Facebook::Tampico Gob,T02_P1,2,2,9,13.0,3,69,Facebook,T21,T02_S0
Twitter::@VoxPopuliNoti,T02_P1,2,3,6,14.0,3,43,Twitter,T16,T16_S0
Instagram::turismotampico,T02_P1,2,4,6,12.8,3,47,Instagram,T01,T01_S1
Instagram::juanpizanamtz,T02_P1,2,5,5,21.7,1,23,Instagram,T02,T02_S0
YouTube::@RobertValenciaPIrob,T02_P1,2,6,5,45.5,2,11,YouTube,T02,T02_S0
TikTok::prevenciondelitotampico,T02_P1,2,7,4,14.8,1,27,TikTok,T16,T02_S0
Instagram::prevencion.delito_tampico,T02_P1,2,8,4,13.3,1,30,Instagram,T21,T21_S2
