id_global,tema_id,sub_id,nombre_subtema,resumen_subtema,top_terminos,n_palabras,n_aristas,densidad,peso_total
T31_S00,31,0,"Proteccion, civil, coordinacion, ejercicio","Subtema T31.S00 centrado en proteccion, civil, coordinacion, ejercicio, marin, simulacro; conecta tambien contingencia.","proteccion, civil, coordinacion, ejercicio, marin, simulacro, contingencia",7,20,0.952,712.0
T31_S01,31,1,"Seguridad, seguro, vial, publica","Subtema T31.S01 centrado en seguridad, seguro, vial, publica, movilidad, patrimonio; conecta tambien tranquilidad.","seguridad, seguro, vial, publica, movilidad, patrimonio, tranquilidad",7,18,0.857,543.0
T31_S02,31,2,"Accion, contribuir, reforzar, preventivo","Subtema T31.S02 centrado en accion, contribuir, reforzar, preventivo, prevenir, implementar; conecta tambien fortalecimiento, destinado, tarea, prioritario.","accion, contribuir, reforzar, preventivo, prevenir, implementar, fortalecimiento, destinado, tarea, prioritario",10,41,0.911,375.0
T31_S03,31,3,"Permitir, estrategia, inversion, capacidad","Subtema T31.S03 centrado en permitir, estrategia, inversion, capacidad, establecer, ampliar; conecta tambien invertir, tecnologia, experto, cientifico, potencial.","permitir, estrategia, inversion, capacidad, establecer, ampliar, invertir, tecnologia, experto, cientifico, potencial",11,47,0.855,360.0
T31_S04,31,4,"Cabo, ayuntamiento, encabezado, cabildo","Subtema T31.S04 centrado en cabo, ayuntamiento, encabezado, cabildo, sesion, representacion; conecta tambien ordenado.","cabo, ayuntamiento, encabezado, cabildo, sesion, representacion, ordenado",7,18,0.857,303.0
T31_S05,31,5,"Continuar, diverso, delito, relacionado","Subtema T31.S05 centrado en continuar, diverso, delito, relacionado, asimismo, disposicion; conecta tambien disminuir, institucional, indicador, vinculacion.","continuar, diverso, delito, relacionado, asimismo, disposicion, disminuir, institucional, indicador, vinculacion",10,38,0.844,279.0
T31_S06,31,6,"Secretaria, estatal, instalacion, defensa","Subtema T31.S06 centrado en secretaria, estatal, instalacion, defensa, comite.","secretaria, estatal, instalacion, defensa, comite",5,9,0.9,277.0
T31_S07,31,7,"Resultado, participacion, conjunto, encabezar","Subtema T31.S07 centrado en resultado, participacion, conjunto, encabezar, coordinado, reflejar; conecta tambien consolidar.","resultado, participacion, conjunto, encabezar, coordinado, reflejar, consolidar",7,21,1.0,245.0
T31_S08,31,8,"Prevencion, control, integral, especializado","Subtema T31.S08 centrado en prevencion, control, integral, especializado, prioridad, enfocado; conecta tambien manejo, cecodiat.","prevencion, control, integral, especializado, prioridad, enfocado, manejo, cecodiat",8,25,0.893,177.0
T31_S09,31,9,"Municipio, integrar, porteno, incidencia","Subtema T31.S09 centrado en municipio, integrar, porteno, incidencia, festejo.","municipio, integrar, porteno, incidencia, festejo",5,8,0.8,86.0
T31_S10,31,10,"Institucion, capacitacion, plantel, coordinar","Subtema T31.S10 centrado en institucion, capacitacion, plantel, coordinar, docente, certificacion; conecta tambien arranque, asuntos.","institucion, capacitacion, plantel, coordinar, docente, certificacion, arranque, asuntos",8,19,0.679,86.0
T31_S11,31,11,"Objetivo, garantizar, instruccion, creacion","Subtema T31.S11 centrado en objetivo, garantizar, instruccion, creacion, pacifico.","objetivo, garantizar, instruccion, creacion, pacifico",5,10,1.0,82.0
T31_S12,31,12,"Sistema, organismo, proposito, materia","Subtema T31.S12 centrado en sistema, organismo, proposito, materia.","sistema, organismo, proposito, materia",4,6,1.0,70.0
T31_S13,31,13,"Reunion, director, alianza","Subtema T31.S13 centrado en reunion, director, alianza.","reunion, director, alianza",3,3,1.0,38.0
T32_S00,32,0,"Jajajaja, guanajuato, panista, coahuila","Subtema T32.S00 centrado en jajajaja, guanajuato, panista, coahuila, chihuahua, inepto; conecta tambien aguantar, aguascalientes, asegurado, miss, empleada, psicologia.","jajajaja, guanajuato, panista, coahuila, chihuahua, inepto, aguantar, aguascalientes, asegurado, miss, empleada, psicologia",14,45,0.495,183.0
T32_S01,32,1,"Partido, movimiento, estadio, horario","Subtema T32.S01 centrado en partido, movimiento, estadio, horario, emocionar, hampon.","partido, movimiento, estadio, horario, emocionar, hampon",6,9,0.6,175.0
T32_S02,32,2,"Natural, edificio, nader, chucho","Subtema T32.S02 centrado en natural, edificio, nader, chucho, conservar, preservar; conecta tambien tecnica, habitat, cable, diputacion, tortuga, ahh.","natural, edificio, nader, chucho, conservar, preservar, tecnica, habitat, cable, diputacion, tortuga, ahh",18,48,0.314,137.0
T32_S03,32,3,"Mentiroso, suerte, asunto, cuestion","Subtema T32.S03 centrado en mentiroso, suerte, asunto, cuestion, tamano, guapo; conecta tambien chulado, miren, qui, laborar, imaginate, washington.","mentiroso, suerte, asunto, cuestion, tamano, guapo, chulado, miren, qui, laborar, imaginate, washington",13,46,0.59,115.0
T32_S04,32,4,"Presion, toma, descubrir, alta","Subtema T32.S04 centrado en presion, toma, descubrir, alta, colosio, exploracion; conecta tambien donaldo, retroceso, mora, deteccion, champayan, indebido.","presion, toma, descubrir, alta, colosio, exploracion, donaldo, retroceso, mora, deteccion, champayan, indebido",14,36,0.396,93.0
T32_S05,32,5,"Oficial, pagina, facebook, acerca","Subtema T32.S05 centrado en oficial, pagina, facebook, acerca, junta, tele; conecta tambien capitulo, anunciado, reclutamiento, nautico, muneco.","oficial, pagina, facebook, acerca, junta, tele, capitulo, anunciado, reclutamiento, nautico, muneco",11,27,0.491,81.0
T32_S06,32,6,"Increible, compra, limite, ahorro","Subtema T32.S06 centrado en increible, compra, limite, ahorro, pas, traje; conecta tambien carton, palenque, nervio, meme, triple, dieta.","increible, compra, limite, ahorro, pas, traje, carton, palenque, nervio, meme, triple, dieta",12,30,0.455,71.0
T32_S07,32,7,"Grave, genero, adolescente, sexual","Subtema T32.S07 centrado en grave, genero, adolescente, sexual, delitos, combo; conecta tambien radical, alternativo, deposito.","grave, genero, adolescente, sexual, delitos, combo, radical, alternativo, deposito",9,20,0.556,71.0
T32_S08,32,8,"Bolsa, recoger, cartilla, plastico","Subtema T32.S08 centrado en bolsa, recoger, cartilla, plastico, volumen, mango; conecta tambien congresista.","bolsa, recoger, cartilla, plastico, volumen, mango, congresista",7,10,0.476,48.0
T32_S09,32,9,"Che, tommavi, lei","Subtema T32.S09 centrado en che, tommavi, lei.","che, tommavi, lei",3,3,1.0,44.0
T32_S10,32,10,"Dato, acceder, tamaulipa, cajero","Subtema T32.S10 centrado en dato, acceder, tamaulipa, cajero, tramitar, pintado; conecta tambien garra.","dato, acceder, tamaulipa, cajero, tramitar, pintado, garra",7,12,0.571,38.0
T32_S11,32,11,"Negar, chayote, pluris, esperer","Subtema T32.S11 centrado en negar, chayote, pluris, esperer, leyenda.","negar, chayote, pluris, esperer, leyenda",5,6,0.6,16.0
T32_S12,32,12,"Vencer, renunciar, desempenar, barrer","Subtema T32.S12 centrado en vencer, renunciar, desempenar, barrer.","vencer, renunciar, desempenar, barrer",4,5,0.833,12.0
T32_S13,32,13,"Comunicacion, concesion, uresti","Subtema T32.S13 centrado en comunicacion, concesion, uresti.","comunicacion, concesion, uresti",3,2,0.667,5.0
T33_S00,33,0,"Madre, hijo, hija, estudiar","Subtema T33.S00 centrado en madre, hijo, hija, estudiar, abandono, tragar; conecta tambien manipulacion.","madre, hijo, hija, estudiar, abandono, tragar, manipulacion",7,16,0.762,375.0
T33_S01,33,1,"Perder, dolor, llorar, sufrir","Subtema T33.S01 centrado en perder, dolor, llorar, sufrir, perdida, resignacion; conecta tambien oracion, manifestar, lagrima, delicado, sentado, sensible.","perder, dolor, llorar, sufrir, perdida, resignacion, oracion, manifestar, lagrima, delicado, sentado, sensible",16,58,0.483,296.0
T33_S02,33,2,"Amar, papa, reir, ensenar","Subtema T33.S02 centrado en amar, papa, reir, ensenar, taco, infinito; conecta tambien muchisimo, mami, pastor, honduras, placer, anda.","amar, papa, reir, ensenar, taco, infinito, muchisimo, mami, pastor, honduras, placer, anda",17,63,0.463,203.0
T33_S03,33,3,"Libro, recomendar, exceso, porunavidasexy","Subtema T33.S03 centrado en libro, recomendar, exceso, porunavidasexy, ficcion, stand; conecta tambien demandar, teoria, cristiano, disponer, cronista.","libro, recomendar, exceso, porunavidasexy, ficcion, stand, demandar, teoria, cristiano, disponer, cronista",11,23,0.418,119.0
T33_S04,33,4,"Cabeza, bastar, rato, asco","Subtema T33.S04 centrado en cabeza, bastar, rato, asco, paro, podrido; conecta tambien pendejada, raza, progresar, chela.","cabeza, bastar, rato, asco, paro, podrido, pendejada, raza, progresar, chela",10,37,0.822,110.0
T33_S05,33,5,"Quitar, miedo, bajar, dedicar","Subtema T33.S05 centrado en quitar, miedo, bajar, dedicar, lengua, etica.","quitar, miedo, bajar, dedicar, lengua, etica",6,13,0.867,99.0
T33_S06,33,6,"Tirar, funcionar, afuera, zapato","Subtema T33.S06 centrado en tirar, funcionar, afuera, zapato, vendar, ban; conecta tambien enfrente, punta, vela, recolector, huelga.","tirar, funcionar, afuera, zapato, vendar, ban, enfrente, punta, vela, recolector, huelga",11,29,0.527,86.0
T33_S07,33,7,"Pensar, horrible, chica, bano","Subtema T33.S07 centrado en pensar, horrible, chica, bano, chavo, gala; conecta tambien tonka.","pensar, horrible, chica, bano, chavo, gala, tonka",7,16,0.762,68.0
T33_S08,33,8,"Pena, valer, descaro","Subtema T33.S08 centrado en pena, valer, descaro.","pena, valer, descaro",3,3,1.0,49.0
T33_S09,33,9,"Senor, tranquilo, corto, cuota","Subtema T33.S09 centrado en senor, tranquilo, corto, cuota, asaltar.","senor, tranquilo, corto, cuota, asaltar",5,9,0.9,48.0
T33_S10,33,10,"Morir, inocente, sangre, blindado","Subtema T33.S10 centrado en morir, inocente, sangre, blindado, cuchillo, nayarit.","morir, inocente, sangre, blindado, cuchillo, nayarit",6,12,0.8,46.0
T33_S11,33,11,"Alguien, suponer, lavar, sobrar","Subtema T33.S11 centrado en alguien, suponer, lavar, sobrar, gris, plato.","alguien, suponer, lavar, sobrar, gris, plato",6,11,0.733,45.0
T33_S12,33,12,"Tocar, tio, romper, carteles","Subtema T33.S12 centrado en tocar, tio, romper, carteles, oficio, caracteristico.","tocar, tio, romper, carteles, oficio, caracteristico",6,12,0.8,45.0
T33_S13,33,13,"Regresar, traicion, rey, proceder","Subtema T33.S13 centrado en regresar, traicion, rey, proceder, modificacion, jugada; conecta tambien calculo.","regresar, traicion, rey, proceder, modificacion, jugada, calculo",7,12,0.571,34.0
T33_S14,33,14,"Amigo, hermano, dale","Subtema T33.S14 centrado en amigo, hermano, dale.","amigo, hermano, dale",3,3,1.0,30.0
T33_S15,33,15,"Mente, pertenecer, pelear, delante","Subtema T33.S15 centrado en mente, pertenecer, pelear, delante, ola.","mente, pertenecer, pelear, delante, ola",5,9,0.9,18.0
T33_S16,33,16,"Fallecer, arco, tigre, comunicador","Subtema T33.S16 centrado en fallecer, arco, tigre, comunicador, ponce.","fallecer, arco, tigre, comunicador, ponce",5,6,0.6,17.0
