usuario,posicion_id,tema_id,rank_en_posicion,conteo_tema,pct_usuario_en_tema,n_msgs,n_palabras,plataformas,tema_dominante,sub_dominante
Twitter::@JuanPizanaMtz,T08_P2,8,5,15,22.1,6,68,Twitter,T08,T08_S1
Facebook::Aj Segovia,T08_P2,8,6,12,17.4,24,69,Facebook,T08,T04_S0
Facebook::Emmanuel Diaz,T08_P2,8,7,11,23.9,60,46,Facebook,T08,T08_S0
Facebook::Vik Anto,T08_P2,8,8,10,76.9,1,13,Facebook,T08,T08_S1
Facebook::Jorge Hernández Martínez,T08_P2,8,9,9,69.2,3,13,Facebook,T08,T08_S0
Facebook::Irene Almendarez Moreno,T08_P2,8,10,9,37.5,22,24,Facebook,T08,T02_S1
Facebook::Instituto de la Juventud Tampico,T08_P2,8,11,9,13.6,2,66,Facebook,T13,T13_S0
Facebook::Gladis Rojas,T08_P2,8,12,8,50.0,8,16,Facebook,T02,T02_S1
Facebook::Ricardo Moreno C,T08_P2,8,13,7,63.6,1,11,Facebook,T08,T08_S1
Facebook::Visión Ciudadana con Brianda Quintero,T08_P2,8,14,6,54.5,1,11,Facebook,T08,T08_S1
Twitter::@Vachyo,T08_P2,8,15,6,18.2,3,33,Twitter,T11,T11_S2
Facebook::Perlita Mayorga,T08_P2,8,16,6,37.5,6,16,Facebook,T08,T02_S1
YouTube::@timoteomiranda5005,T08_P2,8,17,6,22.2,1,27,YouTube,T08,T08_S0
Facebook::MATERIALES PARA TUS MANUALIDADES,T08_P2,8,18,5,38.5,2,13,Facebook,T08,T08_S2
YouTube::@ruthherediaalizota8865,T08_P2,8,19,5,33.3,1,15,YouTube,T08,T10_S1
YouTube::@gabrielaAlcántara-v3i,T08_P2,8,20,5,50.0,1,10,YouTube,T08,T08_S2
Facebook::Martin Villeda,T08_P2,8,21,5,41.7,2,12,Facebook,T08,T08_S0
Facebook::Gonzalo Soulés Gar,T08_P2,8,22,4,26.7,7,15,Facebook,T02,T02_S1
Facebook::Jorge De la Peña,T08_P2,8,23,4,57.1,1,7,Facebook,T08,T08_S1
Facebook::Anita Rodriguez,T08_P2,8,24,4,36.4,1,11,Facebook,T08,T08_S0
Facebook::Badir Alvarado Maldonado,T08_P2,8,25,4,80.0,2,5,Facebook,T08,T08_S1
Facebook::Mirna Leticia Fernandez Hernandez,T08_P2,8,26,4,28.6,1,14,Facebook,T08,T06_S0
Facebook::Blanca Maldonado Hdz,T08_P2,8,27,4,28.6,2,14,Facebook,T08,T12_S0
Facebook::Isa Guzman,T08_P2,8,28,4,26.7,7,15,Facebook,T02,T02_S1
Twitter::@arturoavila_mx,T08_P2,8,29,4,21.1,1,19,Twitter,T04,T04_S0
Twitter::@IldaServin90245,T08_P2,8,30,4,13.3,2,30,Twitter,T12,T12_S4
YouTube::@franciscojaviergutierrezgu7196,T08_P2,8,31,4,28.6,1,14,YouTube,T08,T08_S0
YouTube::@MarFar-v4x,T08_P2,8,32,4,50.0,1,8,YouTube,T08,T08_S2
Twitter::@tuespacio_1,T08_P2,8,33,4,18.2,3,22,Twitter,T11,T08_S2
Facebook::Zr Loredo,T08_P2,8,34,4,28.6,9,14,Facebook,T08,T08_S1
Facebook::Erika Rubalcava,T08_P2,8,35,3,12.5,1,24,Facebook,T04,T04_S0
Facebook::Roxanna Rachel Gonza,T08_P2,8,36,3,42.9,4,7,Facebook,T02,T02_S1
Facebook::Paola Delsol,T08_P2,8,37,3,42.9,37,7,Facebook,T08,T04_S0
Facebook::Marina Gonzalez Ocañas,T08_P2,8,38,3,30.0,3,10,Facebook,T08,T08_S1
Facebook::Pabel Robles,T08_P2,8,39,3,18.8,3,16,Facebook,T03,T03_S2
Facebook::Maria Elia Buendia Monsalve,T08_P2,8,40,3,42.9,1,7,Facebook,T08,T01_S0
Facebook::Cristina Pina Cruz,T08_P2,8,41,3,21.4,8,14,Facebook,T02,T02_S1
Facebook::Delfina Sanchez Peralta,T08_P2,8,42,3,12.5,1,24,Facebook,T04,T04_S0
Twitter::@Formula_Mty,T08_P2,8,43,3,16.7,2,18,Twitter,T04,T04_S2
YouTube::@CristinaManterola,T08_P2,8,44,3,13.0,1,23,YouTube,T12,T10_S3
YouTube::@CarlosJimenez-kw6fb,T08_P2,8,45,3,14.3,1,21,YouTube,T11,T10_S0
YouTube::@AnaMariaCarrillo-m6d,T08_P2,8,46,3,23.1,1,13,YouTube,T08,T08_S2
Twitter::@scorpiogirl281,T08_P2,8,47,3,42.9,1,7,Twitter,T08,T08_S4
Facebook::Silvia Santamaria,T08_P2,8,48,3,42.9,5,7,Facebook,T02,T02_S0
YouTube::@Farm090,T08_P2,8,49,3,42.9,1,7,YouTube,T08,T08_S3
YouTube::@PP-p4c,T08_P2,8,50,3,21.4,1,14,YouTube,T08,T06_S0
YouTube::@RitaMariaÁvalosFlores,T08_P2,8,51,3,27.3,1,11,YouTube,T08,T08_S1
YouTube::@danielmeza130,T08_P2,8,52,3,16.7,1,18,YouTube,T11,T11_S0
YouTube::@cachipum,T08_P2,8,53,3,27.3,1,11,YouTube,T08,T11_S3
YouTube::@angelabertran1433,T08_P2,8,54,3,33.3,1,9,YouTube,T08,T08_S2
YouTube::@ags5941,T08_P2,8,55,3,33.3,1,9,YouTube,T09,T08_S2
YouTube::@javierchumacero2127,T08_P2,8,56,3,27.3,3,11,YouTube,T04,T08_S2
YouTube::@imeldamontalvo5847,T08_P2,8,57,3,27.3,1,11,YouTube,T09,T04_S1
YouTube::@mariaalbisu-iribe1715,T08_P2,8,58,3,25.0,1,12,YouTube,T11,T11_S0
YouTube::@yoyelcuba9219,T08_P2,8,59,3,23.1,1,13,YouTube,T11,T08_S0
YouTube::@prettypilotvalencia5983,T09_P1,9,1,13,30.2,1,43,YouTube,T09,T09_S2
Twitter::@JMMartinezPiva,T09_P1,9,2,10,18.2,4,55,Twitter,T09,T09_S2
YouTube::@BRORION11,T09_P1,9,3,9,25.7,1,35,YouTube,T11,T09_S0
Twitter::@jgutierrrezvega,T09_P1,9,4,8,17.0,3,47,Twitter,T09,T09_S2
YouTube::@BlancaRamirezflores,T09_P1,9,5,7,28.0,1,25,YouTube,T09,T09_S0
YouTube::@luztorresruiz7480,T09_P1,9,6,7,25.9,1,27,YouTube,T09,T12_S0
YouTube::@graamae,T09_P1,9,7,7,25.9,1,27,YouTube,T09,T09_S4
YouTube::@alvarolopez50,T09_P1,9,8,7,13.0,1,54,YouTube,T14,T14_S4
Twitter::@IldaServin90245,T09_P1,9,9,6,20.0,2,30,Twitter,T12,T12_S4
Twitter::@BtzaB,T09_P1,9,10,6,54.5,1,11,Twitter,T09,T09_S1
YouTube::@BlancaGuzman-v3i,T09_P1,9,11,5,27.8,1,18,YouTube,T12,T12_S4
YouTube::@RaulHernandez_G,T09_P1,9,12,5,18.5,1,27,YouTube,T11,T11_S1
YouTube::@rollingloudadelina,T09_P1,9,13,5,23.8,1,21,YouTube,T09,T11_S0
YouTube::@audenmar117,T09_P1,9,14,5,45.5,1,11,YouTube,T09,T09_S4
YouTube::@anaevelyn4627,T09_P1,9,15,5,22.7,1,22,YouTube,T09,T09_S0
Facebook::Rafa Puga,T09_P1,9,16,4,26.7,1,15,Facebook,T10,T10_S0
Twitter::@Sekzher,T09_P1,9,17,4,66.7,3,6,Twitter,T09,T09_S2
Twitter::@ONUMX,T09_P1,9,18,4,30.8,1,13,Twitter,T09,T09_S2
Twitter::@Notmeanymore01,T09_P1,9,19,4,13.8,4,29,Twitter,T11,T09_S0
YouTube::@josefinamorales9177,T09_P1,9,20,4,44.4,1,9,YouTube,T09,T09_S0
YouTube::@imeldamontalvo5847,T09_P1,9,21,4,36.4,1,11,YouTube,T09,T04_S1
YouTube::@PedroGonzalez-hw9tl,T09_P1,9,22,4,50.0,1,8,YouTube,T09,T09_S0
YouTube::@profr.pedromm6802,T09_P1,9,23,4,28.6,1,14,YouTube,T09,T09_S0
YouTube::@vectormart9828,T09_P1,9,24,4,40.0,1,10,YouTube,T09,T09_S0
YouTube::@newcruiser,T09_P1,9,25,4,21.1,1,19,YouTube,T11,T04_S3
YouTube::@Ivette_Moctezuma,T09_P1,9,26,3,16.7,1,18,YouTube,T10,T13_S3
YouTube::@EstelaGomez-b1x,T09_P1,9,27,3,60.0,1,5,YouTube,T09,T09_S0
