termino_interno,termino_externo,weight
querer,seguir,157
querer,tampico,156
gente,tampico,146
querer,ano,134
querer,mexico,130
dejar,tampico,126
pasar,ano,125
pasar,dia,122
gente,gobierno,121
apoyar,tampico,116
gente,gracias,112
querer,dia,109
querer,vida,108
gente,seguir,107
gente,presidenta,105
pasar,tampico,105
dejar,mexico,103
pasar,mexico,101
querer,gracias,98
gente,excelente,97
apoyar,presidenta,97
gente,monica,94
querer,mujer,94
querer,pais,93
dejar,ano,91
venir,tampico,91
dejar,dia,88
querer,gobierno,88
querer,familia,86
querer,vivir,84
querer,creer,84
gente,villarreal,81
gente,pueblo,81
querer,salir,81
gente,mexico,80
dejar,seguir,79
querer,pueblo,78
pasar,seguir,78
dejar,gobierno,77
dejar,tamaulipas,76
dejar,vida,76
querer,persona,76
gente,dia,75
apoyar,gracias,74
querer,presidenta,74
gente,persona,72
dejar,persona,72
querer,madre,72
pasar,gobierno,71
hablar,mexico,71
pasar,tamaulipas,71
dejar,pais,70
querer,pagar,70
gente,ano,69
gente,creer,68
querer,politico,68
querer,presidente,68
pasar,gracias,67
querer,deber,67
apoyar,excelente,66
favor,tampico,66
gente,ciudad,65
querer,llegar,65
venir,ano,64
apoyar,seguir,64
querer,quedar,63
querer,mexicano,63
gente,deber,63
querer,dinero,62
gente,pais,62
dejar,gracias,61
mano,seguir,61
querer,cosa,61
apoyar,monica,59
pasar,pais,59
gente,casa,58
pasar,basura,58
mano,tampico,58
precio,pesos,57
querer,mal,57
dejar,alias,57
dejar,madre,56
dejar,ciudad,55
pasar,deber,55
gente,llegar,55
dejar,llegar,55
apoyar,mexico,54
pasar,llegar,54
pendiente,excelente,53
querer,monica,53
pasar,familia,53
dejar,mujer,53
hablar,tampico,53
dejar,deber,53
querer,volver,53
gente,alcaldesa,52
gente,vivir,52
hablar,mal,52
donde,tampico,52
querer,hermoso,51
apoyar,villarreal,51
gente,mexicano,51
apoyar,gobierno,51
querer,pedir,51
querer,fuerte,51
pasar,creer,51
hablar,ano,50
dejar,creer,50
pasar,mal,50
pasar,presidenta,49
querer,ciudad,49
pasar,casa,49
pasar,pueblo,49
pasar,cosa,49
querer,claudia,49
querer,mama,49
querer,necesitar,49
querer,corazon,49
favor,presidenta,48
gente,salir,48
pasar,calle,48
querer,buscar,48
querer,alias,48
pendiente,tampico,47
querer,puro,47
pasar,vida,47
querer,esperar,46
querer,villarreal,46
venir,gracias,46
dejar,vivir,46
favor,ano,46
apoyar,familia,46
querer,mundo,46
querer,seguro,46
gente,familia,45
querer,tamaulipas,45
dejar,robar,45
dejar,presidenta,45
querer,apoyo,45
querer,mes,45
venir,mexico,45
querer,morena,45
querer,casa,45
claro,tampico,44
querer,sacar,44
dejar,mexicano,44
gente,vida,44
querer,amor,44
pasar,persona,44
favor,seguir,43
gente,quedar,43
dejar,pedir,43
dejar,dinero,43
querer,trump,43
querer,hijo,43
pasar,salir,43
dejar,familia,43
mensaje,tampico,43
hablar,dia,42
favor,gracias,42
dejar,quedar,42
pasar,mujer,42
hablar,pais,42
querer,gustar,42
querer,contar,42
querer,video,42
dejar,salir,41
querer,andar,41
gente,mal,41
pendiente,presidenta,41
venir,dia,40
gente,apoyo,40
querer,narco,40
querer,final,40
querer,justicia,40
precio,tampico,40
pendiente,villarreal,39
apoyar,alcaldesa,39
favor,dia,39
pasar,sheinbaum,39
gente,dinero,39
pasar,quedar,39
gente,hermoso,39
dejar,mal,39
pasar,ciudad,39
dejar,zona,39
venir,gobierno,38
venir,familia,38
querer,llamar,38
querer,robar,38
pasar,altamira,38
hablar,mujer,38
querer,amar,38
gente,puro,38
dejar,historia,38
apoyar,tamaulipas,38
claro,seguir,37
hablar,presidenta,37
dejar,publico,37
dejar,pueblo,37
