termino_interno,termino_externo,weight
viva,mexico,166
viva,presidenta,79
obrador,lopez,76
saludo,tampico,73
saludo,excelente,70
saludo,presidenta,69
saludos,tampico,61
bendiga,presidenta,59
adolfo,ruiz,59
saludos,presidenta,57
saludo,monica,55
adolfo,nunez,55
saludo,bendicion,54
saludo,gracias,54
saludos,excelente,50
saludo,villarreal,50
saludos,monica,48
viva,tampico,48
viva,claudia,47
bendiga,gracias,46
viva,gracias,44
viva,morena,43
saludos,villarreal,42
viva,mexicano,42
viva,pueblo,40
ala,presidenta,38
saludo,felicidad,38
saludo,dia,35
saludo,ano,35
viva,vivir,35
fan,tampico,35
mundialista,tampico,35
saludo,familia,34
viva,hermoso,34
saludos,gracias,33
saludo,alcaldesa,32
viva,excelente,32
saludo,felicidades,31
amlo,claudia,31
amlo,mexico,31
obrador,andres,31
fan,mexico,31
olimpiada,nacional,31
saludo,seguir,30
saludo,hermoso,30
bendiga,tampico,30
amlo,pueblo,29
saludo,feliz,29
saludo,mexico,28
amlo,morena,28
obrador,manuel,28
amlo,presidente,27
viva,gobierno,27
ratero,narco,27
mundialista,mundial,27
saludos,dia,26
ala,gracias,26
viva,pais,26
fan,gustar,26
viva,monica,26
fan,destacado,26
saludos,alcaldesa,25
bendiga,monica,25
prian,pueblo,25
prian,querer,25
viva,seguir,25
adolfo,tampico,25
olimpiada,medalla,25
prian,mexico,24
dra,presidenta,24
saludo,querer,24
viva,felicidades,24
ala,excelente,24
saludos,hermoso,23
bendiga,villarreal,23
viva,tamaulipas,23
viva,gente,23
obrador,presidente,23
bendiga,alcaldesa,22
ala,tampico,22
ala,seguir,22
mentira,mexico,22
prian,gobierno,22
encantar,gracias,22
saludos,bendicion,22
bendiga,excelente,22
fan,rene,22
olimpiada,tamaulipas,22
terremoto,venezuela,22
saludos,feliz,21
saludo,abrazo,21
dra,claudia,21
viva,dejar,21
prian,pais,21
saludos,mexico,21
ratero,corrupto,21
saludo,gracia,21
mentira,puro,21
saludos,ano,21
saludos,gente,21
viva,trump,21
saludos,seguir,20
saludos,lic,20
saludo,tamaulipas,20
amlo,presidenta,20
amlo,gracias,20
moren,mexico,20
mentira,seguir,20
saludo,esperar,20
zocalo,mexico,20
saludo,gente,20
artificial,inteligencia,20
cuadro,ciudad,20
encantar,tampico,20
bendiga,felicidades,20
ala,villarreal,20
fan,responder,20
saludo,coso,20
fan,spartir,20
saludos,felicidades,19
saludos,pueblo,19
ratero,mexico,19
amlo,mexicano,19
saludo,hola,19
mentira,presidente,19
prian,seguir,19
amlo,seguir,19
prian,corrupto,19
mentira,creer,19
ala,monica,19
monto,pesos,19
saludo,tampicovacontodo,18
saludos,felicidad,18
terremoto,empezar,18
obrador,mexico,18
obrador,pais,18
obrador,pueblo,18
fan,amar,18
mentira,pasar,18
pregunta,deber,18
viva,querer,18
moren,morena,18
bendiga,familia,18
obrador,gobierno,18
rico,tampico,18
viva,pasar,18
adolfo,mundial,18
fan,sem,18
terremoto,pedir,18
terremoto,doble,18
saludos,familia,17
saludos,ciudad,17
propiedad,tampico,17
encantar,bonito,17
amlo,lopez,17
bendiga,hermoso,17
obrador,claudia,17
viva,amar,17
saludo,presidente,17
saludo,ciudad,17
juicio,politico,17
ala,mexico,17
encantar,hermoso,17
moren,gobierno,17
saludo,gobierno,17
rico,gobierno,17
saludos,gustar,17
bendiga,feliz,17
prian,morena,17
saludos,dejar,17
zocalo,tampico,17
rico,villarreal,17
viva,mujer,17
patio,tampico,17
fan,lara,17
saludo,apoyar,17
suspension,servicio,17
monto,millon,17
terremoto,ayuda,17
terremoto,volver,17
terremoto,mundotrump,17
terremoto,negar,17
terremoto,maria,17
terremoto,corina,17
terremoto,machado,17
terremoto,viajar,17
ala,gente,16
saludo,exito,16
zocalo,ano,16
saludo,video,16
dra,pardo,16
bendiga,fuerte,16
obrador,dejar,16
amlo,dejar,16
amlo,sheinbaum,16
viva,presidente,16
saludo,pueblo,16
viva,deber,16
fan,gracias,16
viva,bendicion,16
