termino_interno,termino_externo,weight
publico,tampico,263
publico,servicio,149
ciudadano,tampico,128
publico,tamaulipas,118
publico,espacio,114
publico,gobierno,105
hernandez,yadira,99
publico,transporte,96
publico,seguir,92
publico,municipal,92
publico,ciudad,91
juan,pablo,91
publico,villarreal,89
publico,monica,86
publico,seguridad,86
publico,fortalecer,77
erasmo,gonzalez,77
secretario,tampico,77
secretario,tamaulipas,75
robledo,gonzalez,72
politico,partido,70
publico,presidenta,69
politico,querer,68
hernandez,tampico,68
alcalde,tampico,67
publico,ano,66
publico,secretaria,64
erasmo,madero,64
publico,familia,63
martinez,altamira,63
armando,altamira,63
politico,gobierno,62
politico,mexico,62
carlos,tampico,59
publico,municipio,59
ciudadano,gobierno,59
alcalde,ciudad,58
alcalde,madero,58
hernandez,tamaulipas,57
publico,zona,57
robledo,madero,54
secretario,ayuntamiento,54
publico,mexico,53
ciudadano,presidenta,52
publico,salud,52
recurso,tampico,52
alcalde,gonzalez,52
publico,unidad,52
erasmo,ciudad,51
politico,seguir,51
alcalde,tamaulipas,51
secretario,general,51
publico,obra,50
robledo,ciudad,50
marcha,tampico,50
politico,morena,50
publico,accion,47
publico,via,47
publico,politica,46
publico,colonia,45
politico,deber,45
ciudadano,municipal,45
alcalde,altamira,45
manriquez,altamira,45
secretario,gobierno,44
ciudadano,monica,43
ciudadano,seguridad,43
secretario,villarreal,43
ciudadano,villarreal,42
publico,escuela,42
publico,dia,42
secretario,rodriguez,42
cargo,tampico,42
publico,atencion,41
politico,ano,41
ciudadano,tamaulipas,41
martinez,tampico,41
martinez,ciudad,41
secretario,presidenta,41
publico,vida,41
politico,pais,41
publico,mejorar,41
politico,tamaulipas,40
juan,san,40
secretario,seguridad,40
publico,administracion,40
ciudadano,excelente,40
ciudadano,gracias,39
politico,pueblo,39
publico,sur,39
armando,ciudad,39
ciudadano,colonia,39
secretario,municipal,39
diaz,tampico,39
publico,compromiso,39
publico,autoridad,39
publico,social,38
publico,seguro,38
politico,tampico,38
ciudadano,bienestar,38
ciudadano,ciudad,38
publico,deber,38
ciudadano,accion,38
publico,dejar,37
alcalde,villarreal,37
martinez,madero,37
publico,proyecto,36
publico,querer,36
publico,asegurar,36
publico,sector,36
publico,nacional,36
armando,madero,35
martinez,gonzalez,35
erasmo,altamira,35
obrera,colonia,35
publico,centro,34
politico,buscar,34
publico,general,34
obrera,pedir,34
publico,bienestar,33
publico,alcaldesa,33
publico,anaya,33
publico,privado,33
secretario,turismo,33
armando,gonzalez,33
robledo,altamira,33
secretario,garcia,33
publico,mujer,33
ciudadano,deber,33
publico,permitir,33
publico,mes,33
carlos,manzo,33
publico,alumbrado,32
publico,calidad,32
politico,dia,32
ciudadano,mexico,32
juan,tampico,32
politico,narco,32
publico,contar,32
ciudadano,autoridad,32
armando,tampico,31
ladron,robar,31
publico,calle,31
publico,pesos,31
diaz,miguel,31
publico,gobernador,30
publico,millon,30
publico,pasar,30
alcalde,seguridad,30
alcalde,sur,30
hernandez,rodriguez,30
hernandez,ciudad,30
hernandez,ano,30
juan,guanipa,30
carlos,tamaulipas,30
ciudadano,social,29
ciudadano,dia,29
politico,hablar,29
ciudadano,seguir,29
ciudadano,familia,29
publico,labor,29
hernandez,turismo,29
juan,diego,29
juan,maria,29
recurso,municipio,29
publico,area,28
politico,corrupto,28
politico,persona,28
politico,mexicano,28
recurso,millon,28
recurso,ano,28
ciudadano,alcaldesa,28
ciudadano,ano,28
politico,presidente,28
manriquez,ciudad,28
ciudadano,servicio,28
secretario,hector,28
secretario,ciudad,28
publico,persona,28
politico,dejar,28
publico,construir,27
publico,impulsar,27
publico,pais,27
manriquez,madero,27
secretario,gonzalez,27
publico,funcionario,27
carlos,garcia,27
ciudadano,pais,27
juan,ano,27
publico,objetivo,27
publico,recibir,27
ciudadano,atencion,26
publico,gracias,26
politico,salir,26
publico,reconocer,26
hernandez,zona,26
hernandez,benjamin,26
alcalde,alcaldesa,26
secretario,madero,26
secretario,nacional,26
