termino_interno,termino_externo,weight
columna,quedar,198
columna,conversacion,192
columna,mandar,192
columna,noticias,186
columna,cartones,186
columna,loultimo,186
columna,newsletter,186
columna,correo,186
columna,resumen,186
columna,libertad,130
columna,expresion,130
columna,opinion,129
columna,vertido,128
columna,articulo,128
columna,responsabilidad,128
columna,emitir,128
columna,casa,128
columna,editorial,128
columna,respetar,128
informativo,resumen,114
informativo,quedar,113
informativo,conversacion,113
informativo,mandar,113
informativo,correo,113
informativo,newsletter,99
domingo,tampico,97
informativo,noticias,93
informativo,cartones,93
informativo,loultimo,93
informativo,expresion,66
demostrar,tampico,47
domingo,tamaulipas,47
domingo,mexico,45
villa,tampico,43
domingo,dia,40
hermosa,tampico,36
realidad,ano,31
domingo,presidenta,29
taller,tampico,29
color,tampico,28
campana,tampico,28
domingo,sabado,28
terreno,tampico,27
firmar,convenio,27
realidad,gobierno,27
enfermedad,salud,27
realidad,presidenta,26
firmar,tampico,26
domingo,manana,26
domingo,ciudad,26
guadalajara,tampico,26
domingo,familia,25
demostrar,ciudad,25
domingo,mayo,25
madrugada,tampico,24
puebla,mexico,24
guadalajara,monterrey,24
realidad,seguir,23
guadalajara,mexico,23
domingo,plaza,23
demostrar,gobierno,23
villa,colonia,23
domingo,junio,23
demostrar,seguir,22
enfermedad,tampico,22
domingo,disfrutar,22
demostrar,gracias,22
puebla,tamaulipas,22
villa,calle,22
color,ciudad,21
realidad,tampico,21
campana,dia,21
herido,persona,21
puebla,ano,21
realidad,pasar,21
hermosa,colonia,21
domingo,zona,21
color,dia,20
demostrar,presidenta,20
realidad,deber,20
herido,resultar,20
domingo,evento,20
domingo,noche,20
color,blanco,20
realidad,mexico,20
domingo,semana,20
puebla,tampico,20
peatonal,tampico,19
campana,ano,19
domingo,ano,19
domingo,monica,19
demostrar,compromiso,19
traicionar,pueblo,19
rojo,tampico,19
guadalajara,cdmx,19
conciencia,tampico,18
domingo,hora,18
realidad,pais,18
oaxaca,mexico,18
domingo,excelente,18
demostrar,gente,18
domingo,abril,18
columna,junio,18
domingo,nacional,18
campana,ciudad,17
guadalajara,presidenta,17
guadalajara,municipal,17
puebla,san,17
domingo,villarreal,17
realidad,vivir,17
realidad,dejar,17
color,azul,17
realidad,gracias,17
domingo,pronostico,17
domingo,tarde,17
puebla,historia,17
puebla,veracruz,17
domingo,actividad,17
campana,tamaulipas,16
demostrar,dia,16
campana,gente,16
peatonal,zona,16
guadalajara,ciudad,16
realidad,proyecto,16
domingo,municipal,16
incrementar,tampico,16
demostrar,ano,16
demostrar,querer,16
domingo,laguna,16
realidad,mujer,16
guadalajara,tamaulipas,16
interior,tampico,16
domingo,martes,16
domingo,mercadito,16
realidad,tamaulipas,16
domingo,agosto,16
puebla,queretaro,16
domingo,partido,16
hermosa,presidenta,15
demostrar,persona,15
realidad,bienestar,15
color,lleno,15
demostrar,dejar,15
sujeto,mujer,15
puebla,cdmx,15
domingo,acudir,15
destruir,pais,15
domingo,colonia,15
hermosa,avenida,15
domingo,lunes,15
villa,zona,15
enfermedad,seguir,15
chile,chino,15
domingo,exposicion,15
hermosa,calle,15
platillo,tampico,15
domingo,familiar,15
campana,gobierno,14
demostrar,mexico,14
campana,seguir,14
guadalajara,persona,14
demostrar,deber,14
color,tradicion,14
informativo,tampico,14
campana,maria,14
domingo,carpintero,14
enfermedad,persona,14
demostrar,talento,14
realidad,vida,14
puebla,mujer,14
villa,avenida,14
sujeto,ano,14
domingo,sur,14
domingo,cdmx,14
domingo,persona,14
domingo,pueblo,14
domingo,vida,14
madrugada,hora,14
rojo,tamaulipas,14
columna,imaginese,14
campana,persona,13
inseguridad,pais,13
madrugada,tamaulipas,13
demostrar,municipal,13
inseguridad,ciudad,13
demostrar,impulsar,13
firmar,ciudad,13
destruir,mexico,13
demostrar,comunidad,13
interior,mujer,13
firmar,acuerdo,13
identificar,violencia,13
demostrar,tamaulipas,13
demostrar,evento,13
demostrar,pueblo,13
realidad,pueblo,13
domingo,cabo,13
chile,querer,13
color,llenar,13
demostrar,monica,13
