termino_interno,termino_externo,weight
jose,tampico,51
desear,ano,47
desear,lleno,45
desear,exito,43
jesus,maria,42
jose,maria,41
ferial,recinto,41
hermana,tampico,39
tomar,tampico,38
desear,tampico,36
desear,cumpleanos,35
desear,feliz,35
jose,luis,34
desear,vida,33
jose,antonio,31
desear,dia,31
desear,felicidad,30
desear,salud,30
sentido,familia,30
hermana,ano,30
desear,alegria,29
noviembre,tampico,29
jesus,tampico,29
ferial,tampico,29
tomar,foto,29
tomar,querer,28
jose,civil,28
jose,marin,28
santillan,narco,28
tomar,mexico,27
tomar,deber,27
jose,proteccion,27
deseo,feliz,27
mensaje,tampico,27
tomar,dia,26
mandar,gente,26
acabar,mexico,26
jose,francisco,25
hermana,villarreal,25
tomar,dejar,24
mandar,mexico,24
desear,familia,24
acabar,gobierno,24
tomar,seguir,24
acabar,querer,23
tomar,gobierno,23
tomar,pasar,23
jose,municipal,23
desear,seguir,23
rescatar,tampico,23
mandar,gobierno,23
desear,querer,22
tomar,persona,22
tomar,salir,22
jesus,pina,22
jose,tamaulipas,22
martina,granhermano,22
sentido,paz,22
gana,rolear,22
felicitacion,tampico,21
carolina,diana,21
mandar,pasar,21
acabar,pasar,21
tomar,casa,21
jose,director,21
desear,bendicion,21
palacios,monica,21
perez,diana,21
mensaje,corina,21
mensaje,maria,21
jose,presidente,21
perrito,mama,21
sentido,pesamir,21
barda,narco,21
jose,villarreal,20
acabar,mexicano,20
carolina,rosales,20
carolina,clabe,20
perez,rosales,20
perez,clabe,20
luisa,gonzalez,20
hermana,xochitl,20
barda,tampico,20
etapa,tampico,20
tomar,presidenta,19
desear,mujer,19
tomar,medida,19
deseo,dia,19
deseo,ano,19
jose,flores,19
jose,san,19
perez,tampico,19
jesus,elias,19
mensaje,machado,19
tomar,vida,19
perez,familia,18
acabar,corrupcion,18
mandar,ano,18
tomar,ano,18
mensaje,mexico,18
acabar,narco,18
jesus,colonia,18
tomar,gente,18
tomar,agua,18
azteca,mexico,18
mensaje,dejar,18
desear,monica,18
mensaje,mujer,18
acabar,tampico,17
mandar,querer,17
noviembre,cultura,17
enviar,abrazo,17
guerra,pais,17
rodeado,ano,17
deseo,exito,17
tomar,llegar,17
desear,querido,17
mensaje,gracias,17
felicitacion,excelente,17
hermana,galvez,17
desear,compromiso,16
desear,dedicacion,16
desear,paz,16
felicitacion,gracias,16
acabar,pueblo,16
jose,monica,16
mandar,tampico,16
deseo,familia,16
acabar,dejar,16
deseo,bendicion,16
guerra,mexico,16
felicitacion,dia,16
acabar,deber,16
descanse,paz,16
mensaje,favor,16
sentido,qepd,16
hermana,hija,16
hermana,monica,16
acabar,pais,16
acabar,ano,16
martina,tato,16
tomar,narco,16
santillan,fdo,16
hermana,gobernador,15
guerra,querer,15
mandar,dia,15
tomar,gracias,15
jose,anaya,15
hermana,mujer,15
jesus,dia,15
mandar,pueblo,15
acabar,corrupto,15
jose,secretario,15
jesus,senor,15
rodeado,lleno,15
rodeado,dia,15
noviembre,casa,15
deseo,salud,15
mensaje,seguir,15
etapa,grande,15
jesus,corazon,15
enviar,querer,15
jose,presidenta,15
acabar,salir,15
hermana,familia,15
desear,villarreal,15
deseo,felicidad,15
mandar,pedir,15
jose,reyes,15
mandar,presidenta,15
barda,pared,15
desear,bienestar,14
tomar,quedar,14
hermana,alcaldesa,14
acabar,vivir,14
desear,presidenta,14
mandar,seguir,14
acabar,dia,14
mandar,deber,14
tomar,sentir,14
sentido,villarreal,14
mandar,gracias,14
luisa,maria,14
felicitacion,sincero,14
deseo,cumpleanos,14
carolina,toha,14
jose,ciudad,14
sentido,monica,14
tomar,mujer,14
sentido,mujer,14
enviar,tampico,14
jose,garcia,14
jesus,nino,14
tomar,ciudad,14
tomar,accion,14
martina,tana,14
barda,calle,14
deseo,abrazo,14
gana,gracias,13
decision,tampico,13
