termino_interno,termino_externo,weight
familia,tampico,417
familia,seguir,206
familia,villarreal,174
familia,monica,159
familia,presidenta,158
familia,gracias,157
joven,tampico,145
familia,vida,138
familia,bienestar,131
familia,dia,129
familia,ano,127
comunidad,tampico,122
familia,gobierno,122
familia,municipal,120
nino,tampico,115
familia,colonia,107
familia,tamaulipas,107
nino,dia,106
familia,ciudad,106
familia,disfrutar,105
familia,espacio,104
familia,vivir,103
nino,gracias,102
familia,tampiquenas,98
convivencia,tampico,92
familia,excelente,91
nino,presidenta,90
futuro,tampico,90
familia,accion,89
familia,compromiso,88
familia,querer,86
familia,fortalecer,86
familia,paz,83
gracia,gracias,82
familia,apoyo,82
padre,tampico,81
familia,feliz,80
familia,alcaldesa,77
nino,monica,76
familia,felicidad,75
familia,seguridad,74
familia,persona,72
familia,salud,71
familia,lleno,71
presente,tampico,71
nino,excelente,70
crecer,tampico,70
nino,villarreal,69
joven,ano,69
familia,seguro,68
familia,madre,68
familia,programa,65
familia,mexico,65
joven,tamaulipas,65
nino,feliz,65
acompanar,tampico,64
familia,recibir,64
familia,hijo,64
familia,servicio,64
verde,tampico,64
familia,llegar,63
gracia,excelente,63
familia,publico,63
gracia,monica,62
gracia,presidenta,62
familia,zona,62
familia,casa,62
familia,bendicion,62
familia,compartir,60
nino,seguir,60
familia,equipo,60
nino,ano,59
familia,atencion,59
entorno,tampico,59
nino,evento,59
familia,importante,58
convivencia,espacio,57
familia,amor,57
familia,calidad,57
nino,colonia,57
familia,hermoso,57
futuro,construir,56
generacion,tampico,56
comunidad,presidenta,55
familia,mujer,55
nina,tampico,54
familia,esfuerzo,54
familia,actividad,53
nino,alcaldesa,53
familia,esperar,53
familia,pasar,53
gracia,tampico,52
nino,espacio,52
convivencia,villarreal,51
familia,abrazo,51
familia,tampicotecuida,51
familia,alegria,51
familia,tampicovacontodo,51
futuro,seguir,50
comunidad,fortalecer,50
padre,hijo,50
familia,anaya,50
convivencia,monica,49
padre,ano,49
familia,mejorar,49
familia,felicidades,49
familia,municipio,49
libre,tampico,49
nina,dia,48
comunidad,seguir,48
familia,brindar,48
nino,alegria,48
familia,buscar,47
futuro,ciudad,47
comunidad,gracias,47
familia,salir,47
entorno,seguro,47
familia,evento,47
familia,familiar,46
gracia,villarreal,46
familia,grande,46
padre,dia,46
familia,apoyar,46
familia,encontrar,46
familia,jornada,46
familia,navidad,45
joven,ciudad,45
comunidad,vida,45
padre,gracias,45
familia,gente,45
familia,deber,45
familia,pais,45
familia,celebrar,44
convivencia,fortalecer,44
familia,cuidar,44
futuro,tamaulipas,44
comunidad,monica,44
comunidad,villarreal,44
convivencia,familiar,43
comunidad,espacio,43
familia,amigo,43
familia,social,43
comunidad,municipal,43
familia,dejar,43
convivir,dia,43
joven,presidenta,42
joven,espacio,42
nino,bonito,42
nina,espacio,42
familia,quedar,42
comunidad,ano,42
padre,villarreal,41
verde,area,41
familia,especial,41
comunidad,compromiso,41
familia,calle,41
familia,hogar,40
presente,ano,40
padre,presidenta,40
gracia,dia,40
presente,tamaulipas,40
nina,mujer,40
exigir,justicia,40
acompanar,seguir,40
entorno,accion,40
crecer,seguir,40
familia,mundial,40
familia,labor,39
comunidad,bienestar,39
familia,impulsar,39
padre,madre,39
comunidad,dia,39
familia,necesitar,39
entorno,seguir,39
familia,tampiquena,39
nino,celebrar,39
familia,contar,39
gracia,alcaldesa,38
nino,ciudad,38
familia,venir,38
familia,corazon,38
familia,construir,38
familia,semana,38
familia,beneficio,38
nina,seguir,37
digno,espacio,37
familia,querido,37
familia,luz,37
familia,mexicano,37
familia,dif,37
joven,seguir,37
acompanar,gracias,37
familia,favor,37
familia,continuar,36
padre,excelente,36
joven,excelente,36
comunidad,tamaulipas,36
joven,vida,36
familia,tradicion,35
nino,vida,35
