termino_interno,termino_externo,weight
mandar,columna,192
noticias,columna,186
semana,tampico,177
alto,tampico,140
articulo,columna,128
mandar,quedar,122
julio,tampico,119
nivel,nacional,116
nivel,tampico,114
semana,santa,114
mandar,conversacion,114
mandar,correo,114
mandar,resumen,113
mandar,informativo,113
noticias,quedar,101
noticias,conversacion,99
mandar,cartones,99
mandar,loultimo,99
mandar,newsletter,99
semana,tamaulipas,95
noticias,cartones,93
noticias,loultimo,93
noticias,newsletter,93
noticias,correo,93
noticias,resumen,93
noticias,informativo,93
alto,tamaulipas,91
nivel,tamaulipas,86
julio,tamaulipas,83
nivel,gobierno,73
monterrey,tampico,69
mandar,respetar,69
noticias,casa,67
semana,dia,66
articulo,libertad,66
articulo,opinion,66
mandar,libertad,66
noticias,libertad,65
noticias,expresion,65
mandar,expresion,65
articulo,vertido,64
articulo,responsabilidad,64
articulo,emitir,64
articulo,casa,64
articulo,editorial,64
articulo,respetar,64
articulo,expresion,64
articulo,cartones,64
articulo,loultimo,64
noticias,opinion,64
noticias,vertido,64
noticias,responsabilidad,64
noticias,emitir,64
noticias,editorial,64
noticias,respetar,64
mandar,editorial,64
alto,temperatura,60
anunciar,tampico,57
semana,ciudad,54
monterrey,tamaulipas,54
nivel,ano,52
alto,zona,52
semana,zona,51
alto,ciudad,49
vicente,guerrero,49
nivel,ciudad,46
nivel,mexico,46
vicente,colonia,45
semana,llegar,44
alto,ano,43
alto,riesgo,43
semana,ano,43
nivel,dia,42
alto,mexico,40
semana,caso,40
nivel,zona,39
nld,matamoros,38
semana,familia,38
golpe,calor,38
nivel,pais,37
nld,tampico,37
nld,tamaulipas,37
nld,reynosa,37
monterrey,mexico,37
medalla,nacional,37
semana,persona,36
semana,recibir,36
julio,mexico,36
julio,ciudad,36
semana,colonia,35
alto,nombre,35
semana,actividad,35
nivel,seguir,34
semana,sur,34
monterrey,cdmx,34
semana,pasar,33
nivel,seguridad,33
julio,ano,33
semana,presidenta,32
alto,gobierno,32
alto,pais,32
nuevoleon,reynosa,32
semana,turista,32
semana,visitante,32
anunciar,tamaulipas,31
semana,seguir,31
semana,querer,31
nuevoleon,altamira,31
julio,casa,31
alto,dia,31
semana,venta,31
nivel,municipal,30
medalla,tampico,30
semana,gobierno,29
nivel,autoridad,29
semana,pais,29
semana,turistico,29
vicente,sector,29
nuevoleon,matamoros,28
semana,inicio,28
alto,calor,28
nivel,agua,27
semana,municipio,27
alto,seguir,27
semana,mexico,27
vicente,moscu,27
nivel,internacional,26
mandar,mexico,26
resolver,problema,26
semana,mantener,26
monterrey,cdvictoria,26
nuevoleon,tamaulipas,26
mandar,gente,26
semana,lluvia,26
alto,nacional,26
semana,centro,26
resolver,tampico,25
cancun,municipal,25
semana,buscar,25
semana,mayo,25
nld,altamira,25
semana,villarreal,25
nivel,familia,25
vicente,tampico,25
mandar,gobierno,25
medalla,olimpiada,25
semana,altamira,24
semana,servicio,24
alto,equipo,24
monterrey,reynosa,24
alto,sur,24
semana,nacional,24
monterrey,guadalajara,24
julio,sur,24
alto,presidenta,23
alto,persona,23
monterrey,madero,23
semana,esperar,23
semana,salir,23
nuevoleon,tampico,23
nivel,estatal,23
oro,nacional,23
semana,seguridad,23
julio,dia,23
semana,autoridad,23
nivel,registrar,23
medalla,tamaulipas,23
semana,junio,23
mandar,pasar,22
nivel,villarreal,22
alto,dejar,22
semana,monica,22
semana,vacacion,22
monterrey,altamira,22
nivel,publico,22
nivel,joven,22
nivel,rio,22
alto,municipio,22
medalla,bronce,22
morenista,gobierno,22
articulo,junio,22
nivel,municipio,21
alto,querer,21
nivel,impulsar,21
semana,mujer,21
ana,presidenta,21
cancun,presidenta,21
semana,municipal,21
nivel,evento,21
semana,evento,21
nivel,gracias,21
semana,calle,21
tecnico,tamaulipas,21
tecnico,cuerpo,21
semana,turismo,21
nivel,destacar,21
semana,distinto,21
pintura,tampico,21
ana,frank,21
julio,emitir,21
