termino_interno,termino_externo,weight
municipal,tampico,822
municipal,presidenta,724
seguir,tampico,656
gobierno,tampico,619
municipal,villarreal,556
municipal,monica,421
bienestar,tampico,380
fortalecer,tampico,348
municipal,anaya,345
accion,tampico,287
compromiso,tampico,271
gobierno,villarreal,266
salud,tampico,263
gobierno,presidenta,260
seguir,ciudad,245
seguir,presidenta,242
seguir,gracias,240
programa,tampico,231
atencion,tampico,227
gobierno,tamaulipas,226
tampicotecuida,tampico,218
tampicovacontodo,tampico,213
servicio,tampico,212
seguir,familia,206
gobierno,mexico,196
seguir,villarreal,194
construir,tampico,193
importante,tampico,191
cuidar,tampico,191
gobierno,monica,185
seguir,monica,183
bienestar,villarreal,183
accion,villarreal,172
seguir,vida,170
municipal,tamaulipas,169
seguir,excelente,165
accion,monica,165
seguir,ano,163
bienestar,monica,163
seguir,dia,160
municipal,ciudad,159
seguir,querer,157
apoyo,tampico,154
bienestar,presidenta,154
bienestar,social,153
accion,presidenta,151
servicio,publico,149
seguir,mexico,146
gobierno,gracias,144
obra,tampico,143
compromiso,villarreal,141
fortalecer,villarreal,139
salud,villarreal,138
seguir,espacio,138
mejorar,tampico,135
bienestar,familia,131
seguir,tamaulipas,131
fortalecer,tamaulipas,131
gobierno,pueblo,129
programa,villarreal,128
administracion,tampico,125
fortalecer,ciudad,125
salud,monica,124
comunidad,tampico,122
gobierno,familia,122
jornada,tampico,122
gobierno,gente,121
seguir,impulsar,121
municipal,dia,121
municipal,familia,120
gobierno,ciudad,120
brindar,tampico,120
ciudadania,tampico,119
reconocer,tampico,117
fortalecer,espacio,114
apoyo,gracias,113
bienestar,tamaulipas,112
gobierno,pais,111
bienestar,colonia,110
calidad,tampico,109
fortalecer,monica,108
entrega,tampico,108
municipal,zacil,108
gobierno,excelente,107
seguir,gente,107
seguir,pais,106
gobierno,anaya,105
gobierno,publico,105
tampicotecuida,excelente,105
compromiso,monica,105
apoyo,presidenta,105
avanzar,tampico,105
municipal,desarrollo,105
municipal,zona,105
seguir,alcaldesa,104
programa,monica,103
gobierno,dia,101
salud,ano,101
calidad,vida,100
fortalecer,seguridad,99
accion,ciudad,99
municipal,seguridad,99
tampiquenas,familia,98
gobierno,seguridad,98
sumar,tampico,97
municipal,estatal,97
salud,tamaulipas,97
municipal,autoridad,96
accion,excelente,95
bienestar,excelente,95
bienestar,gracias,95
compromiso,presidenta,95
salud,vida,95
urbano,tampico,95
gobierno,alcaldesa,94
gobierno,secretaria,93
coordinacion,tampico,93
seguir,seguro,93
seguir,felicidad,93
seguir,publico,92
municipal,publico,92
seguir,seguridad,91
compromiso,ciudad,91
accion,seguridad,91
municipal,alcaldesa,90
tampicovacontodo,excelente,90
seguir,oportunidad,90
iniciativa,tampico,90
gobierno,ano,89
jornada,villarreal,89
accion,familia,89
bienestar,secretaria,88
municipal,gracias,88
tampicotecuida,presidenta,88
compromiso,familia,88
gobierno,querer,88
accion,tamaulipas,88
beneficio,tampico,87
jornada,monica,87
prevencion,tampico,86
transformar,tampico,86
fortalecer,familia,86
seguir,mujer,86
apoyo,villarreal,86
compromiso,tamaulipas,86
seguir,felicidades,85
tampicotecuida,monica,85
seguir,desarrollo,85
gobierno,nacional,85
gobierno,social,84
municipal,secretaria,84
seguir,esperar,84
salud,dia,83
seguir,persona,83
bienestar,ciudad,83
programa,tamaulipas,83
gobierno,estatal,83
importante,tamaulipas,83
seguir,zona,82
seguir,colonia,82
municipal,espacio,82
gobierno,desarrollo,82
fortalecer,impulsar,82
construir,ciudad,82
reconocer,dia,82
apoyo,familia,82
fortalecer,desarrollo,81
municipal,municipio,81
seguir,esfuerzo,80
salud,secretaria,80
municipal,centro,80
municipal,encabezar,80
gobierno,deber,80
programa,presidenta,79
tampicovacontodo,monica,79
compromiso,dia,79
municipal,impulsar,79
seguir,dejar,79
accion,colonia,78
tampicovacontodo,presidenta,78
salud,gracias,78
jornada,colonia,78
programa,excelente,78
gobierno,mexicano,78
gobierno,gobernador,78
seguir,pasar,78
atencion,villarreal,77
fortalecer,publico,77
resultado,tampico,77
cabildo,tampico,77
seguir,pueblo,77
municipal,proteccion,77
gobierno,dejar,77
gobierno,federal,77
compromiso,gracias,76
municipal,mercado,76
municipal,civil,76
municipal,dif,75
ciudadania,villarreal,75
objetivo,tampico,75
